18:          "file": "/home/nawaf511/empire-core-new/apps/ndsp-governance-bridge/layers/NDSP_OWNER_INTERNAL_16_LAYER_REGISTRY.md",
27:          "file": "/home/nawaf511/empire-core-new/apps/ndsp-governance-bridge/layers/NDSP_OWNER_INTERNAL_16_LAYER_REGISTRY.json",
39:            "Hidden | Hidden | Hidden | ## Publicly Allowed Names These may remain visible in customer-facing UI when needed: 1. TDL / TDL 2. NMP / NMP 3. Devil's Advocate / محامي الشيطان 4. Golden Signal / الإشارة الذهبية ## Owner Internal Rule All 16 internal layer names, logic descriptions, source file paths, and output mappings are allowed in",
40:            "Hidden | Hidden | Hidden | ## Publicly Allowed Names These may remain visible in customer-facing UI when needed: 1. TDL / TDL 2. NMP / NMP 3. Devil's Advocate / محامي الشيطان 4. Golden Signal / الإشارة الذهبية ## Owner Internal Rule All 16 internal layer names, logic descriptions, source file paths, and output mappings are allowed in",
41:            "Hidden | ## Publicly Allowed Names These may remain visible in customer-facing UI when needed: 1. TDL / TDL 2. NMP / NMP 3. Devil's Advocate / محامي الشيطان 4. Golden Signal / الإشارة الذهبية ## Owner Internal Rule All 16 internal layer names, logic descriptions, source file paths, and output mappings are allowed internally for verifi"
137:          "file": "/home/nawaf511/empire-core-new/apps/ndsp-governance-bridge/layers/NDSP_OWNER_INTERNAL_16_LAYER_REGISTRY.md",
146:          "file": "/home/nawaf511/empire-core-new/apps/ndsp-governance-bridge/layers/NDSP_OWNER_INTERNAL_16_LAYER_REGISTRY.json",
221:            "## Publicly Allowed Names These may remain visible in customer-facing UI when needed: 1. TDL / TDL 2. NMP / NMP 3. Devil's Advocate / محامي الشيطان 4. Golden Signal / الإشارة الذهبية ## Owner Internal Rule All 16 internal layer names, logic descriptions, source file paths, and output mappings are allowed internally for verification a",
222:            "## Publicly Allowed Names These may remain visible in customer-facing UI when needed: 1. TDL / TDL 2. NMP / NMP 3. Devil's Advocate / محامي الشيطان 4. Golden Signal / الإشارة الذهبية ## Owner Internal Rule All 16 internal layer names, logic descriptions, source file paths, and output mappings are allowed internally for verification a",
223:            "ublicly Allowed Names These may remain visible in customer-facing UI when needed: 1. TDL / TDL 2. NMP / NMP 3. Devil's Advocate / محامي الشيطان 4. Golden Signal / الإشارة الذهبية ## Owner Internal Rule All 16 internal layer names, logic descriptions, source file paths, and output mappings are allowed internally for verification and dev"
255:          "file": "/home/nawaf511/empire-core-new/apps/ndsp-governance-bridge/layers/NDSP_OWNER_INTERNAL_16_LAYER_REGISTRY.json",
330:            "s These may remain visible in customer-facing UI when needed: 1. TDL / TDL 2. NMP / NMP 3. Devil's Advocate / محامي الشيطان 4. Golden Signal / الإشارة الذهبية ## Owner Internal Rule All 16 internal layer names, logic descriptions, source file paths, and output mappings are allowed internally for verification and development. ## Public",
331:            "s These may remain visible in customer-facing UI when needed: 1. TDL / TDL 2. NMP / NMP 3. Devil's Advocate / محامي الشيطان 4. Golden Signal / الإشارة الذهبية ## Owner Internal Rule All 16 internal layer names, logic descriptions, source file paths, and output mappings are allowed internally for verification and development. ## Public",
332:            "visible in customer-facing UI when needed: 1. TDL / TDL 2. NMP / NMP 3. Devil's Advocate / محامي الشيطان 4. Golden Signal / الإشارة الذهبية ## Owner Internal Rule All 16 internal layer names, logic descriptions, source file paths, and output mappings are allowed internally for verification and development. ## Public UI Rule Public UI"
336:          "file": "/home/nawaf511/empire-core-new/apps/ndsp-governance-bridge/layers/NDSP_OWNER_INTERNAL_16_LAYER_REGISTRY.md",
430:            "cing UI when needed: 1. TDL / TDL 2. NMP / NMP 3. Devil's Advocate / محامي الشيطان 4. Golden Signal / الإشارة الذهبية ## Owner Internal Rule All 16 internal layer names, logic descriptions, source file paths, and output mappings are allowed internally for verification and development. ## Public UI Rule Public UI may show rich outputs",
431:            "cing UI when needed: 1. TDL / TDL 2. NMP / NMP 3. Devil's Advocate / محامي الشيطان 4. Golden Signal / الإشارة الذهبية ## Owner Internal Rule All 16 internal layer names, logic descriptions, source file paths, and output mappings are allowed internally for verification and development. ## Public UI Rule Public UI may show rich outputs",
432:            "TDL 2. NMP / NMP 3. Devil's Advocate / محامي الشيطان 4. Golden Signal / الإشارة الذهبية ## Owner Internal Rule All 16 internal layer names, logic descriptions, source file paths, and output mappings are allowed internally for verification and development. ## Public UI Rule Public UI may show rich outputs without exposing all internal"
436:          "file": "/home/nawaf511/empire-core-new/apps/ndsp-governance-bridge/layers/NDSP_OWNER_INTERNAL_16_LAYER_REGISTRY.md",
445:          "file": "/home/nawaf511/empire-core-new/apps/ndsp-governance-bridge/layers/NDSP_OWNER_INTERNAL_16_LAYER_REGISTRY.json",
538:          "file": "/home/nawaf511/empire-core-new/apps/ndsp-governance-bridge/layers/NDSP_OWNER_INTERNAL_16_LAYER_REGISTRY.md",
547:          "file": "/home/nawaf511/empire-core-new/apps/ndsp-governance-bridge/layers/NDSP_OWNER_INTERNAL_16_LAYER_REGISTRY.json",
635:          "file": "/home/nawaf511/empire-core-new/apps/ndsp-governance-bridge/layers/NDSP_OWNER_INTERNAL_16_LAYER_REGISTRY.json",
689:          "file": "/home/nawaf511/empire-core-new/apps/ndsp-governance-bridge/layers/NDSP_OWNER_INTERNAL_16_LAYER_REGISTRY.md",
726:          "file": "/home/nawaf511/empire-core-new/apps/ndsp-governance-bridge/layers/NDSP_OWNER_INTERNAL_16_LAYER_REGISTRY.md",
735:          "file": "/home/nawaf511/empire-core-new/apps/ndsp-governance-bridge/layers/NDSP_OWNER_INTERNAL_16_LAYER_REGISTRY.json",
866:          "file": "/home/nawaf511/empire-core-new/apps/ndsp-governance-bridge/layers/NDSP_OWNER_INTERNAL_16_LAYER_REGISTRY.json",
875:          "file": "/home/nawaf511/empire-core-new/apps/ndsp-governance-bridge/layers/NDSP_OWNER_INTERNAL_16_LAYER_REGISTRY.md",
939:          "file": "/home/nawaf511/empire-core-new/apps/ndsp-governance-bridge/layers/NDSP_OWNER_INTERNAL_16_LAYER_REGISTRY.md",
948:          "file": "/home/nawaf511/empire-core-new/apps/ndsp-governance-bridge/layers/NDSP_OWNER_INTERNAL_16_LAYER_REGISTRY.json",
1071:          "file": "/home/nawaf511/empire-core-new/apps/ndsp-governance-bridge/layers/NDSP_OWNER_INTERNAL_16_LAYER_REGISTRY.md",
1080:          "file": "/home/nawaf511/empire-core-new/apps/ndsp-governance-bridge/layers/NDSP_OWNER_INTERNAL_16_LAYER_REGISTRY.json",
1164:          "file": "/home/nawaf511/empire-core-new/apps/ndsp-governance-bridge/layers/NDSP_OWNER_INTERNAL_16_LAYER_REGISTRY.json",
1314:          "file": "/home/nawaf511/empire-core-new/apps/ndsp-governance-bridge/layers/NDSP_OWNER_INTERNAL_16_LAYER_REGISTRY.json",
1391:          "file": "/home/nawaf511/empire-core-new/apps/ndsp-governance-bridge/layers/NDSP_OWNER_INTERNAL_16_LAYER_REGISTRY.json",
1472:          "file": "/home/nawaf511/empire-core-new/apps/ndsp-governance-bridge/layers/NDSP_OWNER_INTERNAL_16_LAYER_REGISTRY.md",
1546:          "file": "/home/nawaf511/empire-core-new/apps/ndsp-governance-bridge/layers/NDSP_OWNER_INTERNAL_16_LAYER_REGISTRY.json",
