symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
6758.jp,D1,2025.12.01 00:00:00,4441.90000,4459.50000,4393.00000,4416.50000,13797,3122.10000,3134.80000,127.00,0,0
6758.jp,D1,2025.12.02 00:00:00,4402.00000,4441.20000,4395.90000,4437.10000,8138,3122.10000,3134.80000,127.00,0,0
6758.jp,D1,2025.12.03 00:00:00,4408.00000,4420.10000,4371.90000,4387.00000,10139,3122.10000,3134.80000,127.00,0,0
6758.jp,D1,2025.12.04 00:00:00,4409.20000,4435.70000,4387.90000,4419.70000,11079,3122.10000,3134.80000,127.00,0,0
6758.jp,D1,2025.12.05 00:00:00,4324.10000,4332.70000,4300.00000,4319.50000,6074,3122.10000,3134.80000,127.00,0,0
6758.jp,D1,2025.12.08 00:00:00,4290.20000,4298.60000,4276.10000,4288.80000,8799,3122.10000,3134.80000,127.00,0,0
6758.jp,D1,2025.12.09 00:00:00,4340.00000,4358.30000,4305.10000,4312.10000,5859,3122.10000,3134.80000,127.00,0,0
6758.jp,D1,2025.12.10 00:00:00,4268.00000,4277.00000,4174.00000,4185.10000,10439,3122.10000,3134.80000,127.00,0,0
6758.jp,D1,2025.12.11 00:00:00,4171.00000,4182.40000,4101.00000,4116.80000,10103,3122.10000,3134.80000,127.00,0,0
6758.jp,D1,2025.12.12 00:00:00,4153.30000,4208.10000,4121.00000,4204.50000,9838,3122.10000,3134.80000,127.00,0,0
6758.jp,D1,2025.12.15 00:00:00,4161.00000,4172.10000,4121.00000,4140.50000,9340,3122.10000,3134.80000,127.00,0,0
6758.jp,D1,2025.12.16 00:00:00,4101.30000,4112.60000,4050.00000,4069.50000,11021,3122.10000,3134.80000,127.00,0,0
6758.jp,D1,2025.12.17 00:00:00,4024.00000,4054.40000,4018.00000,4046.10000,11104,3122.10000,3134.80000,127.00,0,0
6758.jp,D1,2025.12.18 00:00:00,4035.00000,4051.60000,4005.00000,4048.60000,6421,3122.10000,3134.80000,127.00,0,0
6758.jp,D1,2025.12.19 00:00:00,4006.10000,4012.30000,3958.10000,3985.00000,11691,3122.10000,3134.80000,127.00,0,0
6758.jp,D1,2025.12.22 00:00:00,3989.10000,4001.10000,3945.00000,3957.00000,5298,3122.10000,3134.80000,127.00,0,0
6758.jp,D1,2025.12.23 00:00:00,4048.10000,4063.70000,4039.10000,4051.00000,7530,3122.10000,3134.80000,127.00,0,0
