symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
7011.jp,H1,2026.04.08 05:00:00,4786.00000,4794.20000,4762.00000,4774.50000,6134,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.08 06:30:00,4785.20000,4820.50000,4781.00000,4811.00000,12946,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.08 07:30:00,4813.10000,4838.20000,4800.00000,4819.00000,11288,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.08 08:30:00,4820.00000,4834.10000,4816.00000,4818.90000,5141,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.09 03:00:00,4818.10000,4846.20000,4754.00000,4760.00000,16559,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.09 04:00:00,4766.10000,4780.10000,4731.00000,4766.10000,14942,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.09 05:00:00,4768.10000,4777.10000,4743.00000,4751.00000,6343,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.09 06:30:00,4745.10000,4791.20000,4733.00000,4772.20000,12581,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.09 07:30:00,4771.20000,4793.10000,4765.00000,4783.00000,9962,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.09 08:30:00,4782.00000,4789.10000,4762.00000,4772.10000,5223,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.10 03:00:00,4777.10000,4808.10000,4694.50000,4734.10000,12429,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.10 04:00:00,4735.10000,4769.10000,4710.00000,4739.00000,12027,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.10 05:00:00,4739.00000,4752.30000,4720.00000,4733.90000,4876,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.10 06:30:00,4739.10000,4770.20000,4714.00000,4751.10000,9889,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.10 07:30:00,4754.30000,4762.10000,4738.00000,4755.00000,8190,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.10 08:30:00,4756.00000,4770.30000,4735.50000,4740.60000,4281,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.13 03:00:00,4713.90000,4828.10000,4713.90000,4758.20000,17447,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.13 04:00:00,4759.10000,4767.20000,4720.10000,4731.00000,14537,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.13 05:00:00,4734.10000,4742.10000,4713.10000,4731.40000,5942,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.13 06:30:00,4733.10000,4741.10000,4664.10000,4693.90000,12917,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.13 07:30:00,4692.90000,4745.10000,4688.00000,4738.10000,11972,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.13 08:30:00,4739.10000,4749.20000,4732.10000,4738.90000,4923,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.14 03:00:00,4806.90000,4806.90000,4705.10000,4774.10000,15774,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.14 04:00:00,4775.10000,4793.10000,4755.00000,4783.30000,11938,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.14 05:00:00,4783.10000,4792.10000,4770.00000,4776.10000,4121,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.14 06:30:00,4776.10000,4790.40000,4742.00000,4746.10000,8885,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.14 07:30:00,4746.10000,4757.10000,4719.00000,4753.00000,8283,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.14 08:30:00,4752.10000,4753.30000,4718.00000,4730.10000,4246,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.15 03:00:00,4721.10000,4721.10000,4569.00000,4592.10000,16927,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.15 04:00:00,4589.00000,4600.10000,4529.00000,4553.00000,12301,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.15 05:00:00,4551.00000,4562.10000,4539.00000,4552.50000,5011,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.15 06:30:00,4559.10000,4582.10000,4543.00000,4552.10000,10411,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.15 07:30:00,4552.10000,4568.20000,4543.00000,4545.00000,10253,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.15 08:30:00,4545.00000,4556.60000,4533.00000,4548.90000,5764,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.16 03:00:00,4544.20000,4597.20000,4487.00000,4581.10000,17193,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.16 04:00:00,4581.50000,4596.20000,4557.00000,4573.30000,9794,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.16 05:00:00,4572.30000,4577.40000,4563.00000,4569.40000,3503,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.16 06:30:00,4567.10000,4601.10000,4559.00000,4569.00000,8574,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.16 07:30:00,4573.10000,4592.40000,4557.00000,4589.10000,4904,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.16 08:30:00,4590.20000,4594.10000,4571.00000,4585.70000,2400,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.17 03:00:00,4500.10000,4500.10000,4454.00000,4472.30000,14670,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.17 04:00:00,4474.10000,4477.50000,4403.00000,4426.10000,12190,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.17 05:00:00,4428.00000,4429.30000,4406.00000,4409.50000,4581,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.17 06:30:00,4422.10000,4443.10000,4364.00000,4388.10000,13427,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.17 07:30:00,4387.00000,4392.20000,4368.00000,4389.10000,9126,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.17 08:30:00,4387.10000,4397.10000,4375.00000,4384.00000,4957,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.20 03:00:00,4463.00000,4587.10000,4463.00000,4560.00000,17472,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.20 04:00:00,4561.00000,4579.10000,4497.00000,4519.10000,14343,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.20 05:00:00,4518.50000,4545.40000,4509.00000,4536.00000,5580,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.20 06:30:00,4541.10000,4553.40000,4526.00000,4535.10000,10818,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.20 07:30:00,4534.30000,4555.40000,4526.00000,4537.00000,9659,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.20 08:30:00,4538.00000,4545.30000,4517.00000,4526.70000,5161,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.21 03:00:00,4484.00000,4533.10000,4370.00000,4526.10000,15761,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.21 04:00:00,4523.10000,4542.10000,4488.00000,4498.10000,14648,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.21 05:00:00,4499.00000,4531.60000,4481.00000,4530.60000,6050,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.21 06:30:00,4528.10000,4565.20000,4495.00000,4519.30000,9779,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.21 07:30:00,4517.30000,4530.40000,4504.00000,4509.00000,8583,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.21 08:30:00,4515.00000,4524.30000,4497.00000,4506.00000,4568,4589.00000,4602.00000,130.00,0,0
7011.jp,H1,2026.04.22 03:00:00,4404.10000,4454.10000,4353.00000,4431.10000,17918,4589.00000,4602.00000,130.00,0,0
