symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
8316.jp,M30,2026.04.17 03:00:00,5631.00000,5651.10000,5569.80000,5576.10000,2282,5522.40000,5535.40000,130.00,0,0
8316.jp,M30,2026.04.17 03:30:00,5576.20000,5598.30000,5568.20000,5578.50000,2386,5522.40000,5535.40000,130.00,0,0
8316.jp,M30,2026.04.17 04:00:00,5579.50000,5582.50000,5553.20000,5559.40000,1640,5522.40000,5535.40000,130.00,0,0
8316.jp,M30,2026.04.17 04:30:00,5559.30000,5574.60000,5556.10000,5561.50000,1295,5522.40000,5535.40000,130.00,0,0
8316.jp,M30,2026.04.17 05:00:00,5563.10000,5568.30000,5553.10000,5558.10000,1414,5522.40000,5535.40000,130.00,0,0
8316.jp,M30,2026.04.17 06:30:00,5556.20000,5580.50000,5553.10000,5574.50000,1845,5522.40000,5535.40000,130.00,0,0
8316.jp,M30,2026.04.17 07:00:00,5576.50000,5601.40000,5571.00000,5587.10000,1541,5522.40000,5535.40000,130.00,0,0
8316.jp,M30,2026.04.17 07:30:00,5587.50000,5590.40000,5578.20000,5589.30000,1251,5522.40000,5535.40000,130.00,0,0
8316.jp,M30,2026.04.17 08:00:00,5588.20000,5608.50000,5588.20000,5602.00000,1443,5522.40000,5535.40000,130.00,0,0
8316.jp,M30,2026.04.17 08:30:00,5603.00000,5604.10000,5595.20000,5597.10000,1410,5522.40000,5535.40000,130.00,0,0
8316.jp,M30,2026.04.20 03:00:00,5607.10000,5632.20000,5581.80000,5623.00000,2213,5522.40000,5535.40000,130.00,0,0
8316.jp,M30,2026.04.20 03:30:00,5624.30000,5626.00000,5595.80000,5602.80000,2545,5522.40000,5535.40000,130.00,0,0
8316.jp,M30,2026.04.20 04:00:00,5607.00000,5619.10000,5586.80000,5595.80000,2429,5522.40000,5535.40000,130.00,0,0
8316.jp,M30,2026.04.20 04:30:00,5594.80000,5620.40000,5592.80000,5609.80000,1774,5522.40000,5535.40000,130.00,0,0
8316.jp,M30,2026.04.20 05:00:00,5607.80000,5634.10000,5605.80000,5612.10000,1609,5522.40000,5535.40000,130.00,0,0
8316.jp,M30,2026.04.20 06:30:00,5601.80000,5609.00000,5579.80000,5592.00000,1712,5522.40000,5535.40000,130.00,0,0
8316.jp,M30,2026.04.20 07:00:00,5588.80000,5600.10000,5587.80000,5592.00000,1378,5522.40000,5535.40000,130.00,0,0
8316.jp,M30,2026.04.20 07:30:00,5595.30000,5601.10000,5581.80000,5588.80000,1500,5522.40000,5535.40000,130.00,0,0
8316.jp,M30,2026.04.20 08:00:00,5587.80000,5597.30000,5575.80000,5583.40000,1442,5522.40000,5535.40000,130.00,0,0
8316.jp,M30,2026.04.20 08:30:00,5581.20000,5592.20000,5575.80000,5590.90000,1683,5522.40000,5535.40000,130.00,0,0
8316.jp,M30,2026.04.21 03:00:00,5539.10000,5544.10000,5484.90000,5485.90000,2965,5522.40000,5535.40000,130.00,0,0
8316.jp,M30,2026.04.21 03:30:00,5491.10000,5510.40000,5463.90000,5466.90000,3329,5522.40000,5535.40000,130.00,0,0
8316.jp,M30,2026.04.21 04:00:00,5467.90000,5487.00000,5441.90000,5487.00000,3029,5522.40000,5535.40000,130.00,0,0
8316.jp,M30,2026.04.21 04:30:00,5486.00000,5520.10000,5479.90000,5513.20000,2722,5522.40000,5535.40000,130.00,0,0
8316.jp,M30,2026.04.21 05:00:00,5511.40000,5532.30000,5506.90000,5528.10000,2218,5522.40000,5535.40000,130.00,0,0
8316.jp,M30,2026.04.21 06:30:00,5498.90000,5508.20000,5475.20000,5495.90000,2361,5522.40000,5535.40000,130.00,0,0
8316.jp,M30,2026.04.21 07:00:00,5495.90000,5504.10000,5487.90000,5489.90000,1352,5522.40000,5535.40000,130.00,0,0
8316.jp,M30,2026.04.21 07:30:00,5488.90000,5501.30000,5475.20000,5476.90000,1433,5522.40000,5535.40000,130.00,0,0
8316.jp,M30,2026.04.21 08:00:00,5481.10000,5489.10000,5475.20000,5478.90000,2058,5522.40000,5535.40000,130.00,0,0
8316.jp,M30,2026.04.21 08:30:00,5480.90000,5490.60000,5475.20000,5488.20000,2076,5522.40000,5535.40000,130.00,0,0
