symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
ABC.hk,H1,2026.04.08 06:30:00,5.60000,5.65000,5.60000,5.64000,59,5.98000,6.13000,15.00,0,0
ABC.hk,H1,2026.04.08 08:00:00,5.62000,5.65000,5.61000,5.62000,72,5.98000,6.13000,15.00,0,0
ABC.hk,H1,2026.04.08 09:00:00,5.63000,5.65000,5.61000,5.65000,76,5.98000,6.13000,15.00,0,0
ABC.hk,H1,2026.04.08 10:00:00,5.63000,5.66000,5.61000,5.66000,91,5.98000,6.13000,15.00,0,0
ABC.hk,H1,2026.04.09 04:30:00,5.62000,5.68000,5.62000,5.64000,151,5.98000,6.13000,15.00,0,0
ABC.hk,H1,2026.04.09 05:30:00,5.65000,5.70000,5.64000,5.68000,86,5.98000,6.13000,15.00,0,0
ABC.hk,H1,2026.04.09 06:30:00,5.69000,5.69000,5.67000,5.68000,31,5.98000,6.13000,15.00,0,0
ABC.hk,H1,2026.04.09 08:00:00,5.67000,5.70000,5.66000,5.68000,72,5.98000,6.13000,15.00,0,0
ABC.hk,H1,2026.04.09 09:00:00,5.65000,5.69000,5.64000,5.67000,78,5.98000,6.13000,15.00,0,0
ABC.hk,H1,2026.04.09 10:00:00,5.68000,5.69000,5.64000,5.65000,97,5.98000,6.13000,15.00,0,0
ABC.hk,H1,2026.04.10 04:30:00,5.68000,5.72000,5.66000,5.69000,99,5.98000,6.13000,15.00,0,0
ABC.hk,H1,2026.04.10 05:30:00,5.71000,5.72000,5.67000,5.70000,69,5.98000,6.13000,15.00,0,0
ABC.hk,H1,2026.04.10 06:30:00,5.68000,5.70000,5.68000,5.68000,31,5.98000,6.13000,15.00,0,0
ABC.hk,H1,2026.04.10 08:00:00,5.70000,5.73000,5.68000,5.73000,87,5.98000,6.13000,15.00,0,0
ABC.hk,H1,2026.04.10 09:00:00,5.71000,5.73000,5.68000,5.71000,66,5.98000,6.13000,15.00,0,0
ABC.hk,H1,2026.04.10 10:00:00,5.69000,5.72000,5.69000,5.72000,68,5.98000,6.13000,15.00,0,0
ABC.hk,H1,2026.04.13 04:30:00,5.71000,5.71000,5.64000,5.67000,72,5.98000,6.13000,15.00,0,0
ABC.hk,H1,2026.04.13 05:30:00,5.68000,5.74000,5.67000,5.74000,91,5.98000,6.13000,15.00,0,0
ABC.hk,H1,2026.04.13 06:30:00,5.73000,5.74000,5.72000,5.73000,32,5.98000,6.13000,15.00,0,0
ABC.hk,H1,2026.04.13 08:00:00,5.72000,5.76000,5.71000,5.73000,79,5.98000,6.13000,15.00,0,0
ABC.hk,H1,2026.04.13 09:00:00,5.71000,5.73000,5.70000,5.73000,58,5.98000,6.13000,15.00,0,0
ABC.hk,H1,2026.04.13 10:00:00,5.74000,5.75000,5.71000,5.72000,77,5.98000,6.13000,15.00,0,0
ABC.hk,H1,2026.04.14 04:30:00,5.75000,5.81000,5.72000,5.78000,102,5.98000,6.13000,15.00,0,0
ABC.hk,H1,2026.04.14 05:30:00,5.79000,5.81000,5.76000,5.81000,115,5.98000,6.13000,15.00,0,0
ABC.hk,H1,2026.04.14 06:30:00,5.80000,5.81000,5.78000,5.80000,46,5.98000,6.13000,15.00,0,0
ABC.hk,H1,2026.04.14 08:00:00,5.79000,5.86000,5.79000,5.81000,127,5.98000,6.13000,15.00,0,0
ABC.hk,H1,2026.04.14 09:00:00,5.82000,5.86000,5.82000,5.85000,94,5.98000,6.13000,15.00,0,0
