symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
AUDCNH,M1,2026.05.01 21:54:00,4.92300,4.92343,4.92300,4.92330,17,4.92176,4.92284,108.00,0,0
AUDCNH,M1,2026.05.01 21:55:00,4.92322,4.92439,4.92322,4.92426,32,4.92176,4.92284,108.00,0,0
AUDCNH,M1,2026.05.01 21:56:00,4.92426,4.92426,4.92385,4.92388,22,4.92176,4.92284,108.00,0,0
AUDCNH,M1,2026.05.01 21:57:00,4.92395,4.92459,4.92390,4.92428,21,4.92176,4.92284,108.00,0,0
AUDCNH,M1,2026.05.01 21:58:00,4.92428,4.92428,4.92360,4.92362,28,4.92176,4.92284,108.00,0,0
AUDCNH,M1,2026.05.01 21:59:00,4.92354,4.92397,4.92341,4.92376,33,4.92176,4.92284,108.00,0,0
AUDCNH,M1,2026.05.01 22:00:00,4.92375,4.92417,4.92347,4.92417,31,4.92176,4.92284,108.00,0,0
AUDCNH,M1,2026.05.01 22:01:00,4.92424,4.92441,4.92386,4.92393,20,4.92176,4.92284,108.00,0,0
AUDCNH,M1,2026.05.01 22:02:00,4.92383,4.92396,4.92344,4.92356,21,4.92176,4.92284,108.00,0,0
AUDCNH,M1,2026.05.01 22:03:00,4.92356,4.92369,4.92322,4.92337,20,4.92176,4.92284,108.00,0,0
AUDCNH,M1,2026.05.01 22:04:00,4.92337,4.92344,4.92302,4.92344,17,4.92176,4.92284,108.00,0,0
AUDCNH,M1,2026.05.01 22:05:00,4.92344,4.92355,4.92332,4.92350,10,4.92176,4.92284,108.00,0,0
AUDCNH,M1,2026.05.01 22:06:00,4.92350,4.92350,4.92321,4.92332,9,4.92176,4.92284,108.00,0,0
AUDCNH,M1,2026.05.01 22:07:00,4.92340,4.92350,4.92312,4.92326,11,4.92176,4.92284,108.00,0,0
AUDCNH,M1,2026.05.01 22:08:00,4.92317,4.92326,4.92281,4.92304,19,4.92176,4.92284,108.00,0,0
AUDCNH,M1,2026.05.01 22:09:00,4.92311,4.92323,4.92308,4.92316,9,4.92176,4.92284,108.00,0,0
AUDCNH,M1,2026.05.01 22:10:00,4.92324,4.92324,4.92263,4.92284,18,4.92176,4.92284,108.00,0,0
AUDCNH,M1,2026.05.01 22:11:00,4.92298,4.92337,4.92275,4.92287,21,4.92176,4.92284,108.00,0,0
AUDCNH,M1,2026.05.01 22:12:00,4.92288,4.92297,4.92248,4.92264,17,4.92176,4.92284,108.00,0,0
AUDCNH,M1,2026.05.01 22:13:00,4.92272,4.92302,4.92265,4.92282,12,4.92176,4.92284,108.00,0,0
AUDCNH,M1,2026.05.01 22:14:00,4.92290,4.92306,4.92283,4.92285,18,4.92176,4.92284,108.00,0,0
AUDCNH,M1,2026.05.01 22:15:00,4.92292,4.92321,4.92292,4.92292,11,4.92176,4.92284,108.00,0,0
AUDCNH,M1,2026.05.01 22:16:00,4.92284,4.92289,4.92264,4.92273,18,4.92176,4.92284,108.00,0,0
AUDCNH,M1,2026.05.01 22:17:00,4.92274,4.92322,4.92267,4.92322,15,4.92176,4.92284,108.00,0,0
AUDCNH,M1,2026.05.01 22:18:00,4.92318,4.92318,4.92297,4.92309,12,4.92176,4.92284,108.00,0,0
AUDCNH,M1,2026.05.01 22:19:00,4.92302,4.92302,4.92287,4.92289,7,4.92176,4.92284,108.00,0,0
AUDCNH,M1,2026.05.01 22:20:00,4.92288,4.92327,4.92288,4.92319,7,4.92176,4.92284,108.00,0,0
AUDCNH,M1,2026.05.01 22:21:00,4.92323,4.92381,4.92323,4.92374,15,4.92176,4.92284,108.00,0,0
AUDCNH,M1,2026.05.01 22:22:00,4.92374,4.92384,4.92373,4.92384,8,4.92176,4.92284,108.00,0,0
AUDCNH,M1,2026.05.01 22:23:00,4.92376,4.92398,4.92356,4.92356,15,4.92176,4.92284,108.00,0,0
AUDCNH,M1,2026.05.01 22:24:00,4.92361,4.92394,4.92361,4.92393,8,4.92176,4.92284,108.00,0,0
AUDCNH,M1,2026.05.01 22:25:00,4.92393,4.92394,4.92379,4.92394,9,4.92176,4.92284,108.00,0,0
AUDCNH,M1,2026.05.01 22:26:00,4.92402,4.92419,4.92402,4.92418,11,4.92176,4.92284,108.00,0,0
AUDCNH,M1,2026.05.01 22:27:00,4.92419,4.92419,4.92396,4.92403,10,4.92176,4.92284,108.00,0,0
AUDCNH,M1,2026.05.01 22:28:00,4.92403,4.92403,4.92379,4.92389,12,4.92176,4.92284,108.00,0,0
AUDCNH,M1,2026.05.01 22:29:00,4.92382,4.92387,4.92366,4.92366,9,4.92176,4.92284,108.00,0,0
AUDCNH,M1,2026.05.01 22:30:00,4.92367,4.92379,4.92315,4.92322,15,4.92176,4.92284,108.00,0,0
