symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
AUDJPY,M30,2026.04.29 20:30:00,114.24400,114.31500,114.19000,114.20700,4753,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.29 21:00:00,114.20900,114.27100,113.97200,114.04200,6652,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.29 21:30:00,114.04100,114.11100,113.91100,114.06400,7126,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.29 22:00:00,114.06300,114.13000,113.97500,114.07600,5857,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.29 22:30:00,114.07500,114.15600,114.04000,114.13400,5468,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.29 23:00:00,114.13800,114.19100,114.08000,114.19100,5273,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.29 23:30:00,114.19100,114.20500,114.13600,114.14600,2947,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 00:30:00,113.97900,114.05800,113.97900,114.03500,860,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 01:00:00,114.04600,114.14800,114.04600,114.14200,1481,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 01:30:00,114.14100,114.17200,114.11200,114.11600,1280,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 02:00:00,114.12200,114.14900,114.10600,114.12900,2086,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 02:30:00,114.12900,114.18800,114.11400,114.17300,3007,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 03:00:00,114.17300,114.21700,114.06100,114.13300,4938,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 03:30:00,114.13400,114.19200,114.09700,114.14400,5053,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 04:00:00,114.14400,114.15300,114.07900,114.10200,4718,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 04:30:00,114.10100,114.19200,114.07500,114.15900,5280,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 05:00:00,114.16000,114.23000,114.14700,114.18300,4439,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 05:30:00,114.18200,114.27400,114.11100,114.25100,6348,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 06:00:00,114.25100,114.33800,114.24800,114.31800,4802,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 06:30:00,114.31800,114.34100,114.28100,114.29700,4617,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 07:00:00,114.29900,114.31200,114.18500,114.22300,5617,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 07:30:00,114.22200,114.27400,114.20600,114.21900,5153,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 08:00:00,114.22200,114.30400,114.22000,114.27500,4721,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 08:30:00,114.27700,114.32300,114.20700,114.25600,4830,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 09:00:00,114.25800,114.33500,114.21600,114.28200,5744,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 09:30:00,114.28200,114.34300,114.22500,114.31900,5713,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 10:00:00,114.31700,114.39600,114.30400,114.37800,6486,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 10:30:00,114.37800,114.43400,113.91800,114.12600,5415,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 11:00:00,114.12600,114.23800,114.03900,114.07700,7170,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 11:30:00,114.07700,114.10000,113.66600,113.76100,6404,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 12:00:00,113.76100,113.77600,113.59600,113.68800,6590,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 12:30:00,113.68900,113.90900,113.68800,113.83300,6639,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 13:00:00,113.83400,113.85800,113.13700,113.31500,6312,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 13:30:00,113.30100,113.33100,112.32400,112.48100,10005,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 14:00:00,112.48200,112.67500,112.05400,112.12800,9308,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 14:30:00,112.12500,112.24500,111.30700,111.85400,8568,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 15:00:00,111.85400,112.06200,111.75400,111.97400,7302,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 15:30:00,111.97800,112.26700,111.96000,112.11200,7192,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 16:00:00,112.11500,112.19800,111.76200,112.09500,7916,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 16:30:00,112.09100,112.45100,112.05700,112.37500,7934,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 17:00:00,112.37600,112.56900,112.33600,112.52200,7568,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 17:30:00,112.51800,112.68300,112.29200,112.60900,7719,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 18:00:00,112.60800,112.71000,112.55200,112.60800,7070,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 18:30:00,112.60900,112.66000,112.51400,112.51400,5227,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 19:00:00,112.51300,112.53800,112.40900,112.50000,6588,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 19:30:00,112.50000,112.54300,112.41300,112.44400,5985,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 20:00:00,112.44600,112.51500,112.42500,112.43800,6095,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 20:30:00,112.43700,112.44500,112.39700,112.40700,5060,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 21:00:00,112.40900,112.47900,112.39400,112.45300,4381,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 21:30:00,112.45400,112.60900,112.45100,112.58100,4659,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 22:00:00,112.58000,112.66200,112.55600,112.63100,5239,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 22:30:00,112.63200,112.69800,112.61400,112.67200,5057,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 23:00:00,112.67100,112.70200,112.65900,112.69800,3145,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.04.30 23:30:00,112.69500,112.78500,112.67500,112.73500,2391,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.05.01 00:00:00,112.62500,112.65700,112.60600,112.60600,256,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.05.01 00:30:00,112.60600,112.68300,112.60500,112.67700,847,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.05.01 01:00:00,112.69900,112.80300,112.69900,112.80200,1089,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.05.01 01:30:00,112.80000,112.83100,112.77000,112.77400,1066,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.05.01 02:00:00,112.77500,112.90100,112.76800,112.85200,1920,113.16500,113.18800,23.00,0,0
AUDJPY,M30,2026.05.01 02:30:00,112.85100,113.10800,112.85100,113.02400,3078,113.16500,113.18800,23.00,0,0
