symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
AUDNZD,M1,2026.05.01 21:54:00,1.22087,1.22091,1.22081,1.22088,82,1.22109,1.22153,44.00,0,0
AUDNZD,M1,2026.05.01 21:55:00,1.22089,1.22089,1.22076,1.22077,99,1.22109,1.22153,44.00,0,0
AUDNZD,M1,2026.05.01 21:56:00,1.22077,1.22085,1.22074,1.22078,87,1.22109,1.22153,44.00,0,0
AUDNZD,M1,2026.05.01 21:57:00,1.22080,1.22084,1.22077,1.22083,100,1.22109,1.22153,44.00,0,0
AUDNZD,M1,2026.05.01 21:58:00,1.22082,1.22088,1.22076,1.22080,110,1.22109,1.22153,44.00,0,0
AUDNZD,M1,2026.05.01 21:59:00,1.22079,1.22086,1.22071,1.22085,109,1.22109,1.22153,44.00,0,0
AUDNZD,M1,2026.05.01 22:00:00,1.22085,1.22094,1.22074,1.22094,97,1.22109,1.22153,44.00,0,0
AUDNZD,M1,2026.05.01 22:01:00,1.22092,1.22096,1.22085,1.22087,94,1.22109,1.22153,44.00,0,0
AUDNZD,M1,2026.05.01 22:02:00,1.22086,1.22099,1.22084,1.22099,67,1.22109,1.22153,44.00,0,0
AUDNZD,M1,2026.05.01 22:03:00,1.22098,1.22099,1.22079,1.22084,61,1.22109,1.22153,44.00,0,0
AUDNZD,M1,2026.05.01 22:04:00,1.22084,1.22093,1.22080,1.22093,47,1.22109,1.22153,44.00,0,0
AUDNZD,M1,2026.05.01 22:05:00,1.22092,1.22092,1.22084,1.22088,25,1.22109,1.22153,44.00,0,0
AUDNZD,M1,2026.05.01 22:06:00,1.22089,1.22097,1.22085,1.22091,50,1.22109,1.22153,44.00,0,0
AUDNZD,M1,2026.05.01 22:07:00,1.22092,1.22094,1.22085,1.22085,50,1.22109,1.22153,44.00,0,0
AUDNZD,M1,2026.05.01 22:08:00,1.22086,1.22086,1.22077,1.22077,34,1.22109,1.22153,44.00,0,0
AUDNZD,M1,2026.05.01 22:09:00,1.22087,1.22090,1.22080,1.22090,79,1.22109,1.22153,44.00,0,0
AUDNZD,M1,2026.05.01 22:10:00,1.22090,1.22096,1.22087,1.22092,71,1.22109,1.22153,44.00,0,0
AUDNZD,M1,2026.05.01 22:11:00,1.22091,1.22094,1.22082,1.22083,84,1.22109,1.22153,44.00,0,0
AUDNZD,M1,2026.05.01 22:12:00,1.22083,1.22090,1.22082,1.22089,66,1.22109,1.22153,44.00,0,0
AUDNZD,M1,2026.05.01 22:13:00,1.22089,1.22096,1.22087,1.22089,75,1.22109,1.22153,44.00,0,0
AUDNZD,M1,2026.05.01 22:14:00,1.22090,1.22094,1.22087,1.22089,53,1.22109,1.22153,44.00,0,0
AUDNZD,M1,2026.05.01 22:15:00,1.22088,1.22094,1.22084,1.22087,66,1.22109,1.22153,44.00,0,0
AUDNZD,M1,2026.05.01 22:16:00,1.22086,1.22094,1.22083,1.22084,67,1.22109,1.22153,44.00,0,0
AUDNZD,M1,2026.05.01 22:17:00,1.22085,1.22093,1.22082,1.22091,65,1.22109,1.22153,44.00,0,0
AUDNZD,M1,2026.05.01 22:18:00,1.22092,1.22092,1.22079,1.22079,42,1.22109,1.22153,44.00,0,0
AUDNZD,M1,2026.05.01 22:19:00,1.22080,1.22082,1.22080,1.22082,5,1.22109,1.22153,44.00,0,0
AUDNZD,M1,2026.05.01 22:20:00,1.22081,1.22097,1.22081,1.22087,44,1.22109,1.22153,44.00,0,0
AUDNZD,M1,2026.05.01 22:21:00,1.22088,1.22094,1.22084,1.22091,30,1.22109,1.22153,44.00,0,0
AUDNZD,M1,2026.05.01 22:22:00,1.22092,1.22092,1.22083,1.22084,30,1.22109,1.22153,44.00,0,0
AUDNZD,M1,2026.05.01 22:23:00,1.22085,1.22089,1.22083,1.22087,28,1.22109,1.22153,44.00,0,0
AUDNZD,M1,2026.05.01 22:24:00,1.22086,1.22099,1.22086,1.22099,42,1.22109,1.22153,44.00,0,0
AUDNZD,M1,2026.05.01 22:25:00,1.22100,1.22100,1.22094,1.22098,72,1.22109,1.22153,44.00,0,0
AUDNZD,M1,2026.05.01 22:26:00,1.22101,1.22101,1.22088,1.22090,77,1.22109,1.22153,44.00,0,0
