symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
AUDUSD,M15,2026.04.30 22:00:00,0.71978,0.72024,0.71975,0.72002,1115,0.72045,0.72058,13.00,0,0
AUDUSD,M15,2026.04.30 22:15:00,0.72003,0.72007,0.71967,0.71981,948,0.72045,0.72058,13.00,0,0
AUDUSD,M15,2026.04.30 22:30:00,0.71980,0.72008,0.71966,0.71993,1009,0.72045,0.72058,13.00,0,0
AUDUSD,M15,2026.04.30 22:45:00,0.71993,0.72003,0.71967,0.71967,1100,0.72045,0.72058,13.00,0,0
AUDUSD,M15,2026.04.30 23:00:00,0.71968,0.71993,0.71956,0.71972,763,0.72045,0.72058,13.00,0,0
AUDUSD,M15,2026.04.30 23:15:00,0.71974,0.71998,0.71971,0.71991,439,0.72045,0.72058,13.00,0,0
AUDUSD,M15,2026.04.30 23:30:00,0.71990,0.72027,0.71983,0.71989,543,0.72045,0.72058,13.00,0,0
AUDUSD,M15,2026.04.30 23:45:00,0.71993,0.72017,0.71983,0.72005,468,0.72045,0.72058,13.00,0,0
AUDUSD,M15,2026.05.01 00:00:00,0.72005,0.72005,0.71891,0.71965,93,0.72045,0.72058,13.00,0,0
AUDUSD,M15,2026.05.01 00:15:00,0.71965,0.71965,0.71934,0.71934,130,0.72045,0.72058,13.00,0,0
AUDUSD,M15,2026.05.01 00:30:00,0.71934,0.71950,0.71934,0.71950,115,0.72045,0.72058,13.00,0,0
AUDUSD,M15,2026.05.01 00:45:00,0.71950,0.71981,0.71949,0.71981,143,0.72045,0.72058,13.00,0,0
AUDUSD,M15,2026.05.01 01:00:00,0.71980,0.72013,0.71978,0.71994,416,0.72045,0.72058,13.00,0,0
AUDUSD,M15,2026.05.01 01:15:00,0.71994,0.72005,0.71994,0.72001,166,0.72045,0.72058,13.00,0,0
AUDUSD,M15,2026.05.01 01:30:00,0.72002,0.72006,0.71971,0.71983,294,0.72045,0.72058,13.00,0,0
AUDUSD,M15,2026.05.01 01:45:00,0.71984,0.71993,0.71970,0.71990,217,0.72045,0.72058,13.00,0,0
AUDUSD,M15,2026.05.01 02:00:00,0.71993,0.72018,0.71990,0.72017,559,0.72045,0.72058,13.00,0,0
AUDUSD,M15,2026.05.01 02:15:00,0.72017,0.72023,0.72011,0.72019,368,0.72045,0.72058,13.00,0,0
AUDUSD,M15,2026.05.01 02:30:00,0.72019,0.72044,0.72019,0.72028,314,0.72045,0.72058,13.00,0,0
AUDUSD,M15,2026.05.01 02:45:00,0.72026,0.72042,0.71996,0.72000,712,0.72045,0.72058,13.00,0,0
AUDUSD,M15,2026.05.01 03:00:00,0.72002,0.72026,0.71963,0.71975,1782,0.72045,0.72058,13.00,0,0
AUDUSD,M15,2026.05.01 03:15:00,0.71976,0.71997,0.71966,0.71980,1381,0.72045,0.72058,13.00,0,0
AUDUSD,M15,2026.05.01 03:30:00,0.71980,0.71993,0.71950,0.71993,1039,0.72045,0.72058,13.00,0,0
AUDUSD,M15,2026.05.01 03:45:00,0.71993,0.72013,0.71972,0.72002,1113,0.72045,0.72058,13.00,0,0
