symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
BAC.ext,M5,2026.05.01 21:50:00,53.22000,53.26000,53.20000,53.23000,42,53.27000,53.40000,13.00,0,0
BAC.ext,M5,2026.05.01 21:55:00,53.22000,53.28000,53.22000,53.23000,47,53.27000,53.40000,13.00,0,0
BAC.ext,M5,2026.05.01 22:00:00,53.21000,53.25000,53.20000,53.24000,82,53.27000,53.40000,13.00,0,0
BAC.ext,M5,2026.05.01 22:05:00,53.22000,53.26000,53.21000,53.23000,58,53.27000,53.40000,13.00,0,0
BAC.ext,M5,2026.05.01 22:10:00,53.24000,53.27000,53.18000,53.20000,59,53.27000,53.40000,13.00,0,0
BAC.ext,M5,2026.05.01 22:15:00,53.21000,53.34000,53.19000,53.32000,84,53.27000,53.40000,13.00,0,0
BAC.ext,M5,2026.05.01 22:20:00,53.34000,53.37000,53.32000,53.33000,90,53.27000,53.40000,13.00,0,0
BAC.ext,M5,2026.05.01 22:25:00,53.35000,53.40000,53.34000,53.36000,105,53.27000,53.40000,13.00,0,0
BAC.ext,M5,2026.05.01 22:30:00,53.37000,53.42000,53.27000,53.29000,145,53.27000,53.40000,13.00,0,0
BAC.ext,M5,2026.05.01 22:35:00,53.31000,53.34000,53.26000,53.33000,68,53.27000,53.40000,13.00,0,0
BAC.ext,M5,2026.05.01 22:40:00,53.33000,53.34000,53.30000,53.31000,58,53.27000,53.40000,13.00,0,0
BAC.ext,M5,2026.05.01 22:45:00,53.32000,53.32000,53.24000,53.29000,94,53.27000,53.40000,13.00,0,0
BAC.ext,M5,2026.05.01 22:50:00,53.28000,53.29000,53.24000,53.24000,13,53.27000,53.40000,13.00,0,0
