symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
BA.ext,M1,2026.05.01 21:54:00,228.35000,228.40000,228.32000,228.32000,14,227.54000,228.07000,53.00,0,0
BA.ext,M1,2026.05.01 21:55:00,228.35000,228.40000,228.23000,228.40000,17,227.54000,228.07000,53.00,0,0
BA.ext,M1,2026.05.01 21:56:00,228.37000,228.37000,228.28000,228.29000,19,227.54000,228.07000,53.00,0,0
BA.ext,M1,2026.05.01 21:57:00,228.29000,228.39000,228.29000,228.35000,9,227.54000,228.07000,53.00,0,0
BA.ext,M1,2026.05.01 21:58:00,228.30000,228.37000,228.30000,228.37000,5,227.54000,228.07000,53.00,0,0
BA.ext,M1,2026.05.01 21:59:00,228.40000,228.42000,228.33000,228.34000,8,227.54000,228.07000,53.00,0,0
BA.ext,M1,2026.05.01 22:00:00,228.32000,228.32000,228.18000,228.24000,7,227.54000,228.07000,53.00,0,0
BA.ext,M1,2026.05.01 22:01:00,228.32000,228.50000,228.23000,228.32000,9,227.54000,228.07000,53.00,0,0
BA.ext,M1,2026.05.01 22:02:00,228.32000,228.50000,228.32000,228.40000,10,227.54000,228.07000,53.00,0,0
BA.ext,M1,2026.05.01 22:03:00,228.40000,228.51000,228.38000,228.39000,8,227.54000,228.07000,53.00,0,0
BA.ext,M1,2026.05.01 22:04:00,228.21000,228.34000,228.17000,228.17000,6,227.54000,228.07000,53.00,0,0
BA.ext,M1,2026.05.01 22:05:00,228.17000,228.44000,228.17000,228.31000,15,227.54000,228.07000,53.00,0,0
BA.ext,M1,2026.05.01 22:06:00,228.33000,228.33000,228.31000,228.32000,8,227.54000,228.07000,53.00,0,0
BA.ext,M1,2026.05.01 22:07:00,228.32000,228.43000,228.32000,228.43000,5,227.54000,228.07000,53.00,0,0
BA.ext,M1,2026.05.01 22:08:00,228.43000,228.45000,228.42000,228.43000,19,227.54000,228.07000,53.00,0,0
BA.ext,M1,2026.05.01 22:09:00,228.44000,228.47000,228.43000,228.43000,9,227.54000,228.07000,53.00,0,0
BA.ext,M1,2026.05.01 22:10:00,228.45000,228.45000,228.43000,228.43000,3,227.54000,228.07000,53.00,0,0
BA.ext,M1,2026.05.01 22:11:00,228.44000,228.44000,228.44000,228.44000,2,227.54000,228.07000,53.00,0,0
BA.ext,M1,2026.05.01 22:12:00,228.44000,228.53000,228.44000,228.47000,9,227.54000,228.07000,53.00,0,0
BA.ext,M1,2026.05.01 22:13:00,228.50000,228.50000,228.19000,228.20000,9,227.54000,228.07000,53.00,0,0
BA.ext,M1,2026.05.01 22:14:00,228.21000,228.24000,228.21000,228.24000,3,227.54000,228.07000,53.00,0,0
BA.ext,M1,2026.05.01 22:15:00,228.28000,228.29000,228.25000,228.25000,6,227.54000,228.07000,53.00,0,0
BA.ext,M1,2026.05.01 22:16:00,228.24000,228.24000,228.13000,228.14000,4,227.54000,228.07000,53.00,0,0
BA.ext,M1,2026.05.01 22:17:00,228.15000,228.26000,228.13000,228.22000,15,227.54000,228.07000,53.00,0,0
BA.ext,M1,2026.05.01 22:18:00,228.33000,228.40000,228.21000,228.21000,10,227.54000,228.07000,53.00,0,0
BA.ext,M1,2026.05.01 22:19:00,228.35000,228.48000,228.35000,228.36000,13,227.54000,228.07000,53.00,0,0
BA.ext,M1,2026.05.01 22:20:00,228.39000,228.55000,228.31000,228.31000,8,227.54000,228.07000,53.00,0,0
BA.ext,M1,2026.05.01 22:21:00,228.35000,228.41000,228.35000,228.36000,5,227.54000,228.07000,53.00,0,0
BA.ext,M1,2026.05.01 22:22:00,228.43000,228.43000,228.28000,228.36000,7,227.54000,228.07000,53.00,0,0
BA.ext,M1,2026.05.01 22:23:00,228.34000,228.41000,228.34000,228.36000,14,227.54000,228.07000,53.00,0,0
BA.ext,M1,2026.05.01 22:24:00,228.34000,228.37000,228.34000,228.36000,5,227.54000,228.07000,53.00,0,0
BA.ext,M1,2026.05.01 22:25:00,228.36000,228.38000,228.26000,228.38000,13,227.54000,228.07000,53.00,0,0
BA.ext,M1,2026.05.01 22:26:00,228.40000,228.42000,228.38000,228.41000,6,227.54000,228.07000,53.00,0,0
BA.ext,M1,2026.05.01 22:27:00,228.42000,228.43000,228.35000,228.41000,7,227.54000,228.07000,53.00,0,0
BA.ext,M1,2026.05.01 22:28:00,228.34000,228.34000,228.21000,228.31000,18,227.54000,228.07000,53.00,0,0
BA.ext,M1,2026.05.01 22:29:00,228.36000,228.36000,228.20000,228.20000,18,227.54000,228.07000,53.00,0,0
BA.ext,M1,2026.05.01 22:30:00,228.22000,228.26000,228.15000,228.24000,19,227.54000,228.07000,53.00,0,0
BA.ext,M1,2026.05.01 22:31:00,228.29000,228.29000,228.16000,228.25000,13,227.54000,228.07000,53.00,0,0
BA.ext,M1,2026.05.01 22:32:00,228.25000,228.28000,228.24000,228.26000,11,227.54000,228.07000,53.00,0,0
BA.ext,M1,2026.05.01 22:33:00,228.27000,228.27000,228.16000,228.16000,6,227.54000,228.07000,53.00,0,0
