symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
BA.uk,H4,2026.03.13 19:00:00,2284.86000,2297.85000,2282.85000,2295.86000,241,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.03.16 11:00:00,2310.85000,2321.86000,2290.84000,2309.86000,1531,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.03.16 15:00:00,2309.84000,2326.86000,2299.84000,2323.84000,1583,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.03.16 19:00:00,2322.86000,2324.84000,2318.84000,2322.85000,161,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.03.17 11:00:00,2299.84000,2317.86000,2277.86000,2316.85000,1235,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.03.17 15:00:00,2317.85000,2341.85000,2312.84000,2338.85000,1526,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.03.17 19:00:00,2339.86000,2339.86000,2330.84000,2335.84000,233,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.03.18 11:00:00,2323.85000,2354.86000,2312.85000,2352.86000,1340,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.03.18 15:00:00,2351.84000,2354.85000,2315.84000,2318.84000,1792,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.03.18 19:00:00,2317.84000,2325.86000,2317.84000,2320.86000,241,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.03.19 11:00:00,2324.84000,2334.86000,2270.85000,2274.84000,2185,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.03.19 15:00:00,2273.86000,2292.86000,2256.85000,2292.86000,2818,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.03.19 19:00:00,2291.86000,2300.86000,2290.84000,2296.85000,287,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.03.20 11:00:00,2296.85000,2297.84000,2241.84000,2279.85000,2913,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.03.20 15:00:00,2280.85000,2292.86000,2234.84000,2241.85000,3825,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.03.20 19:00:00,2240.85000,2243.86000,2230.85000,2231.84000,530,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.03.23 11:00:00,2181.85000,2204.86000,2157.84000,2184.84000,5607,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.03.23 15:00:00,2182.85000,2193.85000,2139.85000,2139.86000,4362,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.03.23 19:00:00,2139.84000,2149.86000,2137.84000,2140.35000,445,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.03.24 11:00:00,2121.84000,2123.86000,2106.84000,2117.85000,2525,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.03.24 15:00:00,2116.85000,2119.84000,2077.84000,2105.84000,3212,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.03.24 19:00:00,2105.85000,2106.86000,2094.85000,2106.36000,266,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.03.25 11:00:00,2142.85000,2161.86000,2126.85000,2148.86000,1566,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.03.25 15:00:00,2149.86000,2156.86000,2141.86000,2149.85000,1551,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.03.25 19:00:00,2148.85000,2155.86000,2145.84000,2154.84000,269,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.03.26 11:00:00,2132.86000,2141.86000,2104.84000,2119.86000,2190,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.03.26 15:00:00,2119.84000,2130.86000,2097.84000,2110.86000,2026,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.03.26 19:00:00,2110.85000,2113.86000,2097.84000,2099.86000,216,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.03.27 11:00:00,2088.86000,2090.85000,2045.84000,2067.85000,2106,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.03.27 15:00:00,2066.85000,2068.86000,2051.84000,2062.86000,1431,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.03.27 19:00:00,2061.85000,2062.85000,2045.84000,2051.36000,250,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.03.30 10:00:00,2029.85000,2098.86000,2029.84000,2093.85000,1906,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.03.30 14:00:00,2093.85000,2134.86000,2090.84000,2130.84000,1910,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.03.30 18:00:00,2130.85000,2133.84000,2120.84000,2124.84000,233,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.03.31 10:00:00,2105.86000,2191.86000,2103.85000,2182.84000,2377,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.03.31 14:00:00,2183.85000,2189.86000,2167.84000,2185.85000,2097,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.03.31 18:00:00,2186.84000,2194.86000,2184.84000,2189.36000,278,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.04.01 10:00:00,2223.84000,2273.85000,2201.84000,2272.85000,3742,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.04.01 14:00:00,2272.86000,2300.86000,2259.84000,2293.85000,3280,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.04.01 18:00:00,2292.86000,2301.86000,2287.84000,2288.85000,322,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.04.02 10:00:00,2272.84000,2286.86000,2259.86000,2280.86000,1913,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.04.02 14:00:00,2280.85000,2297.85000,2257.84000,2292.85000,2065,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.04.02 18:00:00,2294.85000,2294.86000,2286.84000,2287.84000,297,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.04.07 10:00:00,2273.84000,2288.86000,2244.34000,2252.35000,6031,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.04.07 14:00:00,2253.35000,2273.85000,2245.85000,2261.86000,7255,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.04.07 18:00:00,2261.85000,2273.86000,2261.34000,2272.10000,1026,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.04.08 10:00:00,2288.34000,2291.86000,2244.84000,2278.85000,5813,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.04.08 14:00:00,2278.34000,2300.36000,2250.34000,2282.85000,5736,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.04.08 18:00:00,2282.85000,2285.86000,2264.36000,2275.11000,965,2029.35000,2039.65000,1030.00,0,0
BA.uk,H4,2026.04.09 10:00:00,2275.84000,2299.35000,2252.84000,2277.85000,2927,2029.35000,2039.65000,1030.00,0,0
