symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
BA.uk,M30,2026.04.24 11:00:00,2036.86000,2041.35000,2028.34000,2036.34000,523,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.24 11:30:00,2036.84000,2037.86000,2026.34000,2028.36000,421,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.24 12:00:00,2028.86000,2039.86000,2027.34000,2037.84000,548,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.24 12:30:00,2037.86000,2041.85000,2034.84000,2038.85000,491,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.24 13:00:00,2039.34000,2043.36000,2034.36000,2037.34000,442,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.24 13:30:00,2037.36000,2040.85000,2035.85000,2038.34000,341,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.24 14:00:00,2038.85000,2048.86000,2035.84000,2045.35000,1164,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.24 14:30:00,2045.36000,2046.36000,2038.35000,2042.34000,421,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.24 15:00:00,2042.85000,2045.36000,2038.86000,2041.85000,559,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.24 15:30:00,2041.34000,2041.35000,2033.84000,2035.36000,508,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.24 16:00:00,2035.36000,2038.36000,2033.84000,2035.84000,461,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.24 16:30:00,2036.35000,2040.34000,2022.34000,2022.36000,902,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.24 17:00:00,2022.36000,2030.86000,2019.34000,2027.35000,796,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.24 17:30:00,2026.84000,2028.36000,2009.34000,2015.35000,809,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.24 18:00:00,2015.86000,2017.86000,2006.84000,2011.85000,681,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.27 10:00:00,2013.84000,2030.86000,2010.85000,2027.36000,627,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.27 10:30:00,2027.84000,2027.84000,2014.84000,2017.86000,375,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.27 11:00:00,2017.86000,2018.86000,2012.84000,2017.85000,346,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.27 11:30:00,2018.35000,2021.36000,2015.84000,2016.35000,322,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.27 12:00:00,2016.86000,2019.86000,2013.84000,2017.36000,335,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.27 12:30:00,2017.85000,2021.36000,2016.86000,2018.36000,255,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.27 13:00:00,2018.34000,2024.36000,2017.34000,2022.86000,280,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.27 13:30:00,2022.36000,2038.85000,2021.34000,2033.85000,434,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.27 14:00:00,2033.85000,2034.86000,2028.36000,2028.85000,338,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.27 14:30:00,2028.85000,2035.36000,2027.34000,2031.35000,287,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.27 15:00:00,2031.35000,2033.86000,2027.85000,2029.34000,284,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.27 15:30:00,2028.34000,2030.34000,2024.34000,2024.85000,297,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.27 16:00:00,2024.34000,2031.35000,2023.86000,2024.85000,211,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.27 16:30:00,2024.86000,2045.34000,2024.84000,2044.85000,637,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.27 17:00:00,2044.86000,2044.86000,2034.34000,2036.35000,410,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.27 17:30:00,2035.85000,2035.86000,2021.86000,2022.34000,489,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.27 18:00:00,2021.86000,2026.36000,2020.34000,2024.85000,325,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.28 10:00:00,2025.85000,2041.36000,2025.35000,2040.35000,705,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.28 10:30:00,2040.35000,2052.86000,2038.85000,2048.84000,326,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.28 11:00:00,2048.36000,2048.36000,2036.84000,2041.84000,511,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.28 11:30:00,2042.34000,2042.36000,2034.86000,2035.85000,326,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.28 12:00:00,2035.34000,2046.85000,2034.34000,2043.85000,248,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.28 12:30:00,2043.35000,2050.86000,2040.84000,2050.34000,264,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.28 13:00:00,2051.34000,2051.84000,2044.84000,2047.84000,213,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.28 13:30:00,2048.35000,2052.86000,2048.34000,2052.86000,184,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.28 14:00:00,2052.34000,2053.35000,2045.86000,2048.85000,238,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.28 14:30:00,2049.36000,2050.36000,2045.34000,2047.86000,386,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.28 15:00:00,2048.35000,2049.36000,2027.35000,2029.36000,606,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.28 15:30:00,2029.34000,2037.36000,2022.34000,2034.34000,406,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.28 16:00:00,2033.34000,2034.34000,2024.35000,2025.85000,315,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.28 16:30:00,2026.35000,2037.36000,2021.84000,2024.86000,647,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.28 17:00:00,2025.36000,2030.86000,2023.84000,2026.85000,522,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.28 17:30:00,2026.36000,2039.36000,2024.84000,2035.86000,735,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.28 18:00:00,2035.84000,2039.34000,2032.84000,2036.86000,513,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.29 10:00:00,2032.34000,2046.34000,2001.84000,2011.35000,711,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.29 10:30:00,2011.85000,2012.86000,1996.85000,2000.35000,373,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.29 11:00:00,2000.36000,2011.36000,2000.34000,2005.86000,332,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.29 11:30:00,2005.85000,2007.35000,2000.84000,2005.86000,226,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.29 12:00:00,2005.84000,2009.86000,2001.34000,2003.85000,225,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.29 12:30:00,2003.86000,2006.36000,1994.44000,1998.86000,402,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.29 13:00:00,1999.36000,2003.36000,1997.84000,2002.35000,295,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.29 13:30:00,2001.86000,2004.86000,1999.34000,2002.84000,319,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.29 14:00:00,2002.36000,2006.85000,2000.34000,2004.84000,250,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.29 14:30:00,2005.36000,2011.35000,2004.84000,2009.85000,254,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.29 15:00:00,2010.34000,2016.36000,1999.84000,2008.86000,413,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.29 15:30:00,2008.84000,2015.36000,2007.34000,2010.84000,321,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.29 16:00:00,2011.34000,2015.36000,2007.84000,2008.36000,277,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.29 16:30:00,2007.86000,2013.86000,1997.34000,2003.36000,583,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.29 17:00:00,2002.86000,2005.35000,1995.44000,2000.86000,485,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.29 17:30:00,2000.86000,2001.85000,1995.46000,1995.85000,283,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.29 18:00:00,1995.86000,2000.61000,1987.24000,2000.36000,741,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.30 10:00:00,1953.25000,2003.86000,1953.25000,2003.86000,827,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.30 10:30:00,2003.34000,2019.36000,2001.84000,2017.84000,516,2029.35000,2039.65000,1030.00,0,0
BA.uk,M30,2026.04.30 11:00:00,2018.36000,2031.35000,2017.84000,2021.35000,539,2029.35000,2039.65000,1030.00,0,0
