symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
BIDU.hk,H1,2026.04.08 06:30:00,110.19000,110.99000,110.17000,110.89000,74,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.08 08:00:00,110.89000,112.09000,110.37000,111.37000,348,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.08 09:00:00,111.47000,111.99000,111.27000,111.59000,181,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.08 10:00:00,111.57000,111.79000,110.87000,111.68000,282,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.09 04:30:00,110.87000,111.28000,109.47000,110.47000,378,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.09 05:30:00,110.48000,111.39000,110.38000,110.78000,199,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.09 06:30:00,110.77000,111.19000,110.77000,110.79000,62,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.09 08:00:00,110.69000,111.17000,109.67000,110.09000,179,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.09 09:00:00,109.99000,110.39000,109.97000,110.17000,110,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.09 10:00:00,110.28000,110.28000,109.17000,109.28000,173,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.10 04:30:00,105.58000,109.29000,104.77000,108.19000,814,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.10 05:30:00,108.18000,109.58000,107.87000,109.37000,259,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.10 06:30:00,109.38000,109.69000,108.57000,108.89000,83,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.10 08:00:00,108.89000,109.18000,108.07000,108.59000,201,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.10 09:00:00,108.67000,108.69000,108.17000,108.19000,109,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.10 10:00:00,108.17000,108.59000,107.88000,108.07000,147,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.13 04:30:00,105.08000,105.88000,104.67000,105.07000,250,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.13 05:30:00,105.09000,105.59000,104.77000,105.49000,178,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.13 06:30:00,105.49000,105.68000,105.37000,105.59000,56,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.13 08:00:00,105.57000,106.09000,105.28000,106.07000,187,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.13 09:00:00,106.09000,106.69000,106.08000,106.29000,196,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.13 10:00:00,106.38000,107.07000,106.37000,106.77000,176,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.14 04:30:00,110.39000,113.77000,110.17000,112.27000,660,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.14 05:30:00,112.17000,112.39000,111.27000,111.39000,293,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.14 06:30:00,111.39000,111.48000,111.17000,111.38000,57,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.14 08:00:00,111.39000,112.18000,110.57000,111.08000,287,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.14 09:00:00,111.18000,111.59000,110.97000,111.17000,166,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.14 10:00:00,111.27000,111.49000,110.69000,110.88000,190,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.15 04:30:00,116.07000,116.78000,114.27000,114.77000,512,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.15 05:30:00,114.88000,115.99000,114.49000,115.98000,219,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.15 06:30:00,115.99000,115.99000,115.47000,115.49000,76,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.15 08:00:00,115.49000,115.57000,114.18000,114.69000,198,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.15 09:00:00,114.67000,114.89000,114.38000,114.57000,120,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.15 10:00:00,114.58000,115.09000,114.27000,114.44000,204,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.16 04:30:00,118.39000,121.28000,118.07000,120.99000,505,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.16 05:30:00,120.98000,122.78000,120.97000,122.69000,355,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.16 06:30:00,122.67000,124.19000,122.67000,123.88000,153,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.16 08:00:00,123.78000,123.99000,122.38000,122.88000,262,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.16 09:00:00,122.97000,123.29000,122.47000,122.49000,135,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.16 10:00:00,122.57000,123.57000,122.09000,123.53000,222,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.17 04:30:00,120.97000,122.49000,120.97000,121.58000,471,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.17 05:30:00,121.49000,122.09000,121.47000,121.59000,166,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.17 06:30:00,121.59000,121.69000,121.47000,121.57000,67,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.17 08:00:00,121.59000,121.88000,120.87000,121.37000,191,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.17 09:00:00,121.27000,121.39000,120.77000,120.87000,126,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.17 10:00:00,120.98000,121.39000,120.59000,121.38000,186,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.20 04:30:00,122.57000,124.09000,120.68000,122.87000,694,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.20 05:30:00,122.99000,123.88000,122.47000,123.08000,334,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.20 06:30:00,123.07000,123.48000,122.96000,123.07000,124,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.20 08:00:00,123.08000,123.19000,121.88000,122.28000,288,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.20 09:00:00,122.29000,122.88000,122.27000,122.78000,270,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.20 10:00:00,122.87000,123.09000,122.47000,122.69000,234,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.21 04:30:00,124.68000,124.79000,122.98000,123.27000,351,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.21 05:30:00,123.37000,123.99000,122.97000,123.28000,167,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.21 06:30:00,123.27000,123.49000,123.27000,123.48000,47,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.21 08:00:00,123.47000,125.59000,123.47000,124.87000,295,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.21 09:00:00,124.89000,124.99000,124.16000,124.17000,149,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.21 10:00:00,124.28000,124.67000,123.98000,124.27000,148,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.22 04:30:00,120.98000,121.88000,120.27000,120.38000,441,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.22 05:30:00,120.39000,121.09000,119.97000,121.09000,172,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.22 06:30:00,121.07000,121.29000,120.67000,120.89000,71,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.22 08:00:00,120.99000,121.09000,120.47000,120.77000,165,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.22 09:00:00,120.78000,121.29000,120.59000,121.28000,124,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.22 10:00:00,121.19000,121.29000,120.87000,121.07000,154,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.23 04:30:00,120.48000,120.48000,118.98000,119.98000,373,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.23 05:30:00,119.99000,120.78000,119.97000,120.27000,174,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.23 06:30:00,120.27000,120.48000,119.97000,120.17000,52,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.23 08:00:00,120.29000,120.49000,119.97000,120.47000,153,118.58000,118.92000,34.00,0,0
BIDU.hk,H1,2026.04.23 09:00:00,120.57000,120.89000,120.47000,120.59000,136,118.58000,118.92000,34.00,0,0
