symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
BIOTECH,M1,2026.05.01 21:54:00,4155.21000,4155.35000,4153.24000,4153.78000,60,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 21:55:00,4153.78000,4155.57000,4152.25000,4155.24000,59,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 21:56:00,4155.24000,4156.54000,4153.54000,4154.31000,80,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 21:57:00,4154.31000,4155.72000,4153.79000,4153.79000,62,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 21:58:00,4154.02000,4154.50000,4153.12000,4153.46000,82,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 21:59:00,4153.46000,4155.63000,4153.46000,4155.48000,56,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:00:00,4155.48000,4155.86000,4154.29000,4154.83000,86,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:01:00,4154.83000,4155.25000,4153.47000,4153.47000,74,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:02:00,4153.56000,4153.66000,4150.69000,4150.69000,67,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:03:00,4150.69000,4153.61000,4150.58000,4150.74000,89,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:04:00,4150.74000,4151.87000,4150.73000,4151.41000,51,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:05:00,4151.41000,4152.02000,4150.36000,4151.64000,78,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:06:00,4151.76000,4154.43000,4151.28000,4154.43000,102,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:07:00,4155.15000,4155.93000,4152.81000,4153.14000,48,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:08:00,4152.99000,4154.83000,4152.55000,4154.23000,98,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:09:00,4154.23000,4156.05000,4153.55000,4153.55000,76,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:10:00,4153.55000,4153.78000,4151.93000,4152.05000,78,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:11:00,4151.71000,4152.25000,4151.10000,4151.47000,76,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:12:00,4151.83000,4153.98000,4150.15000,4150.89000,86,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:13:00,4150.77000,4150.77000,4148.79000,4148.91000,67,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:14:00,4148.91000,4154.22000,4148.89000,4151.99000,81,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:15:00,4151.99000,4155.68000,4151.99000,4153.57000,69,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:16:00,4153.57000,4153.57000,4151.83000,4152.50000,70,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:17:00,4152.39000,4153.99000,4152.39000,4152.75000,78,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:18:00,4152.81000,4153.92000,4151.85000,4152.81000,88,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:19:00,4153.21000,4153.35000,4150.95000,4151.34000,96,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:20:00,4151.46000,4151.83000,4149.70000,4150.56000,83,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:21:00,4150.27000,4150.79000,4149.16000,4150.79000,70,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:22:00,4150.70000,4151.10000,4149.05000,4150.11000,64,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:23:00,4150.17000,4150.36000,4148.11000,4148.11000,64,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:24:00,4147.96000,4148.02000,4146.61000,4146.90000,70,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:25:00,4146.92000,4147.89000,4144.68000,4147.89000,77,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:26:00,4147.98000,4148.62000,4146.97000,4147.34000,67,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:27:00,4147.45000,4148.20000,4145.42000,4145.44000,69,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:28:00,4145.40000,4147.15000,4145.31000,4145.91000,73,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:29:00,4145.91000,4146.18000,4142.89000,4143.11000,134,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:30:00,4142.99000,4144.52000,4142.71000,4144.52000,152,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:31:00,4144.51000,4145.69000,4141.98000,4142.30000,166,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:32:00,4142.30000,4142.90000,4139.97000,4140.75000,126,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:33:00,4140.75000,4142.37000,4140.22000,4141.78000,110,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:34:00,4141.55000,4142.95000,4140.50000,4141.81000,115,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:35:00,4141.81000,4144.33000,4141.51000,4144.00000,107,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:36:00,4143.71000,4144.55000,4141.87000,4143.67000,95,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:37:00,4143.67000,4144.82000,4143.35000,4144.75000,90,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:38:00,4145.09000,4146.25000,4144.77000,4146.25000,82,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:39:00,4146.37000,4146.87000,4145.60000,4146.11000,106,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:40:00,4146.11000,4146.85000,4144.18000,4144.18000,90,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:41:00,4144.18000,4144.57000,4143.21000,4143.21000,78,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:42:00,4143.32000,4144.26000,4141.96000,4143.80000,80,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:43:00,4143.80000,4146.52000,4142.42000,4145.75000,108,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:44:00,4146.07000,4147.57000,4144.09000,4147.39000,92,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:45:00,4146.61000,4149.00000,4146.36000,4148.20000,118,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:46:00,4148.20000,4151.85000,4147.78000,4151.73000,90,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:47:00,4151.73000,4154.85000,4151.73000,4153.77000,126,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:48:00,4153.86000,4157.00000,4153.67000,4155.95000,126,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:49:00,4155.95000,4156.26000,4151.08000,4151.08000,136,4148.18000,4154.16000,598.00,0,0
BIOTECH,M1,2026.05.01 22:50:00,4151.08000,4152.45000,4147.29000,4148.18000,113,4148.18000,4154.16000,598.00,0,0
