symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
BP.us,M5,2026.05.01 21:50:00,46.51000,46.53000,46.48000,46.52000,83,46.51000,46.64000,13.00,0,0
BP.us,M5,2026.05.01 21:55:00,46.53000,46.55000,46.50000,46.52000,113,46.51000,46.64000,13.00,0,0
BP.us,M5,2026.05.01 22:00:00,46.53000,46.57000,46.48000,46.49000,131,46.51000,46.64000,13.00,0,0
BP.us,M5,2026.05.01 22:05:00,46.50000,46.51000,46.45000,46.51000,121,46.51000,46.64000,13.00,0,0
BP.us,M5,2026.05.01 22:10:00,46.48000,46.53000,46.44000,46.48000,128,46.51000,46.64000,13.00,0,0
BP.us,M5,2026.05.01 22:15:00,46.47000,46.53000,46.45000,46.51000,141,46.51000,46.64000,13.00,0,0
BP.us,M5,2026.05.01 22:20:00,46.51000,46.54000,46.48000,46.49000,118,46.51000,46.64000,13.00,0,0
BP.us,M5,2026.05.01 22:25:00,46.51000,46.52000,46.44000,46.52000,170,46.51000,46.64000,13.00,0,0
BP.us,M5,2026.05.01 22:30:00,46.51000,46.52000,46.44000,46.47000,191,46.51000,46.64000,13.00,0,0
BP.us,M5,2026.05.01 22:35:00,46.46000,46.51000,46.43000,46.44000,123,46.51000,46.64000,13.00,0,0
BP.us,M5,2026.05.01 22:40:00,46.46000,46.47000,46.36000,46.42000,132,46.51000,46.64000,13.00,0,0
BP.us,M5,2026.05.01 22:45:00,46.40000,46.48000,46.39000,46.47000,143,46.51000,46.64000,13.00,0,0
BP.us,M5,2026.05.01 22:50:00,46.48000,46.50000,46.45000,46.49000,53,46.51000,46.64000,13.00,0,0
