symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
BTCUSD,H1,2026.04.27 19:00:00,76763.30000,76842.45000,76516.05000,76596.40000,4041,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.27 20:00:00,76600.80000,76903.20000,76596.10000,76714.45000,3225,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.27 21:00:00,76702.15000,76874.35000,76625.85000,76800.25000,2575,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.27 22:00:00,76791.10000,76879.35000,76431.55000,76866.50000,3389,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.27 23:00:00,76859.20000,77052.85000,76816.15000,76935.55000,1503,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.28 00:00:00,76927.70000,76963.20000,76756.15000,76756.15000,1239,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.28 01:00:00,76758.85000,77059.30000,76730.55000,77044.65000,1525,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.28 02:00:00,77010.00000,77424.25000,76986.10000,77344.05000,1389,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.28 03:00:00,77357.20000,77458.65000,77188.90000,77361.25000,2685,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.28 04:00:00,77349.90000,77379.05000,77012.50000,77067.30000,2438,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.28 05:00:00,77086.60000,77205.70000,76656.40000,76866.15000,2780,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.28 06:00:00,76850.25000,76875.25000,76651.25000,76788.50000,1787,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.28 07:00:00,76786.20000,76934.30000,76660.00000,76865.70000,1882,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.28 08:00:00,76881.95000,77127.40000,76786.95000,76861.50000,2020,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.28 09:00:00,76863.90000,77008.50000,76563.45000,76682.15000,2219,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.28 10:00:00,76654.45000,76893.40000,76410.50000,76851.75000,2561,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.28 11:00:00,76858.75000,76964.80000,76715.35000,76834.45000,2336,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.28 12:00:00,76835.45000,76846.85000,76464.45000,76567.40000,2062,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.28 13:00:00,76565.45000,76667.15000,76457.35000,76585.30000,1844,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.28 14:00:00,76584.35000,76616.95000,76055.95000,76204.50000,3677,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.28 15:00:00,76224.30000,76399.55000,76121.95000,76362.60000,3492,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.28 16:00:00,76355.00000,76398.05000,75944.85000,76163.50000,4578,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.28 17:00:00,76163.55000,76179.00000,75628.15000,75920.40000,5689,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.28 18:00:00,75920.45000,76054.25000,75802.10000,76031.65000,4152,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.28 19:00:00,76032.45000,76174.30000,75841.50000,76088.85000,3547,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.28 20:00:00,76086.75000,76229.50000,75916.00000,76146.15000,2531,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.28 21:00:00,76156.05000,76250.10000,76094.15000,76200.00000,2124,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.28 22:00:00,76199.95000,76359.35000,76023.90000,76300.15000,2252,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.28 23:00:00,76297.95000,76457.80000,76288.50000,76441.45000,1674,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.29 00:00:00,76443.65000,76463.10000,76242.40000,76329.75000,1122,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.29 01:00:00,76347.15000,76426.00000,76185.35000,76209.80000,1219,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.29 02:00:00,76195.30000,76334.80000,76157.00000,76297.50000,1088,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.29 03:00:00,76296.50000,76531.80000,76231.10000,76481.80000,1827,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.29 04:00:00,76481.85000,76633.70000,76144.35000,76531.90000,2271,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.29 05:00:00,76534.60000,76622.55000,76360.45000,76489.55000,1889,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.29 06:00:00,76498.25000,77096.15000,76476.15000,76966.50000,3054,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.29 07:00:00,76969.15000,77427.20000,76847.95000,77239.90000,3035,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.29 08:00:00,77235.20000,77303.15000,77158.20000,77259.45000,1958,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.29 09:00:00,77254.60000,77301.65000,76897.75000,76996.20000,2042,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.29 10:00:00,77005.60000,77154.80000,76974.80000,77014.40000,1679,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.29 11:00:00,77033.10000,77123.20000,76926.15000,77008.90000,1938,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.29 12:00:00,77008.95000,77771.00000,76928.55000,77625.00000,2627,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.29 13:00:00,77641.25000,77881.70000,77537.95000,77601.95000,3010,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.29 14:00:00,77602.15000,77661.95000,77454.35000,77569.65000,2112,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.29 15:00:00,77569.60000,77585.05000,76969.55000,77103.00000,3039,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.29 16:00:00,77107.10000,77204.00000,76392.30000,76732.95000,4575,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.29 17:00:00,76738.10000,76833.40000,76434.15000,76535.15000,5099,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.29 18:00:00,76538.25000,76599.50000,75654.85000,75865.80000,5578,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.29 19:00:00,75877.65000,76098.25000,75645.30000,75749.70000,4583,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.29 20:00:00,75757.75000,76127.15000,75751.15000,76124.40000,3573,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.29 21:00:00,76122.00000,76200.30000,74900.10000,75465.15000,5742,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.29 22:00:00,75465.05000,75520.50000,75244.55000,75513.30000,4097,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.29 23:00:00,75512.55000,75813.55000,75434.70000,75629.35000,3442,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.30 00:00:00,75627.15000,76038.20000,75552.55000,75881.15000,1567,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.30 01:00:00,75881.10000,75958.95000,75766.75000,75872.75000,2427,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.30 02:00:00,75876.15000,75944.55000,75650.95000,75732.55000,2259,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.30 03:00:00,75740.60000,76285.05000,75602.30000,76216.75000,3373,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.30 04:00:00,76198.40000,76420.00000,76124.20000,76191.70000,3319,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.30 05:00:00,76194.30000,76306.70000,75445.55000,75649.10000,3868,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.30 06:00:00,75640.60000,75955.25000,75610.95000,75877.95000,2370,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.30 07:00:00,75875.95000,75922.70000,75351.20000,75436.60000,3835,78368.20000,78388.20000,2000.00,0,0
BTCUSD,H1,2026.04.30 08:00:00,75433.10000,75704.40000,75272.90000,75547.40000,3178,78368.20000,78388.20000,2000.00,0,0
