symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
CADCHF,M1,2026.05.01 21:11:00,0.57474,0.57475,0.57469,0.57470,39,0.57516,0.57551,35.00,0,0
CADCHF,M1,2026.05.01 21:12:00,0.57469,0.57477,0.57469,0.57475,45,0.57516,0.57551,35.00,0,0
CADCHF,M1,2026.05.01 21:13:00,0.57476,0.57478,0.57475,0.57477,19,0.57516,0.57551,35.00,0,0
CADCHF,M1,2026.05.01 21:14:00,0.57476,0.57478,0.57473,0.57476,31,0.57516,0.57551,35.00,0,0
CADCHF,M1,2026.05.01 21:15:00,0.57477,0.57479,0.57469,0.57471,45,0.57516,0.57551,35.00,0,0
CADCHF,M1,2026.05.01 21:16:00,0.57472,0.57478,0.57470,0.57477,51,0.57516,0.57551,35.00,0,0
CADCHF,M1,2026.05.01 21:17:00,0.57475,0.57476,0.57467,0.57469,49,0.57516,0.57551,35.00,0,0
CADCHF,M1,2026.05.01 21:18:00,0.57470,0.57472,0.57468,0.57471,44,0.57516,0.57551,35.00,0,0
CADCHF,M1,2026.05.01 21:19:00,0.57472,0.57475,0.57471,0.57472,49,0.57516,0.57551,35.00,0,0
CADCHF,M1,2026.05.01 21:20:00,0.57471,0.57471,0.57464,0.57467,32,0.57516,0.57551,35.00,0,0
CADCHF,M1,2026.05.01 21:21:00,0.57467,0.57468,0.57463,0.57466,57,0.57516,0.57551,35.00,0,0
CADCHF,M1,2026.05.01 21:22:00,0.57465,0.57467,0.57461,0.57464,33,0.57516,0.57551,35.00,0,0
CADCHF,M1,2026.05.01 21:23:00,0.57463,0.57465,0.57458,0.57465,37,0.57516,0.57551,35.00,0,0
CADCHF,M1,2026.05.01 21:24:00,0.57465,0.57466,0.57461,0.57462,43,0.57516,0.57551,35.00,0,0
CADCHF,M1,2026.05.01 21:25:00,0.57463,0.57477,0.57463,0.57477,54,0.57516,0.57551,35.00,0,0
CADCHF,M1,2026.05.01 21:26:00,0.57476,0.57480,0.57475,0.57477,39,0.57516,0.57551,35.00,0,0
CADCHF,M1,2026.05.01 21:27:00,0.57476,0.57480,0.57476,0.57480,35,0.57516,0.57551,35.00,0,0
