symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
CADJPY,D1,2025.12.11 00:00:00,113.01800,113.10800,112.48900,112.94800,107360,115.59600,115.62300,27.00,0,0
CADJPY,D1,2025.12.12 00:00:00,112.89100,113.43300,112.84000,113.13600,82735,115.59600,115.62300,27.00,0,0
CADJPY,D1,2025.12.15 00:00:00,113.09400,113.27600,112.46900,112.72500,84963,115.59600,115.62300,27.00,0,0
CADJPY,D1,2025.12.16 00:00:00,112.61400,112.73800,112.27900,112.47300,104809,115.59600,115.62300,27.00,0,0
CADJPY,D1,2025.12.17 00:00:00,112.42300,113.03100,112.26800,112.88000,94643,115.59600,115.62300,27.00,0,0
CADJPY,D1,2025.12.18 00:00:00,112.85100,113.25300,112.71600,112.87400,100783,115.59600,115.62300,27.00,0,0
CADJPY,D1,2025.12.19 00:00:00,112.85100,114.44000,112.79500,114.26100,96750,115.59600,115.62300,27.00,0,0
CADJPY,D1,2025.12.22 00:00:00,114.11600,114.35200,113.94500,114.18500,81263,115.59600,115.62300,27.00,0,0
CADJPY,D1,2025.12.23 00:00:00,114.12900,114.20100,113.46700,114.12900,96172,115.59600,115.62300,27.00,0,0
CADJPY,D1,2025.12.24 00:00:00,114.03700,114.12500,113.70500,114.03400,72118,115.59600,115.62300,27.00,0,0
CADJPY,D1,2025.12.26 00:00:00,114.26600,114.62300,114.24500,114.48100,42897,115.59600,115.62300,27.00,0,0
CADJPY,D1,2025.12.29 00:00:00,114.40700,114.53900,113.94800,113.97300,94568,115.59600,115.62300,27.00,0,0
CADJPY,D1,2025.12.30 00:00:00,113.96100,114.33700,113.80000,114.19500,90853,115.59600,115.62300,27.00,0,0
CADJPY,D1,2025.12.31 00:00:00,114.13100,114.60000,114.12400,114.32000,80362,115.59600,115.62300,27.00,0,0
CADJPY,D1,2026.01.02 00:00:00,114.41700,114.54200,113.98600,114.20800,55328,115.59600,115.62300,27.00,0,0
CADJPY,D1,2026.01.05 00:00:00,114.05300,114.37000,113.43900,113.54900,94466,115.59600,115.62300,27.00,0,0
