symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
CADJPY,M5,2026.05.01 14:35:00,115.40100,115.42100,115.36500,115.41200,456,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 14:40:00,115.41300,115.43600,115.41100,115.43200,395,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 14:45:00,115.43200,115.43300,115.39900,115.40400,330,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 14:50:00,115.40500,115.42800,115.39600,115.42100,357,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 14:55:00,115.42100,115.42700,115.39000,115.40800,448,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 15:00:00,115.40900,115.44900,115.37300,115.43700,675,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 15:05:00,115.43600,115.45600,115.41200,115.43600,604,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 15:10:00,115.43800,115.45900,115.39000,115.41300,832,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 15:15:00,115.42000,115.44600,115.39600,115.41900,871,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 15:20:00,115.41800,115.46400,115.38800,115.45800,826,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 15:25:00,115.45800,115.46900,115.41200,115.42500,808,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 15:30:00,115.42700,115.45500,115.40100,115.43200,650,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 15:35:00,115.43400,115.47900,115.43200,115.45900,558,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 15:40:00,115.46000,115.46800,115.44100,115.46800,570,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 15:45:00,115.46400,115.50100,115.46400,115.46800,658,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 15:50:00,115.46700,115.47700,115.42600,115.44800,573,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 15:55:00,115.44900,115.48000,115.44700,115.45600,570,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 16:00:00,115.45400,115.48000,115.44800,115.47200,587,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 16:05:00,115.47300,115.49900,115.46400,115.48900,582,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 16:10:00,115.48900,115.51700,115.47500,115.51200,562,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 16:15:00,115.51400,115.57300,115.50200,115.56400,583,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 16:20:00,115.56500,115.56500,115.50300,115.52600,528,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 16:25:00,115.52700,115.55600,115.51900,115.53800,556,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 16:30:00,115.53500,115.56600,115.49200,115.49300,791,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 16:35:00,115.49300,115.51300,115.47000,115.50200,739,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 16:40:00,115.50100,115.52400,115.48400,115.49400,574,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 16:45:00,115.48900,115.53200,115.47600,115.49800,637,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 16:50:00,115.49800,115.49800,115.23400,115.45800,1076,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 16:55:00,115.45800,115.45800,115.36100,115.37900,966,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 17:00:00,115.37000,115.40700,115.28400,115.29800,952,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 17:05:00,115.29700,115.36600,115.28700,115.29400,942,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 17:10:00,115.29500,115.32300,115.24500,115.32000,921,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 17:15:00,115.31500,115.34800,115.28400,115.32200,886,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 17:20:00,115.32200,115.32700,115.26100,115.30100,833,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 17:25:00,115.30200,115.34400,115.29800,115.34300,806,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 17:30:00,115.34600,115.35800,115.32200,115.32700,769,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 17:35:00,115.32800,115.36700,115.28100,115.36700,732,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 17:40:00,115.36700,115.38300,115.34400,115.38200,818,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 17:45:00,115.38100,115.45900,115.37800,115.43600,780,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 17:50:00,115.43600,115.46300,115.40100,115.43700,826,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 17:55:00,115.43700,115.43800,115.37000,115.40400,866,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 18:00:00,115.40500,115.46800,115.40300,115.45700,926,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 18:05:00,115.45300,115.47700,115.43400,115.45700,793,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 18:10:00,115.45700,115.47300,115.45000,115.46500,557,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 18:15:00,115.46400,115.49500,115.44500,115.49400,599,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 18:20:00,115.49400,115.51300,115.48300,115.48700,669,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 18:25:00,115.48700,115.51100,115.48000,115.48600,609,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 18:30:00,115.48600,115.50700,115.46200,115.48900,654,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 18:35:00,115.48900,115.50400,115.41400,115.49100,669,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 18:40:00,115.49000,115.50100,115.44700,115.45900,556,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 18:45:00,115.46100,115.48800,115.46100,115.46700,460,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 18:50:00,115.46800,115.54200,115.44000,115.45900,917,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 18:55:00,115.46000,115.50200,115.45100,115.48300,789,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 19:00:00,115.48500,115.48700,115.40600,115.44400,651,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 19:05:00,115.44200,115.47100,115.41300,115.46500,543,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 19:10:00,115.46500,115.47400,115.44400,115.45300,568,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 19:15:00,115.45200,115.46800,115.44200,115.46500,532,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 19:20:00,115.46500,115.47000,115.42500,115.42800,615,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 19:25:00,115.42800,115.50000,115.42600,115.49300,790,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 19:30:00,115.49200,115.50700,115.47600,115.48800,657,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 19:35:00,115.48800,115.50000,115.47300,115.49100,565,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 19:40:00,115.49100,115.49100,115.44100,115.44600,596,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 19:45:00,115.44300,115.48400,115.44100,115.47400,493,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 19:50:00,115.47500,115.50400,115.46400,115.48300,509,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 19:55:00,115.48300,115.51000,115.47900,115.50300,554,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 20:00:00,115.50500,115.51800,115.48300,115.51800,516,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 20:05:00,115.51900,115.52500,115.48300,115.51800,476,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 20:10:00,115.51900,115.52200,115.49700,115.51700,371,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 20:15:00,115.51600,115.53700,115.50300,115.51000,444,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 20:20:00,115.50900,115.51000,115.47700,115.48100,443,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 20:25:00,115.48200,115.51900,115.48200,115.50500,574,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 20:30:00,115.50600,115.53400,115.50400,115.52600,464,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 20:35:00,115.52600,115.54900,115.51700,115.54700,447,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 20:40:00,115.54800,115.57600,115.53600,115.56400,477,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 20:45:00,115.56400,115.56600,115.53700,115.54400,320,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 20:50:00,115.54600,115.54800,115.46400,115.50500,550,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 20:55:00,115.50300,115.51100,115.48000,115.50700,514,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 21:00:00,115.50500,115.54500,115.49800,115.54400,561,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 21:05:00,115.54600,115.56700,115.53100,115.56600,448,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 21:10:00,115.56700,115.59000,115.56500,115.58000,420,115.59600,115.62300,27.00,0,0
CADJPY,M5,2026.05.01 21:15:00,115.58100,115.59500,115.56300,115.58700,439,115.59600,115.62300,27.00,0,0
