symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
CASINOS,M1,2026.05.01 21:54:00,2508.99000,2509.43000,2507.60000,2507.60000,44,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 21:55:00,2507.60000,2510.27000,2507.48000,2510.27000,48,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 21:56:00,2510.27000,2510.27000,2507.13000,2507.39000,59,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 21:57:00,2507.87000,2508.53000,2506.95000,2508.41000,44,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 21:58:00,2508.41000,2509.40000,2508.35000,2509.03000,46,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 21:59:00,2508.91000,2509.61000,2507.70000,2508.06000,68,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 22:00:00,2508.06000,2513.38000,2508.06000,2513.26000,66,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 22:01:00,2514.71000,2517.01000,2513.92000,2515.27000,70,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 22:02:00,2515.27000,2515.88000,2513.83000,2514.43000,38,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 22:03:00,2514.52000,2515.48000,2513.38000,2514.49000,55,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 22:04:00,2514.49000,2517.13000,2514.49000,2516.40000,59,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 22:05:00,2516.64000,2519.24000,2515.36000,2515.70000,53,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 22:06:00,2515.70000,2519.69000,2515.70000,2519.05000,64,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 22:07:00,2519.05000,2520.47000,2517.85000,2520.47000,33,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 22:08:00,2517.85000,2521.35000,2517.48000,2518.80000,67,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 22:09:00,2518.80000,2520.62000,2516.98000,2520.26000,63,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 22:10:00,2520.26000,2521.15000,2519.73000,2520.69000,49,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 22:11:00,2520.69000,2523.47000,2520.21000,2522.77000,40,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 22:12:00,2522.79000,2523.49000,2519.69000,2521.72000,68,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 22:13:00,2521.24000,2522.37000,2520.21000,2521.09000,58,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 22:14:00,2521.38000,2523.72000,2521.38000,2523.23000,45,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 22:15:00,2523.23000,2523.49000,2521.78000,2522.25000,58,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 22:16:00,2522.25000,2523.43000,2521.06000,2521.89000,82,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 22:17:00,2521.89000,2535.99000,2521.65000,2534.90000,84,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 22:18:00,2535.81000,2537.04000,2534.59000,2534.82000,78,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 22:19:00,2534.82000,2537.50000,2531.24000,2535.62000,67,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 22:20:00,2536.10000,2536.10000,2528.95000,2533.73000,109,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 22:21:00,2533.73000,2534.80000,2530.02000,2530.85000,52,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 22:22:00,2531.03000,2535.65000,2531.00000,2533.17000,53,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 22:23:00,2533.88000,2534.36000,2528.01000,2528.11000,53,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 22:24:00,2528.01000,2533.09000,2528.01000,2531.87000,62,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 22:25:00,2531.87000,2533.92000,2530.71000,2531.76000,69,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 22:26:00,2532.00000,2534.07000,2531.23000,2534.02000,64,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 22:27:00,2533.93000,2537.48000,2532.65000,2532.65000,55,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 22:28:00,2532.45000,2537.11000,2531.81000,2533.55000,80,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 22:29:00,2533.20000,2538.35000,2533.20000,2538.14000,117,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 22:30:00,2538.14000,2539.03000,2532.00000,2532.35000,118,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 22:31:00,2532.35000,2532.35000,2529.23000,2529.23000,108,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 22:32:00,2529.23000,2529.23000,2523.03000,2525.81000,68,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 22:33:00,2525.89000,2526.16000,2523.71000,2524.48000,72,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 22:34:00,2524.48000,2524.69000,2522.11000,2524.69000,90,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 22:35:00,2524.39000,2527.19000,2523.27000,2523.74000,96,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 22:36:00,2523.74000,2525.48000,2523.63000,2524.86000,72,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 22:37:00,2524.86000,2527.32000,2523.09000,2524.09000,52,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 22:38:00,2524.09000,2526.26000,2522.47000,2523.12000,48,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 22:39:00,2523.91000,2526.52000,2523.77000,2524.89000,78,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 22:40:00,2524.89000,2525.61000,2523.32000,2525.37000,68,2507.45000,2510.66000,321.00,0,0
CASINOS,M1,2026.05.01 22:41:00,2525.61000,2525.78000,2523.06000,2524.53000,64,2507.45000,2510.66000,321.00,0,0
