symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
CCL.ext,H4,2026.04.09 08:00:00,27.83000,27.85000,27.50000,27.56000,172,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.09 12:00:00,27.58000,27.75000,27.56000,27.62000,383,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.09 16:00:00,27.63000,28.04000,26.82000,27.91000,11553,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.09 20:00:00,27.88000,28.05000,27.66000,27.77000,4759,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.10 00:00:00,27.68000,27.87000,26.92000,27.87000,104,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.10 04:00:00,27.84000,27.85000,27.63000,27.75000,151,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.10 08:00:00,27.81000,27.83000,27.53000,27.56000,159,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.10 12:00:00,27.57000,28.17000,27.53000,28.01000,789,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.10 16:00:00,28.00000,28.43000,27.36000,27.46000,7115,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.10 20:00:00,27.48000,27.94000,27.38000,27.91000,2582,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.13 00:00:00,27.37000,27.43000,26.77000,27.06000,108,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.13 04:00:00,27.05000,27.09000,26.77000,26.78000,158,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.13 08:00:00,26.96000,27.02000,26.76000,26.85000,295,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.13 12:00:00,26.83000,26.94000,26.62000,26.81000,730,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.13 16:00:00,26.80000,27.48000,26.76000,27.40000,8621,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.13 20:00:00,27.41000,27.73000,27.29000,27.59000,2841,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.14 00:00:00,27.58000,27.69000,26.93000,27.64000,91,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.14 04:00:00,27.63000,27.72000,27.45000,27.69000,113,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.14 08:00:00,27.70000,27.94000,27.53000,27.94000,250,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.14 12:00:00,27.94000,28.23000,27.78000,28.05000,923,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.14 16:00:00,28.04000,28.84000,27.96000,28.75000,6879,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.14 20:00:00,28.72000,28.86000,28.60000,28.63000,2443,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.15 00:00:00,28.63000,28.75000,28.57000,28.59000,96,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.15 04:00:00,28.65000,28.73000,28.57000,28.64000,149,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.15 08:00:00,28.65000,28.68000,28.59000,28.61000,83,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.15 12:00:00,28.63000,28.65000,28.29000,28.54000,362,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.15 16:00:00,28.56000,28.89000,28.20000,28.69000,6485,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.15 20:00:00,28.69000,29.04000,28.66000,28.72000,2649,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.16 00:00:00,28.72000,28.80000,28.42000,28.60000,76,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.16 04:00:00,28.72000,28.80000,28.61000,28.77000,90,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.16 08:00:00,28.78000,28.82000,28.61000,28.66000,109,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.16 12:00:00,28.66000,28.82000,28.63000,28.79000,167,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.16 16:00:00,28.77000,29.07000,27.35000,27.37000,9007,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.16 20:00:00,27.36000,27.47000,27.08000,27.29000,4315,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.17 00:00:00,27.30000,27.45000,27.13000,27.28000,132,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.17 04:00:00,27.29000,27.40000,27.23000,27.39000,150,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.17 08:00:00,27.34000,27.49000,27.15000,27.41000,181,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.17 12:00:00,27.41000,28.68000,27.38000,28.65000,1196,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.17 16:00:00,28.63000,30.10000,28.55000,29.72000,10482,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.17 20:00:00,29.70000,29.72000,29.10000,29.17000,5043,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.20 00:00:00,28.45000,28.45000,27.90000,28.33000,146,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.20 04:00:00,28.31000,28.51000,28.30000,28.43000,251,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.20 08:00:00,28.41000,28.49000,28.13000,28.32000,191,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.20 12:00:00,28.31000,28.59000,28.29000,28.55000,337,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.20 16:00:00,28.53000,28.91000,28.43000,28.84000,8407,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.20 20:00:00,28.83000,29.00000,28.63000,28.95000,2855,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.21 00:00:00,28.97000,29.01000,28.18000,28.99000,78,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.21 04:00:00,28.98000,29.01000,28.93000,28.96000,113,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.21 08:00:00,28.97000,29.01000,28.63000,28.80000,274,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.21 12:00:00,28.81000,29.07000,28.71000,28.82000,694,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.21 16:00:00,28.83000,28.89000,27.46000,27.48000,9136,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.21 20:00:00,27.47000,27.95000,27.13000,27.79000,7750,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.22 00:00:00,27.73000,27.95000,27.58000,27.76000,147,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.22 04:00:00,27.75000,27.86000,27.65000,27.78000,173,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.22 08:00:00,27.74000,27.91000,27.32000,27.44000,403,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.22 12:00:00,27.44000,27.73000,27.33000,27.50000,706,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.22 16:00:00,27.52000,27.64000,27.00000,27.10000,9013,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.22 20:00:00,27.06000,27.20000,26.63000,26.84000,4274,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.23 00:00:00,26.84000,26.91000,26.43000,26.69000,177,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.23 04:00:00,26.73000,26.85000,26.66000,26.75000,158,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.23 08:00:00,26.73000,26.78000,26.43000,26.50000,299,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.23 12:00:00,26.51000,26.89000,26.43000,26.67000,1021,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.23 16:00:00,26.67000,27.27000,26.53000,27.17000,7856,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.23 20:00:00,27.16000,27.19000,26.12000,26.40000,11554,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.24 00:00:00,26.44000,26.69000,25.75000,26.48000,128,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.24 04:00:00,26.45000,26.58000,26.45000,26.53000,152,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.24 08:00:00,26.52000,26.65000,26.31000,26.31000,321,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.24 12:00:00,26.33000,27.04000,26.28000,26.67000,1426,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.24 16:00:00,26.66000,27.09000,26.42000,27.05000,8402,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.24 20:00:00,27.03000,27.24000,27.02000,27.10000,2066,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.27 00:00:00,26.90000,26.95000,26.44000,26.59000,65,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.27 04:00:00,26.69000,26.95000,26.58000,26.95000,216,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.27 08:00:00,26.94000,27.03000,26.78000,26.95000,241,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.27 12:00:00,26.94000,27.11000,26.83000,26.85000,451,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.27 16:00:00,26.85000,26.99000,26.38000,26.67000,7530,26.47000,26.60000,13.00,0,0
CCL.ext,H4,2026.04.27 20:00:00,26.69000,26.76000,26.54000,26.65000,2650,26.47000,26.60000,13.00,0,0
