symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
CHFJPY,H4,2026.04.09 08:00:00,200.62900,201.11400,200.51100,200.98500,28859,200.96400,201.00400,40.00,0,0
CHFJPY,H4,2026.04.09 12:00:00,200.98500,201.16900,200.86700,201.12300,30362,200.96400,201.00400,40.00,0,0
CHFJPY,H4,2026.04.09 16:00:00,201.12500,201.65200,201.09800,201.33400,44110,200.96400,201.00400,40.00,0,0
CHFJPY,H4,2026.04.09 20:00:00,201.33300,201.39500,201.08700,201.11000,28645,200.96400,201.00400,40.00,0,0
CHFJPY,H4,2026.04.10 00:00:00,201.04500,201.22800,201.02500,201.17600,13886,200.96400,201.00400,40.00,0,0
CHFJPY,H4,2026.04.10 04:00:00,201.17800,201.44600,201.13200,201.39100,21557,200.96400,201.00400,40.00,0,0
CHFJPY,H4,2026.04.10 08:00:00,201.39300,201.70500,201.39100,201.60000,26325,200.96400,201.00400,40.00,0,0
CHFJPY,H4,2026.04.10 12:00:00,201.60200,201.89500,201.42700,201.89000,32785,200.96400,201.00400,40.00,0,0
CHFJPY,H4,2026.04.10 16:00:00,201.89000,202.54800,201.54300,201.73300,40956,200.96400,201.00400,40.00,0,0
CHFJPY,H4,2026.04.10 20:00:00,201.73500,201.96700,201.66500,201.78800,22165,200.96400,201.00400,40.00,0,0
CHFJPY,H4,2026.04.13 00:00:00,201.59600,201.77900,201.37500,201.50400,13819,200.96400,201.00400,40.00,0,0
CHFJPY,H4,2026.04.13 04:00:00,201.51000,201.72100,201.49900,201.64100,19807,200.96400,201.00400,40.00,0,0
CHFJPY,H4,2026.04.13 08:00:00,201.64000,202.15100,201.50800,202.03800,28526,200.96400,201.00400,40.00,0,0
CHFJPY,H4,2026.04.13 12:00:00,202.04600,202.33700,202.00800,202.29000,29183,200.96400,201.00400,40.00,0,0
CHFJPY,H4,2026.04.13 16:00:00,202.29000,202.98800,202.17500,202.97800,42596,200.96400,201.00400,40.00,0,0
CHFJPY,H4,2026.04.13 20:00:00,202.97700,203.42900,202.91600,203.35000,26242,200.96400,201.00400,40.00,0,0
CHFJPY,H4,2026.04.14 00:00:00,203.27200,203.41900,203.18500,203.25000,13711,200.96400,201.00400,40.00,0,0
CHFJPY,H4,2026.04.14 04:00:00,203.25000,203.31400,203.01600,203.04800,22593,200.96400,201.00400,40.00,0,0
CHFJPY,H4,2026.04.14 08:00:00,203.04700,203.83400,203.00700,203.75900,32062,200.96400,201.00400,40.00,0,0
CHFJPY,H4,2026.04.14 12:00:00,203.75600,203.88100,203.35000,203.48000,34152,200.96400,201.00400,40.00,0,0
CHFJPY,H4,2026.04.14 16:00:00,203.47900,203.65500,203.28400,203.32400,38426,200.96400,201.00400,40.00,0,0
CHFJPY,H4,2026.04.14 20:00:00,203.32300,203.39100,203.20700,203.24700,20688,200.96400,201.00400,40.00,0,0
CHFJPY,H4,2026.04.15 00:00:00,203.20100,203.39500,203.15300,203.32900,14677,200.96400,201.00400,40.00,0,0
CHFJPY,H4,2026.04.15 04:00:00,203.32900,203.51500,203.32100,203.47300,21698,200.96400,201.00400,40.00,0,0
