symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
CHFJPY,M30,2026.04.29 19:30:00,202.69900,202.74800,202.66200,202.70700,5346,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.29 20:00:00,202.70800,202.73800,202.66100,202.68000,4731,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.29 20:30:00,202.68100,202.74600,202.57600,202.57600,4670,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.29 21:00:00,202.57300,202.68200,202.44800,202.45600,5686,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.29 21:30:00,202.45700,202.54600,202.36900,202.52000,5918,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.29 22:00:00,202.51800,202.67600,202.48900,202.63600,5568,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.29 22:30:00,202.63800,202.71800,202.58300,202.67700,4057,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.29 23:00:00,202.67500,202.71100,202.55300,202.63000,3285,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.29 23:30:00,202.62900,202.66200,202.59200,202.60200,2938,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.30 01:00:00,202.56900,202.68400,202.54200,202.68200,897,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.30 01:30:00,202.68400,202.70800,202.63000,202.64100,245,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.30 02:00:00,202.64100,202.65500,202.56800,202.58800,2357,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.30 02:30:00,202.58900,202.67000,202.56400,202.65600,2266,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.30 03:00:00,202.65600,202.67400,202.55900,202.59300,3713,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.30 03:30:00,202.59200,202.74400,202.58100,202.71100,3236,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.30 04:00:00,202.71300,202.74300,202.64300,202.66600,3844,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.30 04:30:00,202.66600,202.70700,202.60400,202.61500,3681,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.30 05:00:00,202.61400,202.66900,202.59200,202.61700,3152,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.30 05:30:00,202.61600,202.63700,202.51200,202.60400,4295,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.30 06:00:00,202.60000,202.73100,202.58700,202.71800,3425,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.30 06:30:00,202.71700,202.74800,202.68800,202.73200,2997,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.30 07:00:00,202.73200,202.74200,202.61900,202.64500,3599,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.30 07:30:00,202.64800,202.73600,202.63200,202.72200,3429,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.30 08:00:00,202.72300,202.79200,202.71800,202.78800,3246,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.30 08:30:00,202.79100,202.87600,202.75900,202.87600,3450,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.30 09:00:00,202.87400,202.99200,202.84000,202.95600,4191,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.30 09:30:00,202.95600,203.03300,202.94900,203.01000,5004,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.30 10:00:00,203.00100,203.07700,202.94500,202.98700,5040,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.30 10:30:00,202.98500,203.07400,202.24600,202.58100,4911,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.30 11:00:00,202.59700,202.92000,202.50000,202.57900,6076,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.30 11:30:00,202.57600,202.64400,201.91700,202.11900,5518,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.30 12:00:00,202.11500,202.26200,201.96300,202.20100,5665,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.30 12:30:00,202.19800,202.47600,202.15000,202.38700,5744,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.30 13:00:00,202.38700,202.43100,201.14600,201.43800,5804,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.30 13:30:00,201.41900,201.57200,199.81600,200.12600,8202,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.30 14:00:00,200.12800,200.35100,199.23200,199.37300,7245,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.30 14:30:00,199.36800,199.62700,198.23000,199.22600,7462,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.30 15:00:00,199.22200,199.91600,199.10500,199.80300,5837,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.30 15:30:00,199.79900,200.17300,199.74700,200.06900,6044,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.30 16:00:00,200.07100,200.14400,199.37100,199.62300,6182,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.30 16:30:00,199.60800,200.19100,199.53900,200.10900,6084,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.30 17:00:00,200.11100,200.53300,200.03000,200.29700,6788,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.30 17:30:00,200.29500,200.47000,199.54000,200.33900,7571,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.30 18:00:00,200.34000,200.75500,200.27200,200.47700,7674,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.30 18:30:00,200.47400,200.58500,200.23700,200.24700,6286,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.30 19:00:00,200.24500,200.32900,200.06400,200.30600,5656,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.30 19:30:00,200.30600,200.32400,200.08300,200.12300,5137,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.30 20:00:00,200.12300,200.25900,200.07800,200.18600,5249,200.96400,201.00400,40.00,0,0
CHFJPY,M30,2026.04.30 20:30:00,200.18500,200.18900,200.01900,200.05000,4860,200.96400,201.00400,40.00,0,0
