symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
CHN50,M5,2026.05.01 21:50:00,15703.16000,15704.16000,15700.17000,15701.16000,33,15702.18000,15713.18000,1100.00,0,0
CHN50,M5,2026.05.01 21:55:00,15701.66000,15703.18000,15700.16000,15700.66000,47,15702.18000,15713.18000,1100.00,0,0
CHN50,M5,2026.05.01 22:00:00,15701.17000,15703.68000,15700.67000,15701.18000,36,15702.18000,15713.18000,1100.00,0,0
CHN50,M5,2026.05.01 22:05:00,15702.17000,15703.18000,15702.16000,15703.16000,38,15702.18000,15713.18000,1100.00,0,0
CHN50,M5,2026.05.01 22:10:00,15702.16000,15705.68000,15702.16000,15705.68000,37,15702.18000,15713.18000,1100.00,0,0
CHN50,M5,2026.05.01 22:15:00,15705.66000,15712.68000,15705.17000,15711.18000,54,15702.18000,15713.18000,1100.00,0,0
CHN50,M5,2026.05.01 22:20:00,15711.16000,15713.16000,15708.16000,15708.18000,34,15702.18000,15713.18000,1100.00,0,0
CHN50,M5,2026.05.01 22:25:00,15708.68000,15709.68000,15707.16000,15707.68000,20,15702.18000,15713.18000,1100.00,0,0
CHN50,M5,2026.05.01 22:30:00,15707.16000,15707.67000,15701.66000,15703.16000,36,15702.18000,15713.18000,1100.00,0,0
CHN50,M5,2026.05.01 22:35:00,15702.66000,15707.18000,15702.66000,15707.18000,16,15702.18000,15713.18000,1100.00,0,0
CHN50,M5,2026.05.01 22:40:00,15706.67000,15706.67000,15703.16000,15705.17000,24,15702.18000,15713.18000,1100.00,0,0
CHN50,M5,2026.05.01 22:45:00,15705.67000,15706.18000,15702.16000,15703.17000,39,15702.18000,15713.18000,1100.00,0,0
CHN50,M5,2026.05.01 22:50:00,15703.66000,15703.66000,15702.18000,15702.18000,8,15702.18000,15713.18000,1100.00,0,0
