symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
CHN.ECOMM,H4,2026.02.20 16:30:00,4000.06000,4152.08000,3990.97000,4136.33000,24846,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,H4,2026.02.20 20:30:00,4136.14000,4170.29000,4106.17000,4117.88000,10611,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,H4,2026.02.23 16:30:00,4167.34000,4171.46000,4084.47000,4097.59000,17602,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,H4,2026.02.23 20:30:00,4097.59000,4097.88000,4075.40000,4077.78000,6281,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,H4,2026.02.24 16:30:00,4056.55000,4116.00000,4044.02000,4113.30000,17362,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,H4,2026.02.24 20:30:00,4113.30000,4136.83000,4113.30000,4126.03000,8032,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,H4,2026.02.25 16:30:00,4125.11000,4129.65000,4082.35000,4115.81000,14562,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,H4,2026.02.25 20:30:00,4115.45000,4122.07000,4099.88000,4116.36000,6473,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,H4,2026.02.26 16:30:00,4034.66000,4072.06000,4006.11000,4026.85000,21390,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,H4,2026.02.26 20:30:00,4026.56000,4052.83000,4022.20000,4049.31000,4560,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,H4,2026.02.27 16:30:00,4006.75000,4025.03000,3989.11000,4009.21000,17772,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,H4,2026.02.27 20:30:00,4009.21000,4010.21000,3995.60000,4000.11000,7063,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,H4,2026.03.02 16:30:00,3905.12000,3965.12000,3900.99000,3958.94000,18539,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,H4,2026.03.02 20:30:00,3959.13000,3965.16000,3942.90000,3951.25000,7069,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,H4,2026.03.03 16:30:00,3841.12000,3876.28000,3794.06000,3872.17000,27586,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,H4,2026.03.03 20:30:00,3872.11000,3898.46000,3868.81000,3872.85000,10927,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,H4,2026.03.04 16:30:00,3876.03000,3890.50000,3845.92000,3863.55000,20226,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,H4,2026.03.04 20:30:00,3863.55000,3870.22000,3856.41000,3857.68000,9002,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,H4,2026.03.05 16:30:00,3796.46000,3842.10000,3792.09000,3813.37000,25745,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,H4,2026.03.05 20:30:00,3813.37000,3843.56000,3811.25000,3841.05000,12848,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,H4,2026.03.06 16:30:00,3887.77000,3952.38000,3878.59000,3931.40000,24249,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,H4,2026.03.06 20:30:00,3931.19000,3955.55000,3924.94000,3926.13000,9800,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,H4,2026.03.09 16:30:00,3880.15000,3932.58000,3843.93000,3916.00000,23016,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,H4,2026.03.09 20:30:00,3916.72000,3960.71000,3914.62000,3949.13000,10249,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,H4,2026.03.10 16:30:00,3984.56000,4064.64000,3984.56000,4061.73000,23459,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,H4,2026.03.10 20:30:00,4061.87000,4063.65000,4007.92000,4010.61000,13004,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,H4,2026.03.11 16:30:00,3989.11000,3989.11000,3931.39000,3946.30000,20058,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,H4,2026.03.11 20:30:00,3946.51000,3955.23000,3932.60000,3944.49000,8924,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,H4,2026.03.12 16:30:00,3934.63000,3972.01000,3918.00000,3930.30000,19431,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,H4,2026.03.12 20:30:00,3930.48000,3936.65000,3917.74000,3920.12000,7360,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,H4,2026.03.13 16:30:00,3945.50000,3992.38000,3941.10000,3961.13000,23455,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,H4,2026.03.13 20:30:00,3960.94000,3964.47000,3949.55000,3964.05000,9725,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,H4,2026.03.16 16:30:00,4020.14000,4080.50000,4008.67000,4049.52000,21316,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,H4,2026.03.16 20:30:00,4049.52000,4050.86000,4022.44000,4027.32000,9958,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,H4,2026.03.17 16:30:00,3983.07000,4006.50000,3944.33000,3950.43000,22355,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,H4,2026.03.17 20:30:00,3950.43000,3952.38000,3918.34000,3924.07000,8904,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,H4,2026.03.18 16:30:00,3908.03000,3934.66000,3808.45000,3827.62000,23804,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,H4,2026.03.18 20:30:00,3827.68000,3828.58000,3800.46000,3806.18000,14763,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,H4,2026.03.19 16:30:00,3711.15000,3731.32000,3680.15000,3713.58000,29267,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,H4,2026.03.19 20:30:00,3713.61000,3732.93000,3702.34000,3711.63000,13297,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,H4,2026.03.20 16:30:00,3687.70000,3715.57000,3674.46000,3677.93000,21808,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,H4,2026.03.20 20:30:00,3678.11000,3681.77000,3650.46000,3652.65000,11938,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,H4,2026.03.23 16:30:00,3668.25000,3705.45000,3641.97000,3651.86000,25152,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,H4,2026.03.23 20:30:00,3652.11000,3679.64000,3647.46000,3666.60000,9562,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,H4,2026.03.24 16:30:00,3647.12000,3689.76000,3636.54000,3669.48000,24626,3809.93000,3812.12000,219.00,0,0
