symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
CHN.ECOMM,M1,2026.05.01 21:54:00,3809.41000,3809.41000,3808.84000,3809.02000,27,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 21:55:00,3808.87000,3809.55000,3808.65000,3809.55000,36,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 21:56:00,3809.55000,3809.64000,3808.40000,3808.40000,25,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 21:57:00,3808.46000,3808.82000,3808.15000,3808.33000,24,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 21:58:00,3808.33000,3808.88000,3807.97000,3808.84000,35,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 21:59:00,3808.81000,3809.71000,3808.00000,3808.00000,39,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:00:00,3808.00000,3809.05000,3807.82000,3809.05000,32,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:01:00,3809.19000,3809.83000,3808.87000,3809.23000,31,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:02:00,3809.26000,3810.50000,3809.26000,3809.98000,26,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:03:00,3809.11000,3810.09000,3808.95000,3809.67000,42,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:04:00,3809.67000,3809.67000,3808.43000,3808.43000,23,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:05:00,3808.43000,3809.39000,3808.43000,3809.15000,42,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:06:00,3809.33000,3809.59000,3808.63000,3809.38000,39,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:07:00,3809.47000,3809.94000,3809.19000,3809.85000,30,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:08:00,3809.66000,3809.85000,3809.13000,3809.46000,24,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:09:00,3809.49000,3810.08000,3809.46000,3809.83000,19,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:10:00,3810.02000,3811.09000,3809.20000,3810.85000,29,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:11:00,3810.85000,3811.23000,3810.69000,3810.99000,24,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:12:00,3810.97000,3811.15000,3810.48000,3810.66000,26,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:13:00,3810.84000,3811.68000,3810.84000,3811.10000,21,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:14:00,3810.74000,3812.51000,3810.74000,3812.21000,37,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:15:00,3812.21000,3813.50000,3812.15000,3813.30000,35,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:16:00,3813.30000,3813.47000,3812.87000,3812.90000,37,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:17:00,3812.90000,3814.58000,3812.87000,3814.58000,29,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:18:00,3814.04000,3814.82000,3813.86000,3814.46000,36,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:19:00,3814.43000,3814.43000,3813.28000,3813.28000,32,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:20:00,3813.10000,3813.85000,3813.10000,3813.41000,30,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:21:00,3813.62000,3814.79000,3813.61000,3813.79000,41,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:22:00,3813.85000,3814.90000,3813.85000,3814.81000,40,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:23:00,3814.81000,3816.91000,3814.81000,3816.07000,34,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:24:00,3816.07000,3816.10000,3814.99000,3815.38000,23,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:25:00,3815.53000,3817.00000,3815.53000,3816.21000,28,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:26:00,3816.21000,3816.87000,3815.82000,3816.51000,40,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:27:00,3816.69000,3817.89000,3816.51000,3817.60000,31,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:28:00,3817.60000,3817.89000,3816.75000,3817.14000,33,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:29:00,3817.32000,3817.32000,3816.27000,3816.27000,43,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:30:00,3816.14000,3817.38000,3814.64000,3815.00000,70,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:31:00,3815.32000,3815.98000,3814.04000,3814.33000,66,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:32:00,3814.44000,3815.54000,3814.04000,3815.07000,50,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:33:00,3815.09000,3815.62000,3814.71000,3815.23000,29,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:34:00,3815.77000,3816.70000,3815.35000,3815.38000,40,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:35:00,3815.08000,3815.62000,3814.95000,3814.95000,35,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:36:00,3814.95000,3815.04000,3814.42000,3814.47000,36,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:37:00,3814.47000,3814.78000,3813.88000,3813.97000,23,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:38:00,3815.05000,3815.62000,3813.94000,3815.62000,35,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:39:00,3815.65000,3816.00000,3814.71000,3815.39000,40,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:40:00,3815.39000,3816.12000,3814.68000,3814.68000,28,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:41:00,3814.68000,3814.68000,3811.62000,3813.20000,37,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:42:00,3813.00000,3813.28000,3811.76000,3812.18000,46,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:43:00,3812.12000,3812.53000,3811.67000,3812.39000,22,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:44:00,3812.39000,3813.25000,3812.03000,3812.07000,48,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:45:00,3811.89000,3812.71000,3811.80000,3812.68000,38,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:46:00,3812.68000,3812.68000,3811.15000,3811.15000,42,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:47:00,3811.15000,3811.18000,3810.42000,3810.87000,28,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:48:00,3811.23000,3811.52000,3810.94000,3811.19000,25,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:49:00,3811.25000,3811.60000,3810.63000,3811.11000,32,3809.93000,3812.12000,219.00,0,0
CHN.ECOMM,M1,2026.05.01 22:50:00,3810.88000,3811.92000,3808.29000,3808.80000,73,3809.93000,3812.12000,219.00,0,0
