symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
CISE.hk,M5,2026.04.29 08:10:00,27.80000,27.82000,27.78000,27.78000,8,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.29 08:15:00,27.81000,27.86000,27.78000,27.84000,13,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.29 08:20:00,27.83000,27.85000,27.78000,27.83000,17,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.29 08:25:00,27.87000,27.92000,27.86000,27.92000,6,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.29 08:30:00,27.91000,27.94000,27.90000,27.92000,10,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.29 08:35:00,27.93000,27.93000,27.89000,27.90000,10,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.29 08:40:00,27.86000,27.88000,27.86000,27.86000,10,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.29 08:45:00,27.88000,27.90000,27.86000,27.89000,9,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.29 08:50:00,27.90000,27.96000,27.90000,27.96000,12,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.29 08:55:00,27.94000,27.94000,27.90000,27.90000,6,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.29 09:00:00,27.91000,27.94000,27.91000,27.93000,12,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.29 09:05:00,27.92000,27.94000,27.92000,27.93000,6,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.29 09:10:00,27.94000,27.96000,27.92000,27.92000,12,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.29 09:15:00,27.89000,27.90000,27.83000,27.90000,15,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.29 09:20:00,27.88000,27.95000,27.88000,27.95000,9,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.29 09:25:00,27.94000,27.98000,27.93000,27.94000,13,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.29 09:30:00,27.94000,27.96000,27.90000,27.90000,11,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.29 09:35:00,27.91000,27.94000,27.91000,27.94000,7,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.29 09:40:00,27.96000,27.98000,27.89000,27.90000,15,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.29 09:45:00,27.92000,27.94000,27.90000,27.91000,10,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.29 09:50:00,27.87000,27.90000,27.87000,27.89000,7,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.29 09:55:00,27.92000,27.94000,27.90000,27.92000,8,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.29 10:00:00,27.90000,27.98000,27.90000,27.98000,10,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.29 10:05:00,27.95000,27.95000,27.85000,27.85000,16,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.29 10:10:00,27.85000,27.92000,27.82000,27.92000,18,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.29 10:15:00,27.91000,27.94000,27.91000,27.91000,9,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.29 10:20:00,27.92000,27.94000,27.88000,27.94000,16,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.29 10:25:00,28.03000,28.26000,27.99000,28.16000,38,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.29 10:30:00,28.16000,28.23000,28.16000,28.19000,21,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.29 10:35:00,28.18000,28.23000,28.16000,28.23000,14,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.29 10:40:00,28.22000,28.23000,28.18000,28.20000,11,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.29 10:45:00,28.20000,28.20000,28.10000,28.14000,25,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.29 10:50:00,28.12000,28.18000,28.06000,28.18000,22,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.29 10:55:00,28.16000,28.26000,28.16000,28.20000,44,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.30 04:30:00,27.98000,28.50000,27.98000,28.26000,84,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.30 04:35:00,28.24000,28.32000,27.97000,28.16000,54,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.30 04:40:00,28.20000,28.51000,28.16000,28.51000,49,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.30 04:45:00,28.46000,28.60000,28.44000,28.50000,41,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.30 04:50:00,28.51000,28.51000,28.34000,28.40000,38,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.30 04:55:00,28.40000,28.40000,28.26000,28.29000,23,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.30 05:00:00,28.30000,28.30000,28.16000,28.20000,24,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.30 05:05:00,28.16000,28.20000,28.05000,28.13000,36,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.30 05:10:00,28.13000,28.13000,28.06000,28.13000,13,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.30 05:15:00,28.12000,28.12000,28.02000,28.02000,17,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.30 05:20:00,28.03000,28.03000,27.99000,28.00000,14,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.30 05:25:00,28.01000,28.02000,27.94000,27.98000,11,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.30 05:30:00,27.97000,27.97000,27.84000,27.90000,22,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.30 05:35:00,27.92000,28.02000,27.90000,28.02000,12,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.30 05:40:00,28.00000,28.02000,27.89000,27.89000,25,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.30 05:45:00,27.88000,27.88000,27.82000,27.83000,9,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.30 05:50:00,27.82000,27.84000,27.80000,27.83000,11,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.30 05:55:00,27.82000,27.90000,27.76000,27.83000,18,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.30 06:00:00,27.86000,27.95000,27.85000,27.94000,12,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.30 06:05:00,27.94000,27.98000,27.84000,27.86000,17,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.30 06:10:00,27.85000,27.89000,27.82000,27.83000,14,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.30 06:15:00,27.82000,27.92000,27.82000,27.89000,10,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.30 06:20:00,27.86000,27.90000,27.84000,27.89000,9,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.30 06:25:00,27.88000,27.89000,27.80000,27.80000,16,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.30 06:30:00,27.80000,27.92000,27.80000,27.90000,13,27.56000,27.72000,16.00,0,0
CISE.hk,M5,2026.04.30 06:35:00,27.89000,27.91000,27.88000,27.91000,5,27.56000,27.72000,16.00,0,0
