symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
CMCSA.us,M5,2026.05.01 21:50:00,27.35000,27.36000,27.29000,27.30000,93,27.23000,27.36000,13.00,0,0
CMCSA.us,M5,2026.05.01 21:55:00,27.30000,27.31000,27.26000,27.29000,43,27.23000,27.36000,13.00,0,0
CMCSA.us,M5,2026.05.01 22:00:00,27.27000,27.29000,27.26000,27.28000,67,27.23000,27.36000,13.00,0,0
CMCSA.us,M5,2026.05.01 22:05:00,27.27000,27.33000,27.26000,27.31000,89,27.23000,27.36000,13.00,0,0
CMCSA.us,M5,2026.05.01 22:10:00,27.29000,27.34000,27.29000,27.34000,117,27.23000,27.36000,13.00,0,0
CMCSA.us,M5,2026.05.01 22:15:00,27.33000,27.37000,27.30000,27.34000,77,27.23000,27.36000,13.00,0,0
CMCSA.us,M5,2026.05.01 22:20:00,27.32000,27.39000,27.31000,27.37000,114,27.23000,27.36000,13.00,0,0
CMCSA.us,M5,2026.05.01 22:25:00,27.35000,27.41000,27.35000,27.37000,52,27.23000,27.36000,13.00,0,0
CMCSA.us,M5,2026.05.01 22:30:00,27.37000,27.39000,27.31000,27.34000,141,27.23000,27.36000,13.00,0,0
CMCSA.us,M5,2026.05.01 22:35:00,27.34000,27.38000,27.30000,27.37000,139,27.23000,27.36000,13.00,0,0
CMCSA.us,M5,2026.05.01 22:40:00,27.36000,27.37000,27.22000,27.27000,169,27.23000,27.36000,13.00,0,0
CMCSA.us,M5,2026.05.01 22:45:00,27.26000,27.29000,27.23000,27.27000,161,27.23000,27.36000,13.00,0,0
CMCSA.us,M5,2026.05.01 22:50:00,27.26000,27.26000,27.20000,27.23000,42,27.23000,27.36000,13.00,0,0
