symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
CVX.ext,M1,2026.05.01 21:11:00,190.28000,190.34000,190.24000,190.29000,26,190.95000,191.31000,36.00,0,0
CVX.ext,M1,2026.05.01 21:12:00,190.26000,190.34000,190.25000,190.31000,37,190.95000,191.31000,36.00,0,0
CVX.ext,M1,2026.05.01 21:13:00,190.29000,190.38000,190.22000,190.37000,31,190.95000,191.31000,36.00,0,0
CVX.ext,M1,2026.05.01 21:14:00,190.34000,190.45000,190.30000,190.44000,38,190.95000,191.31000,36.00,0,0
CVX.ext,M1,2026.05.01 21:15:00,190.44000,190.48000,190.40000,190.45000,29,190.95000,191.31000,36.00,0,0
CVX.ext,M1,2026.05.01 21:16:00,190.47000,190.47000,190.33000,190.40000,40,190.95000,191.31000,36.00,0,0
CVX.ext,M1,2026.05.01 21:17:00,190.40000,190.61000,190.40000,190.61000,30,190.95000,191.31000,36.00,0,0
CVX.ext,M1,2026.05.01 21:18:00,190.63000,190.82000,190.63000,190.75000,40,190.95000,191.31000,36.00,0,0
CVX.ext,M1,2026.05.01 21:19:00,190.72000,190.78000,190.71000,190.74000,24,190.95000,191.31000,36.00,0,0
CVX.ext,M1,2026.05.01 21:20:00,190.73000,190.75000,190.64000,190.72000,34,190.95000,191.31000,36.00,0,0
CVX.ext,M1,2026.05.01 21:21:00,190.73000,190.73000,190.58000,190.62000,30,190.95000,191.31000,36.00,0,0
CVX.ext,M1,2026.05.01 21:22:00,190.63000,190.64000,190.50000,190.50000,24,190.95000,191.31000,36.00,0,0
CVX.ext,M1,2026.05.01 21:23:00,190.51000,190.56000,190.37000,190.40000,51,190.95000,191.31000,36.00,0,0
CVX.ext,M1,2026.05.01 21:24:00,190.40000,190.42000,190.34000,190.36000,42,190.95000,191.31000,36.00,0,0
CVX.ext,M1,2026.05.01 21:25:00,190.34000,190.60000,190.34000,190.56000,46,190.95000,191.31000,36.00,0,0
CVX.ext,M1,2026.05.01 21:26:00,190.55000,190.66000,190.54000,190.61000,22,190.95000,191.31000,36.00,0,0
CVX.ext,M1,2026.05.01 21:27:00,190.63000,190.68000,190.58000,190.58000,25,190.95000,191.31000,36.00,0,0
CVX.ext,M1,2026.05.01 21:28:00,190.59000,190.63000,190.58000,190.62000,23,190.95000,191.31000,36.00,0,0
CVX.ext,M1,2026.05.01 21:29:00,190.63000,190.68000,190.58000,190.61000,35,190.95000,191.31000,36.00,0,0
CVX.ext,M1,2026.05.01 21:30:00,190.60000,190.72000,190.60000,190.70000,39,190.95000,191.31000,36.00,0,0
CVX.ext,M1,2026.05.01 21:31:00,190.70000,190.75000,190.66000,190.74000,50,190.95000,191.31000,36.00,0,0
CVX.ext,M1,2026.05.01 21:32:00,190.74000,190.77000,190.58000,190.58000,28,190.95000,191.31000,36.00,0,0
CVX.ext,M1,2026.05.01 21:33:00,190.57000,190.63000,190.52000,190.53000,42,190.95000,191.31000,36.00,0,0
CVX.ext,M1,2026.05.01 21:34:00,190.56000,190.56000,190.45000,190.48000,48,190.95000,191.31000,36.00,0,0
CVX.ext,M1,2026.05.01 21:35:00,190.46000,190.60000,190.42000,190.56000,35,190.95000,191.31000,36.00,0,0
CVX.ext,M1,2026.05.01 21:36:00,190.56000,190.59000,190.47000,190.47000,46,190.95000,191.31000,36.00,0,0
CVX.ext,M1,2026.05.01 21:37:00,190.46000,190.52000,190.43000,190.43000,40,190.95000,191.31000,36.00,0,0
CVX.ext,M1,2026.05.01 21:38:00,190.44000,190.51000,190.43000,190.50000,28,190.95000,191.31000,36.00,0,0
CVX.ext,M1,2026.05.01 21:39:00,190.50000,190.54000,190.45000,190.45000,36,190.95000,191.31000,36.00,0,0
CVX.ext,M1,2026.05.01 21:40:00,190.46000,190.52000,190.42000,190.52000,25,190.95000,191.31000,36.00,0,0
CVX.ext,M1,2026.05.01 21:41:00,190.51000,190.54000,190.46000,190.46000,21,190.95000,191.31000,36.00,0,0
