symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
Copper,M1,2026.05.01 21:54:00,5.96700,5.96730,5.96580,5.96630,14,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 21:55:00,5.96650,5.96780,5.96650,5.96780,10,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 21:56:00,5.96730,5.96760,5.96590,5.96630,14,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 21:57:00,5.96590,5.96670,5.96580,5.96600,18,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 21:58:00,5.96570,5.96570,5.96480,5.96530,12,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 21:59:00,5.96550,5.96580,5.96490,5.96490,11,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 22:00:00,5.96530,5.96540,5.96450,5.96490,14,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 22:01:00,5.96500,5.96680,5.96500,5.96590,11,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 22:02:00,5.96630,5.96830,5.96630,5.96790,10,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 22:03:00,5.96800,5.96840,5.96780,5.96830,9,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 22:04:00,5.96780,5.96820,5.96780,5.96820,9,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 22:05:00,5.96870,5.96900,5.96820,5.96900,7,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 22:06:00,5.96880,5.96880,5.96780,5.96840,11,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 22:07:00,5.96860,5.96860,5.96780,5.96780,3,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 22:08:00,5.96790,5.96790,5.96740,5.96740,7,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 22:09:00,5.96750,5.96800,5.96730,5.96790,13,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 22:10:00,5.96770,5.96770,5.96670,5.96730,8,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 22:11:00,5.96700,5.96840,5.96700,5.96730,11,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 22:12:00,5.96760,5.96800,5.96720,5.96740,8,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 22:13:00,5.96760,5.96770,5.96670,5.96670,11,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 22:14:00,5.96710,5.96710,5.96620,5.96670,10,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 22:15:00,5.96650,5.96740,5.96630,5.96650,14,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 22:16:00,5.96670,5.96750,5.96660,5.96750,17,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 22:17:00,5.96700,5.96730,5.96680,5.96710,6,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 22:18:00,5.96730,5.96770,5.96730,5.96760,3,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 22:19:00,5.96770,5.96780,5.96750,5.96750,3,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 22:20:00,5.96730,5.96750,5.96710,5.96750,8,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 22:21:00,5.96760,5.97010,5.96760,5.97010,5,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 22:22:00,5.97040,5.97070,5.97030,5.97040,7,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 22:23:00,5.97070,5.97150,5.97070,5.97150,6,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 22:24:00,5.97030,5.97110,5.97030,5.97110,5,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 22:25:00,5.97160,5.97220,5.97130,5.97220,8,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 22:26:00,5.97270,5.97300,5.97260,5.97280,8,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 22:27:00,5.97300,5.97320,5.97160,5.97200,6,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 22:28:00,5.97160,5.97160,5.97110,5.97110,6,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 22:29:00,5.97090,5.97100,5.97070,5.97100,5,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 22:30:00,5.97120,5.97180,5.97030,5.97030,16,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 22:31:00,5.97060,5.97060,5.96930,5.96980,8,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 22:32:00,5.96930,5.96980,5.96860,5.96930,13,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 22:33:00,5.96970,5.96970,5.96880,5.96920,16,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 22:34:00,5.96880,5.96930,5.96880,5.96900,8,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 22:35:00,5.96910,5.96940,5.96850,5.96850,14,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 22:36:00,5.96830,5.96830,5.96760,5.96780,14,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 22:37:00,5.96710,5.96720,5.96630,5.96670,11,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 22:38:00,5.96680,5.96760,5.96680,5.96760,5,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 22:39:00,5.96810,5.96900,5.96690,5.96690,9,5.96500,5.96920,42.00,0,0
Copper,M1,2026.05.01 22:40:00,5.96730,5.96730,5.96610,5.96640,12,5.96500,5.96920,42.00,0,0
