symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
DKNG.ext,D1,2025.12.09 00:00:00,35.36000,35.50000,34.13000,34.63000,8326,22.87000,23.01000,14.00,0,0
DKNG.ext,D1,2025.12.10 00:00:00,34.63000,35.24000,33.58000,34.48000,10178,22.87000,23.01000,14.00,0,0
DKNG.ext,D1,2025.12.11 00:00:00,34.52000,35.40000,33.44000,34.80000,8465,22.87000,23.01000,14.00,0,0
DKNG.ext,D1,2025.12.12 00:00:00,34.79000,36.33000,34.38000,35.43000,13184,22.87000,23.01000,14.00,0,0
DKNG.ext,D1,2025.12.15 00:00:00,34.20000,35.81000,34.20000,35.30000,7691,22.87000,23.01000,14.00,0,0
DKNG.ext,D1,2025.12.16 00:00:00,35.28000,35.70000,33.99000,34.21000,13962,22.87000,23.01000,14.00,0,0
DKNG.ext,D1,2025.12.17 00:00:00,34.27000,35.78000,33.33000,33.96000,13393,22.87000,23.01000,14.00,0,0
DKNG.ext,D1,2025.12.18 00:00:00,33.99000,35.07000,32.68000,34.02000,7733,22.87000,23.01000,14.00,0,0
DKNG.ext,D1,2025.12.19 00:00:00,34.01000,34.80000,33.62000,34.19000,9681,22.87000,23.01000,14.00,0,0
DKNG.ext,D1,2025.12.22 00:00:00,33.45000,35.42000,33.45000,34.75000,8686,22.87000,23.01000,14.00,0,0
DKNG.ext,D1,2025.12.23 00:00:00,34.77000,34.94000,33.61000,34.40000,5722,22.87000,23.01000,14.00,0,0
DKNG.ext,D1,2025.12.24 00:00:00,34.40000,34.61000,33.39000,34.31000,4334,22.87000,23.01000,14.00,0,0
DKNG.ext,D1,2025.12.26 00:00:00,34.28000,34.99000,33.86000,34.79000,5653,22.87000,23.01000,14.00,0,0
DKNG.ext,D1,2025.12.29 00:00:00,34.50000,35.23000,34.11000,34.17000,5630,22.87000,23.01000,14.00,0,0
DKNG.ext,D1,2025.12.30 00:00:00,34.43000,34.94000,34.03000,34.58000,4754,22.87000,23.01000,14.00,0,0
DKNG.ext,D1,2025.12.31 00:00:00,34.58000,35.07000,34.05000,34.73000,4291,22.87000,23.01000,14.00,0,0
DKNG.ext,D1,2026.01.02 00:00:00,34.59000,35.91000,34.33000,35.58000,9824,22.87000,23.01000,14.00,0,0
DKNG.ext,D1,2026.01.05 00:00:00,35.61000,36.73000,35.08000,36.19000,7466,22.87000,23.01000,14.00,0,0
DKNG.ext,D1,2026.01.06 00:00:00,36.19000,36.91000,34.73000,34.93000,9533,22.87000,23.01000,14.00,0,0
DKNG.ext,D1,2026.01.07 00:00:00,34.94000,35.14000,33.90000,34.40000,7007,22.87000,23.01000,14.00,0,0
DKNG.ext,D1,2026.01.08 00:00:00,34.39000,36.68000,33.26000,35.74000,9281,22.87000,23.01000,14.00,0,0
