symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
EMBasket,M5,2026.05.01 21:50:00,7792.00000,7792.00000,7791.00000,7792.00000,14,7787.00000,7790.00000,3.00,0,0
EMBasket,M5,2026.05.01 21:55:00,7792.00000,7794.00000,7790.00000,7791.00000,28,7787.00000,7790.00000,3.00,0,0
EMBasket,M5,2026.05.01 22:00:00,7792.00000,7792.00000,7791.00000,7791.00000,12,7787.00000,7790.00000,3.00,0,0
EMBasket,M5,2026.05.01 22:05:00,7792.00000,7792.00000,7792.00000,7792.00000,2,7787.00000,7790.00000,3.00,0,0
EMBasket,M5,2026.05.01 22:10:00,7791.00000,7792.00000,7791.00000,7792.00000,6,7787.00000,7790.00000,3.00,0,0
EMBasket,M5,2026.05.01 22:20:00,7793.00000,7793.00000,7792.00000,7792.00000,2,7787.00000,7790.00000,3.00,0,0
EMBasket,M5,2026.05.01 22:25:00,7791.00000,7791.00000,7791.00000,7791.00000,1,7787.00000,7790.00000,3.00,0,0
EMBasket,M5,2026.05.01 22:30:00,7790.00000,7791.00000,7789.00000,7789.00000,7,7787.00000,7790.00000,3.00,0,0
EMBasket,M5,2026.05.01 22:35:00,7790.00000,7790.00000,7789.00000,7789.00000,10,7787.00000,7790.00000,3.00,0,0
EMBasket,M5,2026.05.01 22:40:00,7788.00000,7789.00000,7788.00000,7789.00000,24,7787.00000,7790.00000,3.00,0,0
EMBasket,M5,2026.05.01 22:50:00,7788.00000,7788.00000,7787.00000,7787.00000,2,7787.00000,7790.00000,3.00,0,0
