symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
ESP35,M15,2026.04.28 20:00:00,17727.64000,17753.15000,17718.64000,17739.64000,48,17797.02000,17801.02000,400.00,0,0
ESP35,M15,2026.04.28 20:15:00,17736.13000,17747.14000,17720.64000,17738.63000,83,17797.02000,17801.02000,400.00,0,0
ESP35,M15,2026.04.28 20:30:00,17739.63000,17747.63000,17739.63000,17747.63000,23,17797.02000,17801.02000,400.00,0,0
ESP35,M15,2026.04.28 20:45:00,17748.13000,17748.13000,17735.63000,17745.63000,21,17797.02000,17801.02000,400.00,0,0
ESP35,M15,2026.04.29 09:00:00,17806.20000,17809.20000,17780.20000,17784.20000,76,17797.02000,17801.02000,400.00,0,0
ESP35,M15,2026.04.29 09:15:00,17784.70000,17794.18000,17776.20000,17793.69000,54,17797.02000,17801.02000,400.00,0,0
ESP35,M15,2026.04.29 09:30:00,17795.20000,17810.18000,17786.69000,17800.68000,59,17797.02000,17801.02000,400.00,0,0
ESP35,M15,2026.04.29 09:45:00,17803.20000,17803.20000,17751.19000,17751.19000,132,17797.02000,17801.02000,400.00,0,0
ESP35,M15,2026.04.29 10:00:00,17752.19000,17774.19000,17673.18000,17674.18000,575,17797.02000,17801.02000,400.00,0,0
ESP35,M15,2026.04.29 10:15:00,17674.20000,17683.20000,17638.68000,17652.68000,480,17797.02000,17801.02000,400.00,0,0
ESP35,M15,2026.04.29 10:30:00,17651.70000,17675.69000,17621.68000,17621.68000,509,17797.02000,17801.02000,400.00,0,0
ESP35,M15,2026.04.29 10:45:00,17622.18000,17622.20000,17592.70000,17611.19000,402,17797.02000,17801.02000,400.00,0,0
ESP35,M15,2026.04.29 11:00:00,17611.18000,17634.20000,17569.20000,17578.69000,658,17797.02000,17801.02000,400.00,0,0
ESP35,M15,2026.04.29 11:15:00,17577.69000,17620.68000,17570.18000,17613.20000,670,17797.02000,17801.02000,400.00,0,0
ESP35,M15,2026.04.29 11:30:00,17612.70000,17624.20000,17580.18000,17623.18000,700,17797.02000,17801.02000,400.00,0,0
ESP35,M15,2026.04.29 11:45:00,17622.18000,17630.18000,17597.18000,17606.68000,561,17797.02000,17801.02000,400.00,0,0
ESP35,M15,2026.04.29 12:00:00,17606.20000,17646.20000,17597.70000,17633.69000,531,17797.02000,17801.02000,400.00,0,0
ESP35,M15,2026.04.29 12:15:00,17633.70000,17649.20000,17627.19000,17630.18000,404,17797.02000,17801.02000,400.00,0,0
ESP35,M15,2026.04.29 12:30:00,17629.70000,17644.68000,17606.18000,17606.18000,527,17797.02000,17801.02000,400.00,0,0
ESP35,M15,2026.04.29 12:45:00,17606.68000,17611.70000,17580.20000,17589.18000,396,17797.02000,17801.02000,400.00,0,0
ESP35,M15,2026.04.29 13:00:00,17588.69000,17623.70000,17583.19000,17623.70000,295,17797.02000,17801.02000,400.00,0,0
ESP35,M15,2026.04.29 13:15:00,17624.18000,17673.20000,17623.69000,17663.69000,257,17797.02000,17801.02000,400.00,0,0
ESP35,M15,2026.04.29 13:30:00,17664.20000,17692.20000,17656.69000,17658.69000,334,17797.02000,17801.02000,400.00,0,0
ESP35,M15,2026.04.29 13:45:00,17658.19000,17671.19000,17648.70000,17657.20000,228,17797.02000,17801.02000,400.00,0,0
ESP35,M15,2026.04.29 14:00:00,17656.20000,17673.18000,17645.18000,17650.18000,270,17797.02000,17801.02000,400.00,0,0
ESP35,M15,2026.04.29 14:15:00,17649.70000,17660.70000,17635.69000,17647.19000,228,17797.02000,17801.02000,400.00,0,0
ESP35,M15,2026.04.29 14:30:00,17647.18000,17661.69000,17633.69000,17646.69000,275,17797.02000,17801.02000,400.00,0,0
ESP35,M15,2026.04.29 14:45:00,17647.18000,17665.20000,17640.68000,17660.70000,198,17797.02000,17801.02000,400.00,0,0
ESP35,M15,2026.04.29 15:00:00,17661.20000,17680.70000,17658.68000,17672.68000,244,17797.02000,17801.02000,400.00,0,0
ESP35,M15,2026.04.29 15:15:00,17673.20000,17681.18000,17661.18000,17665.20000,289,17797.02000,17801.02000,400.00,0,0
ESP35,M15,2026.04.29 15:30:00,17664.68000,17674.20000,17645.18000,17668.19000,398,17797.02000,17801.02000,400.00,0,0
ESP35,M15,2026.04.29 15:45:00,17667.18000,17671.68000,17647.69000,17668.69000,316,17797.02000,17801.02000,400.00,0,0
ESP35,M15,2026.04.29 16:00:00,17669.19000,17696.68000,17669.19000,17692.19000,323,17797.02000,17801.02000,400.00,0,0
ESP35,M15,2026.04.29 16:15:00,17691.70000,17692.69000,17636.70000,17652.69000,540,17797.02000,17801.02000,400.00,0,0
ESP35,M15,2026.04.29 16:30:00,17653.68000,17662.70000,17610.18000,17611.70000,643,17797.02000,17801.02000,400.00,0,0
ESP35,M15,2026.04.29 16:45:00,17612.70000,17646.68000,17588.18000,17640.20000,577,17797.02000,17801.02000,400.00,0,0
ESP35,M15,2026.04.29 17:00:00,17641.68000,17694.70000,17638.69000,17685.69000,582,17797.02000,17801.02000,400.00,0,0
ESP35,M15,2026.04.29 17:15:00,17685.18000,17689.68000,17651.68000,17652.20000,405,17797.02000,17801.02000,400.00,0,0
ESP35,M15,2026.04.29 17:30:00,17652.19000,17666.70000,17643.68000,17647.70000,497,17797.02000,17801.02000,400.00,0,0
ESP35,M15,2026.04.29 17:45:00,17648.19000,17665.20000,17627.69000,17663.20000,406,17797.02000,17801.02000,400.00,0,0
ESP35,M15,2026.04.29 18:00:00,17664.20000,17676.19000,17611.19000,17620.19000,408,17797.02000,17801.02000,400.00,0,0
