symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
ETHUSD,H1,2026.03.05 08:00:00,2118.15,2129.05,2108.15,2126.45,3151,2282.05,2286.95,490.00,0,0
ETHUSD,H1,2026.03.05 09:00:00,2126.55,2130.75,2094.10,2103.20,2673,2282.05,2286.95,490.00,0,0
ETHUSD,H1,2026.03.05 10:00:00,2103.40,2116.35,2091.85,2115.70,3646,2282.05,2286.95,490.00,0,0
ETHUSD,H1,2026.03.05 11:00:00,2115.75,2136.55,2114.60,2124.10,3881,2282.05,2286.95,490.00,0,0
ETHUSD,H1,2026.03.05 12:00:00,2124.30,2162.35,2118.45,2154.85,3555,2282.05,2286.95,490.00,0,0
ETHUSD,H1,2026.03.05 13:00:00,2155.05,2158.15,2128.95,2136.35,3067,2282.05,2286.95,490.00,0,0
ETHUSD,H1,2026.03.05 14:00:00,2136.45,2141.40,2121.60,2136.30,3588,2282.05,2286.95,490.00,0,0
ETHUSD,H1,2026.03.05 15:00:00,2136.35,2137.85,2107.70,2115.85,4424,2282.05,2286.95,490.00,0,0
ETHUSD,H1,2026.03.05 16:00:00,2116.45,2129.80,2095.00,2116.90,5068,2282.05,2286.95,490.00,0,0
ETHUSD,H1,2026.03.05 17:00:00,2117.25,2120.10,2065.30,2085.25,6173,2282.05,2286.95,490.00,0,0
ETHUSD,H1,2026.03.05 18:00:00,2085.30,2085.70,2054.80,2078.50,5518,2282.05,2286.95,490.00,0,0
ETHUSD,H1,2026.03.05 19:00:00,2078.45,2091.25,2052.50,2057.30,5380,2282.05,2286.95,490.00,0,0
ETHUSD,H1,2026.03.05 20:00:00,2056.95,2076.15,2055.00,2074.65,4837,2282.05,2286.95,490.00,0,0
ETHUSD,H1,2026.03.05 21:00:00,2074.40,2090.50,2069.90,2071.80,4186,2282.05,2286.95,490.00,0,0
ETHUSD,H1,2026.03.05 22:00:00,2071.95,2096.35,2067.90,2090.20,4438,2282.05,2286.95,490.00,0,0
ETHUSD,H1,2026.03.05 23:00:00,2089.95,2097.40,2073.70,2078.35,2820,2282.05,2286.95,490.00,0,0
ETHUSD,H1,2026.03.06 00:00:00,2078.30,2083.05,2075.40,2078.15,1595,2282.05,2286.95,490.00,0,0
ETHUSD,H1,2026.03.06 01:00:00,2078.65,2082.65,2068.25,2070.90,1798,2282.05,2286.95,490.00,0,0
ETHUSD,H1,2026.03.06 02:00:00,2071.10,2078.75,2066.40,2073.25,2121,2282.05,2286.95,490.00,0,0
ETHUSD,H1,2026.03.06 03:00:00,2072.95,2089.35,2060.45,2086.10,3332,2282.05,2286.95,490.00,0,0
ETHUSD,H1,2026.03.06 04:00:00,2086.15,2091.60,2079.05,2082.05,3015,2282.05,2286.95,490.00,0,0
ETHUSD,H1,2026.03.06 05:00:00,2082.00,2087.20,2071.85,2082.25,2563,2282.05,2286.95,490.00,0,0
ETHUSD,H1,2026.03.06 06:00:00,2082.30,2084.35,2057.55,2069.25,2739,2282.05,2286.95,490.00,0,0
ETHUSD,H1,2026.03.06 07:00:00,2069.10,2072.55,2057.20,2066.65,3391,2282.05,2286.95,490.00,0,0
ETHUSD,H1,2026.03.06 08:00:00,2066.10,2078.55,2061.55,2072.45,2157,2282.05,2286.95,490.00,0,0
ETHUSD,H1,2026.03.06 09:00:00,2072.50,2085.30,2067.00,2080.85,2575,2282.05,2286.95,490.00,0,0
ETHUSD,H1,2026.03.06 10:00:00,2080.75,2080.85,2072.60,2074.20,2775,2282.05,2286.95,490.00,0,0
ETHUSD,H1,2026.03.06 11:00:00,2074.80,2075.50,2044.80,2057.75,3873,2282.05,2286.95,490.00,0,0
ETHUSD,H1,2026.03.06 12:00:00,2057.90,2067.70,2055.95,2061.25,2587,2282.05,2286.95,490.00,0,0
ETHUSD,H1,2026.03.06 13:00:00,2061.10,2065.30,2047.65,2048.75,2971,2282.05,2286.95,490.00,0,0
ETHUSD,H1,2026.03.06 14:00:00,2049.10,2053.25,2032.45,2046.65,3954,2282.05,2286.95,490.00,0,0
ETHUSD,H1,2026.03.06 15:00:00,2046.50,2059.80,2017.65,2018.25,4275,2282.05,2286.95,490.00,0,0
ETHUSD,H1,2026.03.06 16:00:00,2017.25,2021.90,1969.40,1979.40,6191,2282.05,2286.95,490.00,0,0
ETHUSD,H1,2026.03.06 17:00:00,1979.20,1996.00,1964.15,1975.80,5862,2282.05,2286.95,490.00,0,0
ETHUSD,H1,2026.03.06 18:00:00,1975.75,1983.15,1963.55,1969.15,5232,2282.05,2286.95,490.00,0,0
