symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
EURCAD,M5,2026.05.01 21:50:00,1.59338,1.59338,1.59303,1.59308,406,1.59223,1.59255,32.00,0,0
EURCAD,M5,2026.05.01 21:55:00,1.59309,1.59345,1.59290,1.59291,578,1.59223,1.59255,32.00,0,0
EURCAD,M5,2026.05.01 22:00:00,1.59292,1.59306,1.59278,1.59301,479,1.59223,1.59255,32.00,0,0
EURCAD,M5,2026.05.01 22:05:00,1.59302,1.59321,1.59300,1.59314,230,1.59223,1.59255,32.00,0,0
EURCAD,M5,2026.05.01 22:10:00,1.59315,1.59317,1.59282,1.59293,273,1.59223,1.59255,32.00,0,0
EURCAD,M5,2026.05.01 22:15:00,1.59291,1.59293,1.59270,1.59289,326,1.59223,1.59255,32.00,0,0
EURCAD,M5,2026.05.01 22:20:00,1.59288,1.59292,1.59275,1.59275,303,1.59223,1.59255,32.00,0,0
EURCAD,M5,2026.05.01 22:25:00,1.59274,1.59289,1.59260,1.59261,251,1.59223,1.59255,32.00,0,0
EURCAD,M5,2026.05.01 22:30:00,1.59260,1.59264,1.59244,1.59251,386,1.59223,1.59255,32.00,0,0
EURCAD,M5,2026.05.01 22:35:00,1.59250,1.59257,1.59235,1.59256,259,1.59223,1.59255,32.00,0,0
EURCAD,M5,2026.05.01 22:40:00,1.59255,1.59268,1.59232,1.59237,249,1.59223,1.59255,32.00,0,0
EURCAD,M5,2026.05.01 22:45:00,1.59236,1.59254,1.59236,1.59239,216,1.59223,1.59255,32.00,0,0
EURCAD,M5,2026.05.01 22:50:00,1.59239,1.59243,1.59221,1.59223,73,1.59223,1.59255,32.00,0,0
