symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
EURHUF,M5,2026.05.01 21:50:00,362.69500,362.72400,362.63000,362.66200,64,363.00100,363.40000,399.00,0,0
EURHUF,M5,2026.05.01 21:55:00,362.66300,362.66400,362.27900,362.36600,105,363.00100,363.40000,399.00,0,0
EURHUF,M5,2026.05.01 22:00:00,362.36900,362.93300,362.32900,362.88700,193,363.00100,363.40000,399.00,0,0
EURHUF,M5,2026.05.01 22:05:00,362.88200,362.90500,362.74500,362.86000,291,363.00100,363.40000,399.00,0,0
EURHUF,M5,2026.05.01 22:10:00,362.79900,362.86000,362.74500,362.79300,72,363.00100,363.40000,399.00,0,0
EURHUF,M5,2026.05.01 22:15:00,362.80100,362.80100,362.73000,362.75100,73,363.00100,363.40000,399.00,0,0
EURHUF,M5,2026.05.01 22:20:00,362.76500,362.78600,362.73800,362.76800,116,363.00100,363.40000,399.00,0,0
EURHUF,M5,2026.05.01 22:25:00,362.75400,362.77700,362.69100,362.69600,81,363.00100,363.40000,399.00,0,0
EURHUF,M5,2026.05.01 22:30:00,362.69200,362.80500,362.68700,362.80300,80,363.00100,363.40000,399.00,0,0
EURHUF,M5,2026.05.01 22:35:00,362.80300,362.80900,362.77400,362.77400,42,363.00100,363.40000,399.00,0,0
EURHUF,M5,2026.05.01 22:40:00,362.78200,362.81800,362.72500,362.73700,43,363.00100,363.40000,399.00,0,0
EURHUF,M5,2026.05.01 22:45:00,362.74100,362.80600,362.70200,362.76900,89,363.00100,363.40000,399.00,0,0
EURHUF,M5,2026.05.01 22:50:00,362.77200,362.99800,362.76100,362.95800,74,363.00100,363.40000,399.00,0,0
