symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
EURJPY,H1,2026.04.27 19:00:00,186.86400,186.95700,186.84900,186.89900,6319,184.08700,184.11600,29.00,0,0
EURJPY,H1,2026.04.27 20:00:00,186.90000,186.92300,186.83800,186.85300,6223,184.08700,184.11600,29.00,0,0
EURJPY,H1,2026.04.27 21:00:00,186.85400,186.89600,186.83300,186.87100,4647,184.08700,184.11600,29.00,0,0
EURJPY,H1,2026.04.27 22:00:00,186.86800,186.89500,186.84500,186.85600,4295,184.08700,184.11600,29.00,0,0
EURJPY,H1,2026.04.27 23:00:00,186.86000,186.89100,186.81100,186.82100,2912,184.08700,184.11600,29.00,0,0
EURJPY,H1,2026.04.28 00:00:00,186.80500,186.80500,186.72800,186.76400,945,184.08700,184.11600,29.00,0,0
EURJPY,H1,2026.04.28 01:00:00,186.77500,186.84500,186.75400,186.82800,1776,184.08700,184.11600,29.00,0,0
EURJPY,H1,2026.04.28 02:00:00,186.82800,186.87400,186.75800,186.78600,2584,184.08700,184.11600,29.00,0,0
EURJPY,H1,2026.04.28 03:00:00,186.78400,186.84900,186.73300,186.83700,6907,184.08700,184.11600,29.00,0,0
EURJPY,H1,2026.04.28 04:00:00,186.83600,186.86600,186.78100,186.83800,6671,184.08700,184.11600,29.00,0,0
EURJPY,H1,2026.04.28 05:00:00,186.83700,186.85700,186.72000,186.72400,4929,184.08700,184.11600,29.00,0,0
EURJPY,H1,2026.04.28 06:00:00,186.72500,186.78100,186.23700,186.29300,7857,184.08700,184.11600,29.00,0,0
EURJPY,H1,2026.04.28 07:00:00,186.29300,186.30800,186.19500,186.28400,6128,184.08700,184.11600,29.00,0,0
EURJPY,H1,2026.04.28 08:00:00,186.28500,186.33900,186.25400,186.31700,6344,184.08700,184.11600,29.00,0,0
EURJPY,H1,2026.04.28 09:00:00,186.31900,186.33400,186.06300,186.19900,9395,184.08700,184.11600,29.00,0,0
EURJPY,H1,2026.04.28 10:00:00,186.20000,186.59500,186.15700,186.56400,9040,184.08700,184.11600,29.00,0,0
EURJPY,H1,2026.04.28 11:00:00,186.56400,186.80800,186.56400,186.58000,9534,184.08700,184.11600,29.00,0,0
EURJPY,H1,2026.04.28 12:00:00,186.57500,186.62900,186.45300,186.53700,8456,184.08700,184.11600,29.00,0,0
EURJPY,H1,2026.04.28 13:00:00,186.53600,186.64200,186.50400,186.62500,7994,184.08700,184.11600,29.00,0,0
EURJPY,H1,2026.04.28 14:00:00,186.62300,186.77100,186.60200,186.60500,10125,184.08700,184.11600,29.00,0,0
EURJPY,H1,2026.04.28 15:00:00,186.60600,186.66600,186.44100,186.48200,12062,184.08700,184.11600,29.00,0,0
EURJPY,H1,2026.04.28 16:00:00,186.48300,186.66500,186.44800,186.54400,12611,184.08700,184.11600,29.00,0,0
EURJPY,H1,2026.04.28 17:00:00,186.54400,186.85100,186.51400,186.84600,13816,184.08700,184.11600,29.00,0,0
EURJPY,H1,2026.04.28 18:00:00,186.84800,186.90500,186.80300,186.84500,11168,184.08700,184.11600,29.00,0,0
EURJPY,H1,2026.04.28 19:00:00,186.84700,186.87700,186.77200,186.81100,7705,184.08500,184.11500,30.00,0,0
EURJPY,H1,2026.04.28 20:00:00,186.81300,186.87500,186.78900,186.84500,6059,184.08500,184.11500,30.00,0,0
EURJPY,H1,2026.04.28 21:00:00,186.84600,186.93900,186.83300,186.90600,5693,184.08500,184.11500,30.00,0,0
EURJPY,H1,2026.04.28 22:00:00,186.90600,186.92600,186.85800,186.91700,4769,184.08500,184.11500,30.00,0,0
EURJPY,H1,2026.04.28 23:00:00,186.91800,186.93800,186.88300,186.88400,3239,184.08500,184.11500,30.00,0,0
EURJPY,H1,2026.04.29 00:00:00,186.87700,186.88300,186.72700,186.80700,1001,184.08500,184.11500,30.00,0,0
EURJPY,H1,2026.04.29 01:00:00,186.81600,186.92300,186.81600,186.87000,1868,184.08500,184.11500,30.00,0,0
EURJPY,H1,2026.04.29 02:00:00,186.87100,186.89900,186.83600,186.88600,2936,184.08500,184.11500,30.00,0,0
EURJPY,H1,2026.04.29 03:00:00,186.88400,186.91900,186.81700,186.84100,6732,184.08500,184.11500,30.00,0,0
EURJPY,H1,2026.04.29 04:00:00,186.84200,186.89200,186.81000,186.86200,9573,184.08500,184.11500,30.00,0,0
EURJPY,H1,2026.04.29 05:00:00,186.86100,186.89700,186.79700,186.80500,7206,184.08500,184.11500,30.00,0,0
EURJPY,H1,2026.04.29 06:00:00,186.80500,186.83600,186.76500,186.77300,4966,184.08500,184.11500,30.00,0,0
EURJPY,H1,2026.04.29 07:00:00,186.77400,186.81800,186.76100,186.78600,3891,184.08500,184.11500,30.00,0,0
EURJPY,H1,2026.04.29 08:00:00,186.78500,186.81400,186.70900,186.79300,6036,184.08500,184.11500,30.00,0,0
EURJPY,H1,2026.04.29 09:00:00,186.79000,186.82700,186.66900,186.72000,7908,184.08500,184.11500,30.00,0,0
EURJPY,H1,2026.04.29 10:00:00,186.71800,186.86600,186.69300,186.82700,10500,184.08500,184.11500,30.00,0,0
EURJPY,H1,2026.04.29 11:00:00,186.79500,186.87900,186.68700,186.87100,11461,184.08500,184.11500,30.00,0,0
EURJPY,H1,2026.04.29 12:00:00,186.87100,186.95100,186.82300,186.88800,9441,184.08500,184.11500,30.00,0,0
EURJPY,H1,2026.04.29 13:00:00,186.88900,186.98400,186.84300,186.98400,8579,184.08500,184.11500,30.00,0,0
EURJPY,H1,2026.04.29 14:00:00,186.98500,187.03500,186.94500,186.95700,8447,184.08500,184.11500,30.00,0,0
EURJPY,H1,2026.04.29 15:00:00,186.94900,187.08100,186.93900,187.08100,9997,184.08500,184.11500,30.00,0,0
EURJPY,H1,2026.04.29 16:00:00,187.08000,187.15900,186.97400,187.15300,11487,184.08500,184.11500,30.00,0,0
EURJPY,H1,2026.04.29 17:00:00,187.15300,187.26500,187.06300,187.25800,11813,184.08500,184.11500,30.00,0,0
EURJPY,H1,2026.04.29 18:00:00,187.25900,187.40500,187.21500,187.30900,12223,184.08500,184.11500,30.00,0,0
EURJPY,H1,2026.04.29 19:00:00,187.30900,187.31700,187.20600,187.24100,8869,184.08500,184.11500,30.00,0,0
EURJPY,H1,2026.04.29 20:00:00,187.24100,187.25100,187.10600,187.10700,9212,184.08500,184.11500,30.00,0,0
EURJPY,H1,2026.04.29 21:00:00,187.10600,187.19200,186.99300,187.08700,13260,184.08500,184.11500,30.00,0,0
EURJPY,H1,2026.04.29 22:00:00,187.08700,187.21800,187.03100,187.19000,10373,184.08500,184.11500,30.00,0,0
EURJPY,H1,2026.04.29 23:00:00,187.18800,187.24200,187.14500,187.22900,6359,184.08500,184.11500,30.00,0,0
EURJPY,H1,2026.04.30 00:00:00,187.27900,187.27900,187.13900,187.20600,2170,184.08500,184.11500,30.00,0,0
EURJPY,H1,2026.04.30 01:00:00,187.20700,187.28800,187.20700,187.23300,2191,184.08500,184.11500,30.00,0,0
EURJPY,H1,2026.04.30 02:00:00,187.23800,187.25000,187.15500,187.19000,3958,184.08500,184.11500,30.00,0,0
