symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
EURJPY,M30,2026.04.29 21:00:00,187.10600,187.19200,187.06000,187.06300,6434,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.29 21:30:00,187.06300,187.13200,186.99300,187.08700,6826,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.29 22:00:00,187.08700,187.15300,187.03100,187.13500,5425,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.29 22:30:00,187.13400,187.21800,187.10100,187.19000,4948,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.29 23:00:00,187.18800,187.23000,187.14500,187.20900,3603,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.29 23:30:00,187.20900,187.24200,187.17600,187.22900,2756,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 00:00:00,187.27900,187.27900,187.18700,187.20600,207,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 00:30:00,187.19500,187.22600,187.13900,187.20600,1963,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 01:00:00,187.20700,187.28800,187.20700,187.24400,1395,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 01:30:00,187.24500,187.27700,187.23200,187.23300,796,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 02:00:00,187.23800,187.25000,187.17500,187.19100,1735,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 02:30:00,187.19200,187.23000,187.15500,187.19000,2223,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 03:00:00,187.19000,187.20500,187.08800,187.14400,4478,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 03:30:00,187.14400,187.27100,187.13200,187.21700,4628,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 04:00:00,187.22500,187.23600,187.14300,187.15400,4306,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 04:30:00,187.15700,187.18300,187.06000,187.07000,4997,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 05:00:00,187.06900,187.14100,187.05700,187.10600,3511,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 05:30:00,187.10400,187.11200,187.03200,187.08000,4492,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 06:00:00,187.08000,187.17900,187.07600,187.15300,3864,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 06:30:00,187.15400,187.16100,187.11400,187.15700,2962,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 07:00:00,187.15800,187.16400,187.06200,187.09900,4028,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 07:30:00,187.09900,187.21100,187.09900,187.19300,3968,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 08:00:00,187.19600,187.25200,187.16500,187.23000,3488,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 08:30:00,187.23100,187.32200,187.21700,187.32200,4486,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 09:00:00,187.31800,187.43500,187.27200,187.38300,5410,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 09:30:00,187.38500,187.45400,187.34000,187.44900,5226,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 10:00:00,187.44700,187.48100,187.38600,187.46200,5472,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 10:30:00,187.45900,187.55000,186.69200,187.02900,5105,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 11:00:00,187.02900,187.21600,186.89400,186.90700,7320,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 11:30:00,186.90600,186.94700,186.22100,186.40500,7004,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 12:00:00,186.40600,186.41500,186.06300,186.26100,7020,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 12:30:00,186.25900,186.46300,186.19600,186.34600,6377,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 13:00:00,186.34600,186.36200,185.20500,185.47800,6376,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 13:30:00,185.45600,185.51700,183.85300,184.12100,11264,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 14:00:00,184.12000,184.32800,183.25200,183.37600,9807,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 14:30:00,183.37500,183.60400,182.27400,183.04200,9104,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 15:00:00,183.03800,183.48600,182.96100,183.30400,7650,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 15:30:00,183.31000,183.66900,183.29800,183.37500,7775,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 16:00:00,183.37600,183.48000,182.73600,183.05400,8557,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 16:30:00,183.05300,183.52400,183.03500,183.45000,7582,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 17:00:00,183.45100,183.57500,183.30700,183.54700,8521,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 17:30:00,183.54500,183.86700,183.38700,183.75100,8582,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 18:00:00,183.75300,183.91100,183.75300,183.81100,7826,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 18:30:00,183.81000,183.84500,183.71800,183.75400,5716,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 19:00:00,183.75400,183.79200,183.64300,183.76200,4911,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 19:30:00,183.76200,183.77700,183.57500,183.60300,3729,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 20:00:00,183.60300,183.74600,183.57300,183.57900,5257,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 20:30:00,183.57500,183.57900,183.48800,183.49000,4674,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 21:00:00,183.49000,183.50200,183.41000,183.45400,4832,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 21:30:00,183.45400,183.63900,183.44200,183.58300,4752,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 22:00:00,183.58600,183.67900,183.52200,183.64000,5076,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 22:30:00,183.64100,183.75400,183.60300,183.72000,4827,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 23:00:00,183.72100,183.74800,183.67700,183.69700,3079,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.04.30 23:30:00,183.69500,183.76000,183.65400,183.65400,2330,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 00:00:00,183.59800,183.68700,183.59100,183.66000,351,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 00:30:00,183.66000,183.75700,183.66000,183.68100,1233,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 01:00:00,183.72200,183.83600,183.72200,183.81300,825,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 01:30:00,183.81100,183.87400,183.78000,183.79300,1002,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 02:00:00,183.79400,183.94500,183.78800,183.85500,1933,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 02:30:00,183.86500,184.19700,183.85500,184.14500,3479,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 03:00:00,184.14000,184.48900,184.12300,184.46000,4911,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 03:30:00,184.46100,184.49100,184.14500,184.23900,4541,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 04:00:00,184.23800,184.44500,184.18500,184.38400,4240,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 04:30:00,184.38500,184.46500,184.29400,184.43100,4085,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 05:00:00,184.43000,184.46000,184.35800,184.43400,3232,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 05:30:00,184.43400,184.57100,184.40500,184.51200,3217,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 06:00:00,184.51100,184.57400,184.43500,184.46200,2752,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 06:30:00,184.46200,184.48100,184.25600,184.41600,3294,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 07:00:00,184.41400,184.42000,184.30500,184.37300,3073,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 07:30:00,184.37400,184.46400,184.35400,184.41600,2459,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 08:00:00,184.41600,184.44500,184.35900,184.42700,2729,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 08:30:00,184.42800,184.42800,184.33600,184.39200,2804,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 09:00:00,184.39200,184.40700,184.29700,184.33500,4252,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 09:30:00,184.33300,184.33700,182.64200,183.04500,5353,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 10:00:00,183.04300,183.67400,182.98300,183.52300,6377,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 10:30:00,183.52400,183.88900,183.46000,183.80400,4931,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 11:00:00,183.80400,183.88100,183.55600,183.63300,5353,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 11:30:00,183.63300,183.84100,183.63000,183.77100,4538,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 12:00:00,183.77300,183.90800,183.64200,183.89900,4571,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 12:30:00,183.89800,183.95900,183.69500,183.70600,3892,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 13:00:00,183.70600,183.86100,183.69600,183.82300,3508,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 13:30:00,183.82300,183.93800,183.79200,183.92700,3625,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 14:00:00,183.93500,184.03200,183.89400,184.00700,4066,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 14:30:00,184.00600,184.02400,183.94000,184.02000,3751,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 15:00:00,184.03800,184.14400,183.98700,184.09100,6433,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 15:30:00,184.09200,184.17100,184.08900,184.13600,4452,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 16:00:00,184.13500,184.21100,184.10600,184.11000,4226,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 16:30:00,184.11200,184.15100,183.76800,184.07900,6827,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 17:00:00,184.07100,184.37200,184.04600,184.35600,7692,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 17:30:00,184.35900,184.44500,184.22300,184.34200,6873,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 18:00:00,184.34000,184.44100,184.32100,184.40100,6173,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 18:30:00,184.40200,184.44000,184.28900,184.29100,5538,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 19:00:00,184.29000,184.31600,184.17500,184.31000,4844,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 19:30:00,184.30900,184.31300,184.20600,184.24200,4462,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 20:00:00,184.24300,184.24600,184.16500,184.22000,3883,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 20:30:00,184.22100,184.23600,184.11500,184.15000,3711,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 21:00:00,184.15200,184.22400,184.11300,184.12700,3418,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 21:30:00,184.13000,184.18500,184.00200,184.15400,3827,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 22:00:00,184.15400,184.17800,184.11200,184.11500,2170,184.08700,184.11600,29.00,0,0
EURJPY,M30,2026.05.01 22:30:00,184.11400,184.12400,184.08500,184.08800,1362,184.08700,184.11600,29.00,0,0
