symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
EURUSD,H4,2025.09.08 16:00:00,1.17,1.18,1.17,1.17,25334,1.17,1.17,20.00,0,0
EURUSD,H4,2025.09.08 20:00:00,1.17,1.18,1.17,1.18,12708,1.17,1.17,20.00,0,0
EURUSD,H4,2025.09.09 00:00:00,1.18,1.18,1.18,1.18,7347,1.17,1.17,20.00,0,0
EURUSD,H4,2025.09.09 04:00:00,1.18,1.18,1.18,1.18,10870,1.17,1.17,20.00,0,0
EURUSD,H4,2025.09.09 08:00:00,1.18,1.18,1.17,1.18,22927,1.17,1.17,20.00,0,0
EURUSD,H4,2025.09.09 12:00:00,1.18,1.18,1.17,1.17,20604,1.17,1.17,20.00,0,0
EURUSD,H4,2025.09.09 16:00:00,1.17,1.18,1.17,1.17,29572,1.17,1.17,20.00,0,0
EURUSD,H4,2025.09.09 20:00:00,1.17,1.17,1.17,1.17,12988,1.17,1.17,20.00,0,0
EURUSD,H4,2025.09.10 00:00:00,1.17,1.17,1.17,1.17,7457,1.17,1.17,20.00,0,0
EURUSD,H4,2025.09.10 04:00:00,1.17,1.17,1.17,1.17,14439,1.17,1.17,20.00,0,0
EURUSD,H4,2025.09.10 08:00:00,1.17,1.17,1.17,1.17,20410,1.17,1.17,20.00,0,0
EURUSD,H4,2025.09.10 12:00:00,1.17,1.17,1.17,1.17,23005,1.17,1.17,20.00,0,0
EURUSD,H4,2025.09.10 16:00:00,1.17,1.17,1.17,1.17,27297,1.17,1.17,20.00,0,0
EURUSD,H4,2025.09.10 20:00:00,1.17,1.17,1.17,1.17,13072,1.17,1.17,20.00,0,0
EURUSD,H4,2025.09.11 00:00:00,1.17,1.17,1.17,1.17,6130,1.17,1.17,20.00,0,0
EURUSD,H4,2025.09.11 04:00:00,1.17,1.17,1.17,1.17,8601,1.17,1.17,20.00,0,0
EURUSD,H4,2025.09.11 08:00:00,1.17,1.17,1.17,1.17,19320,1.17,1.17,20.00,0,0
EURUSD,H4,2025.09.11 12:00:00,1.17,1.17,1.17,1.17,26903,1.17,1.17,20.00,0,0
EURUSD,H4,2025.09.11 16:00:00,1.17,1.17,1.17,1.17,30963,1.17,1.17,20.00,0,0
EURUSD,H4,2025.09.11 20:00:00,1.17,1.17,1.17,1.17,13355,1.17,1.17,20.00,0,0
EURUSD,H4,2025.09.12 00:00:00,1.17,1.17,1.17,1.17,7454,1.17,1.17,20.00,0,0
EURUSD,H4,2025.09.12 04:00:00,1.17,1.17,1.17,1.17,10171,1.17,1.17,20.00,0,0
EURUSD,H4,2025.09.12 08:00:00,1.17,1.17,1.17,1.17,18716,1.17,1.17,20.00,0,0
EURUSD,H4,2025.09.12 12:00:00,1.17,1.17,1.17,1.17,21806,1.17,1.17,20.00,0,0
EURUSD,H4,2025.09.12 16:00:00,1.17,1.17,1.17,1.17,24518,1.17,1.17,20.00,0,0
EURUSD,H4,2025.09.12 20:00:00,1.17,1.17,1.17,1.17,10391,1.17,1.17,20.00,0,0
EURUSD,H4,2025.09.15 00:00:00,1.17,1.17,1.17,1.17,5066,1.17,1.17,20.00,0,0
EURUSD,H4,2025.09.15 04:00:00,1.17,1.17,1.17,1.17,9403,1.17,1.17,20.00,0,0
EURUSD,H4,2025.09.15 08:00:00,1.17,1.17,1.17,1.17,18643,1.17,1.17,20.00,0,0
EURUSD,H4,2025.09.15 12:00:00,1.17,1.18,1.17,1.18,19661,1.17,1.17,20.00,0,0
EURUSD,H4,2025.09.15 16:00:00,1.18,1.18,1.18,1.18,22182,1.17,1.17,20.00,0,0
