symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
EURUSD,M30,2026.04.03 04:00:00,1.15,1.15,1.15,1.15,977,1.17,1.17,20.00,0,0
EURUSD,M30,2026.04.03 04:30:00,1.15,1.15,1.15,1.15,577,1.17,1.17,20.00,0,0
EURUSD,M30,2026.04.03 05:00:00,1.15,1.15,1.15,1.15,801,1.17,1.17,20.00,0,0
EURUSD,M30,2026.04.03 05:30:00,1.15,1.15,1.15,1.15,600,1.17,1.17,20.00,0,0
EURUSD,M30,2026.04.03 06:00:00,1.15,1.15,1.15,1.15,375,1.17,1.17,20.00,0,0
EURUSD,M30,2026.04.03 06:30:00,1.15,1.15,1.15,1.15,474,1.17,1.17,20.00,0,0
EURUSD,M30,2026.04.03 07:00:00,1.15,1.15,1.15,1.15,440,1.17,1.17,20.00,0,0
EURUSD,M30,2026.04.03 07:30:00,1.15,1.15,1.15,1.15,727,1.17,1.17,20.00,0,0
EURUSD,M30,2026.04.03 08:00:00,1.15,1.15,1.15,1.15,481,1.17,1.17,20.00,0,0
EURUSD,M30,2026.04.03 08:30:00,1.15,1.15,1.15,1.15,774,1.17,1.17,20.00,0,0
EURUSD,M30,2026.04.03 09:00:00,1.15,1.15,1.15,1.15,496,1.17,1.17,20.00,0,0
EURUSD,M30,2026.04.03 09:30:00,1.15,1.15,1.15,1.15,677,1.17,1.17,20.00,0,0
EURUSD,M30,2026.04.03 10:00:00,1.15,1.15,1.15,1.15,559,1.17,1.17,20.00,0,0
EURUSD,M30,2026.04.03 10:30:00,1.15,1.15,1.15,1.15,658,1.17,1.17,20.00,0,0
EURUSD,M30,2026.04.03 11:00:00,1.15,1.15,1.15,1.15,576,1.17,1.17,20.00,0,0
EURUSD,M30,2026.04.03 11:30:00,1.15,1.15,1.15,1.15,588,1.17,1.17,20.00,0,0
EURUSD,M30,2026.04.03 12:00:00,1.15,1.15,1.15,1.15,740,1.17,1.17,20.00,0,0
EURUSD,M30,2026.04.03 12:30:00,1.15,1.15,1.15,1.15,537,1.17,1.17,20.00,0,0
EURUSD,M30,2026.04.03 13:00:00,1.15,1.15,1.15,1.15,435,1.17,1.17,20.00,0,0
EURUSD,M30,2026.04.03 13:30:00,1.15,1.15,1.15,1.15,573,1.17,1.17,20.00,0,0
EURUSD,M30,2026.04.03 14:00:00,1.15,1.15,1.15,1.15,887,1.17,1.17,20.00,0,0
EURUSD,M30,2026.04.03 14:30:00,1.15,1.15,1.15,1.15,793,1.17,1.17,20.00,0,0
EURUSD,M30,2026.04.03 15:00:00,1.15,1.15,1.15,1.15,1276,1.17,1.17,20.00,0,0
EURUSD,M30,2026.04.03 15:30:00,1.15,1.15,1.15,1.15,2494,1.17,1.17,20.00,0,0
EURUSD,M30,2026.04.03 16:00:00,1.15,1.15,1.15,1.15,1082,1.17,1.17,20.00,0,0
EURUSD,M30,2026.04.03 16:30:00,1.15,1.15,1.15,1.15,995,1.17,1.17,20.00,0,0
EURUSD,M30,2026.04.03 17:00:00,1.15,1.15,1.15,1.15,1090,1.17,1.17,20.00,0,0
EURUSD,M30,2026.04.03 17:30:00,1.15,1.15,1.15,1.15,985,1.17,1.17,20.00,0,0
EURUSD,M30,2026.04.03 18:00:00,1.15,1.15,1.15,1.15,1316,1.17,1.17,20.00,0,0
EURUSD,M30,2026.04.03 18:30:00,1.15,1.15,1.15,1.15,1072,1.17,1.17,20.00,0,0
EURUSD,M30,2026.04.03 19:00:00,1.15,1.15,1.15,1.15,1122,1.17,1.17,20.00,0,0
EURUSD,M30,2026.04.03 19:30:00,1.15,1.15,1.15,1.15,1008,1.17,1.17,20.00,0,0
EURUSD,M30,2026.04.03 20:00:00,1.15,1.15,1.15,1.15,1098,1.17,1.17,20.00,0,0
EURUSD,M30,2026.04.03 20:30:00,1.15,1.15,1.15,1.15,1014,1.17,1.17,20.00,0,0
EURUSD,M30,2026.04.03 21:00:00,1.15,1.15,1.15,1.15,651,1.17,1.17,20.00,0,0
EURUSD,M30,2026.04.03 21:30:00,1.15,1.15,1.15,1.15,719,1.17,1.17,20.00,0,0
EURUSD,M30,2026.04.03 22:00:00,1.15,1.15,1.15,1.15,402,1.17,1.17,20.00,0,0
EURUSD,M30,2026.04.03 22:30:00,1.15,1.15,1.15,1.15,235,1.17,1.17,20.00,0,0
EURUSD,M30,2026.04.03 23:00:00,1.15,1.15,1.15,1.15,467,1.17,1.17,20.00,0,0
EURUSD,M30,2026.04.03 23:30:00,1.15,1.15,1.15,1.15,131,1.17,1.17,20.00,0,0
EURUSD,M30,2026.04.06 00:00:00,1.15,1.15,1.15,1.15,47,1.17,1.17,20.00,0,0
EURUSD,M30,2026.04.06 00:30:00,1.15,1.15,1.15,1.15,86,1.17,1.17,20.00,0,0
EURUSD,M30,2026.04.06 01:00:00,1.15,1.15,1.15,1.15,1999,1.17,1.17,20.00,0,0
EURUSD,M30,2026.04.06 01:30:00,1.15,1.15,1.15,1.15,1706,1.17,1.17,20.00,0,0
