symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
GBPNZD,M5,2026.05.01 21:50:00,2.30031,2.30044,2.29992,2.29994,485,2.30024,2.30123,99.00,0,0
GBPNZD,M5,2026.05.01 21:55:00,2.29990,2.30014,2.29970,2.29992,586,2.30024,2.30123,99.00,0,0
GBPNZD,M5,2026.05.01 22:00:00,2.29991,2.30007,2.29962,2.29979,390,2.30024,2.30123,99.00,0,0
GBPNZD,M5,2026.05.01 22:05:00,2.29979,2.30025,2.29979,2.30012,234,2.30024,2.30123,99.00,0,0
GBPNZD,M5,2026.05.01 22:10:00,2.30013,2.30023,2.30003,2.30017,299,2.30024,2.30123,99.00,0,0
GBPNZD,M5,2026.05.01 22:15:00,2.30015,2.30019,2.29981,2.29987,198,2.30024,2.30123,99.00,0,0
GBPNZD,M5,2026.05.01 22:20:00,2.29989,2.29996,2.29974,2.29985,195,2.30024,2.30123,99.00,0,0
GBPNZD,M5,2026.05.01 22:25:00,2.29987,2.29989,2.29973,2.29982,296,2.30024,2.30123,99.00,0,0
GBPNZD,M5,2026.05.01 22:30:00,2.29982,2.29992,2.29972,2.29987,89,2.30024,2.30123,99.00,0,0
GBPNZD,M5,2026.05.01 22:35:00,2.29988,2.30007,2.29980,2.29993,95,2.30024,2.30123,99.00,0,0
GBPNZD,M5,2026.05.01 22:40:00,2.29994,2.30018,2.29993,2.30011,131,2.30024,2.30123,99.00,0,0
GBPNZD,M5,2026.05.01 22:45:00,2.30011,2.30017,2.29997,2.30001,134,2.30024,2.30123,99.00,0,0
GBPNZD,M5,2026.05.01 22:50:00,2.29999,2.30030,2.29999,2.30024,89,2.30024,2.30123,99.00,0,0
