symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
GBPUSD,M30,2026.04.29 21:00:00,1.34850,1.34921,1.34669,1.34741,4052,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.29 21:30:00,1.34740,1.34841,1.34568,1.34718,4655,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.29 22:00:00,1.34722,1.34826,1.34665,1.34738,3739,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.29 22:30:00,1.34737,1.34778,1.34676,1.34758,3043,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.29 23:00:00,1.34757,1.34786,1.34694,1.34775,2683,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.29 23:30:00,1.34776,1.34781,1.34701,1.34747,1733,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 00:00:00,1.34719,1.34773,1.34643,1.34668,143,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 00:30:00,1.34691,1.34768,1.34658,1.34704,2162,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 01:00:00,1.34715,1.34811,1.34704,1.34806,986,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 01:30:00,1.34808,1.34820,1.34785,1.34794,581,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 02:00:00,1.34797,1.34815,1.34768,1.34807,851,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 02:30:00,1.34807,1.34885,1.34798,1.34877,1307,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 03:00:00,1.34877,1.34948,1.34877,1.34900,3616,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 03:30:00,1.34901,1.34931,1.34837,1.34838,2396,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 04:00:00,1.34838,1.34854,1.34801,1.34824,2805,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 04:30:00,1.34825,1.34859,1.34776,1.34812,3164,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 05:00:00,1.34812,1.34840,1.34768,1.34783,2460,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 05:30:00,1.34783,1.34783,1.34677,1.34741,3450,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 06:00:00,1.34742,1.34787,1.34726,1.34762,2657,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 06:30:00,1.34762,1.34785,1.34732,1.34749,2270,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 07:00:00,1.34753,1.34755,1.34611,1.34630,2954,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 07:30:00,1.34629,1.34631,1.34548,1.34603,2845,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 08:00:00,1.34603,1.34671,1.34603,1.34629,2796,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 08:30:00,1.34628,1.34680,1.34587,1.34589,3206,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 09:00:00,1.34586,1.34679,1.34535,1.34669,3445,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 09:30:00,1.34670,1.34776,1.34669,1.34728,4127,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 10:00:00,1.34727,1.34881,1.34725,1.34878,4341,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 10:30:00,1.34878,1.34921,1.34813,1.34859,3665,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 11:00:00,1.34861,1.34999,1.34861,1.34936,4762,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 11:30:00,1.34937,1.34968,1.34807,1.34841,4079,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 12:00:00,1.34841,1.34929,1.34787,1.34929,3900,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 12:30:00,1.34928,1.35048,1.34910,1.35022,4351,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 13:00:00,1.35021,1.35131,1.34924,1.35119,4192,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 13:30:00,1.35126,1.35281,1.35092,1.35275,6709,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 14:00:00,1.35277,1.35347,1.35143,1.35317,6300,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 14:30:00,1.35316,1.35347,1.35131,1.35167,5616,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 15:00:00,1.35167,1.35179,1.34980,1.35113,4750,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 15:30:00,1.35108,1.35187,1.35019,1.35124,5116,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 16:00:00,1.35122,1.35168,1.35040,1.35135,5373,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 16:30:00,1.35131,1.35201,1.35054,1.35151,4895,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 17:00:00,1.35151,1.35606,1.35125,1.35593,6047,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 17:30:00,1.35592,1.35907,1.35375,1.35821,6922,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 18:00:00,1.35820,1.35932,1.35752,1.35790,5709,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 18:30:00,1.35791,1.35892,1.35709,1.35778,4197,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 19:00:00,1.35779,1.35880,1.35725,1.35783,3904,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 19:30:00,1.35783,1.35800,1.35741,1.35772,2550,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 20:00:00,1.35774,1.35853,1.35756,1.35814,3476,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 20:30:00,1.35814,1.35865,1.35787,1.35805,3141,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 21:00:00,1.35807,1.35940,1.35807,1.35899,2846,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 21:30:00,1.35898,1.36068,1.35893,1.36013,2567,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 22:00:00,1.36013,1.36115,1.36002,1.36043,2818,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 22:30:00,1.36043,1.36097,1.36030,1.36035,2859,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 23:00:00,1.36034,1.36077,1.36014,1.36062,1880,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.04.30 23:30:00,1.36062,1.36088,1.35999,1.36013,1695,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 00:00:00,1.35989,1.36043,1.35977,1.35995,164,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 00:30:00,1.36000,1.36017,1.35985,1.36016,370,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 01:00:00,1.36028,1.36085,1.36028,1.36040,356,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 01:30:00,1.36038,1.36051,1.36017,1.36029,364,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 02:00:00,1.36029,1.36055,1.36029,1.36051,944,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 02:30:00,1.36051,1.36062,1.36015,1.36015,1289,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 03:00:00,1.36017,1.36044,1.35987,1.35999,2722,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 03:30:00,1.36002,1.36060,1.36000,1.36033,2320,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 04:00:00,1.36034,1.36044,1.35989,1.36028,2283,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 04:30:00,1.36028,1.36066,1.36025,1.36057,1991,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 05:00:00,1.36057,1.36086,1.36049,1.36068,1516,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 05:30:00,1.36067,1.36082,1.36005,1.36056,1725,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 06:00:00,1.36058,1.36115,1.36045,1.36103,1332,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 06:30:00,1.36102,1.36105,1.36002,1.36016,1883,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 07:00:00,1.36015,1.36041,1.35954,1.35954,1672,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 07:30:00,1.35956,1.35985,1.35952,1.35967,1202,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 08:00:00,1.35966,1.35975,1.35913,1.35926,1418,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 08:30:00,1.35925,1.35944,1.35880,1.35885,1480,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 09:00:00,1.35885,1.35928,1.35863,1.35911,2189,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 09:30:00,1.35912,1.36222,1.35883,1.36104,3936,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 10:00:00,1.36104,1.36134,1.36048,1.36105,3772,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 10:30:00,1.36105,1.36139,1.35984,1.36042,3221,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 11:00:00,1.36042,1.36114,1.36001,1.36074,2653,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 11:30:00,1.36074,1.36112,1.36042,1.36078,2168,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 12:00:00,1.36079,1.36094,1.35928,1.35940,1838,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 12:30:00,1.35940,1.36012,1.35910,1.35924,1820,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 13:00:00,1.35923,1.36095,1.35911,1.36083,1796,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 13:30:00,1.36083,1.36086,1.36020,1.36055,1773,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 14:00:00,1.36056,1.36223,1.36055,1.36188,2292,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 14:30:00,1.36188,1.36202,1.36076,1.36195,1942,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 15:00:00,1.36196,1.36425,1.36151,1.36390,3849,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 15:30:00,1.36390,1.36404,1.36281,1.36292,3082,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 16:00:00,1.36291,1.36363,1.36249,1.36272,3190,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 16:30:00,1.36271,1.36390,1.36159,1.36363,4445,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 17:00:00,1.36358,1.36572,1.36354,1.36492,5125,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 17:30:00,1.36493,1.36493,1.36168,1.36228,4261,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 18:00:00,1.36229,1.36298,1.36192,1.36240,3723,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 18:30:00,1.36241,1.36289,1.36137,1.36185,4108,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 19:00:00,1.36185,1.36228,1.36073,1.36092,3413,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 19:30:00,1.36087,1.36107,1.35980,1.35985,2869,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 20:00:00,1.35983,1.36014,1.35941,1.35959,2496,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 20:30:00,1.35960,1.35973,1.35881,1.35931,2607,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 21:00:00,1.35930,1.35942,1.35747,1.35789,2374,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 21:30:00,1.35793,1.35849,1.35756,1.35819,2598,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 22:00:00,1.35818,1.35828,1.35793,1.35793,1442,1.35730,1.35744,14.00,0,0
GBPUSD,M30,2026.05.01 22:30:00,1.35794,1.35796,1.35727,1.35729,899,1.35730,1.35744,14.00,0,0
