symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
HOOD.us,M1,2026.05.01 21:54:00,73.99000,74.02000,73.96000,73.96000,28,73.92000,74.16000,24.00,0,0
HOOD.us,M1,2026.05.01 21:55:00,73.96000,74.07000,73.93000,74.05000,50,73.92000,74.16000,24.00,0,0
HOOD.us,M1,2026.05.01 21:56:00,74.04000,74.05000,73.98000,74.00000,36,73.92000,74.16000,24.00,0,0
HOOD.us,M1,2026.05.01 21:57:00,74.00000,74.00000,73.96000,73.96000,18,73.92000,74.16000,24.00,0,0
HOOD.us,M1,2026.05.01 21:58:00,73.98000,74.07000,73.97000,74.07000,39,73.92000,74.16000,24.00,0,0
HOOD.us,M1,2026.05.01 21:59:00,74.06000,74.08000,73.95000,73.95000,45,73.92000,74.16000,24.00,0,0
HOOD.us,M1,2026.05.01 22:00:00,73.97000,73.98000,73.89000,73.94000,87,73.92000,74.16000,24.00,0,0
HOOD.us,M1,2026.05.01 22:01:00,73.96000,74.08000,73.94000,74.08000,77,73.92000,74.16000,24.00,0,0
HOOD.us,M1,2026.05.01 22:02:00,74.07000,74.12000,74.06000,74.10000,74,73.92000,74.16000,24.00,0,0
HOOD.us,M1,2026.05.01 22:03:00,74.08000,74.13000,74.06000,74.09000,74,73.92000,74.16000,24.00,0,0
HOOD.us,M1,2026.05.01 22:04:00,74.10000,74.13000,74.03000,74.10000,81,73.92000,74.16000,24.00,0,0
HOOD.us,M1,2026.05.01 22:05:00,74.08000,74.23000,74.08000,74.21000,65,73.92000,74.16000,24.00,0,0
HOOD.us,M1,2026.05.01 22:06:00,74.23000,74.26000,74.20000,74.26000,67,73.92000,74.16000,24.00,0,0
HOOD.us,M1,2026.05.01 22:07:00,74.25000,74.31000,74.22000,74.30000,77,73.92000,74.16000,24.00,0,0
HOOD.us,M1,2026.05.01 22:08:00,74.30000,74.31000,74.22000,74.22000,66,73.92000,74.16000,24.00,0,0
HOOD.us,M1,2026.05.01 22:09:00,74.22000,74.24000,74.15000,74.24000,59,73.92000,74.16000,24.00,0,0
HOOD.us,M1,2026.05.01 22:10:00,74.24000,74.24000,74.15000,74.18000,77,73.92000,74.16000,24.00,0,0
HOOD.us,M1,2026.05.01 22:11:00,74.18000,74.24000,74.16000,74.20000,53,73.92000,74.16000,24.00,0,0
HOOD.us,M1,2026.05.01 22:12:00,74.21000,74.21000,74.15000,74.17000,57,73.92000,74.16000,24.00,0,0
HOOD.us,M1,2026.05.01 22:13:00,74.16000,74.28000,74.15000,74.27000,66,73.92000,74.16000,24.00,0,0
HOOD.us,M1,2026.05.01 22:14:00,74.27000,74.30000,74.23000,74.28000,45,73.92000,74.16000,24.00,0,0
HOOD.us,M1,2026.05.01 22:15:00,74.28000,74.37000,74.27000,74.35000,69,73.92000,74.16000,24.00,0,0
HOOD.us,M1,2026.05.01 22:16:00,74.34000,74.36000,74.19000,74.22000,73,73.92000,74.16000,24.00,0,0
HOOD.us,M1,2026.05.01 22:17:00,74.21000,74.29000,74.21000,74.23000,57,73.92000,74.16000,24.00,0,0
HOOD.us,M1,2026.05.01 22:18:00,74.24000,74.30000,74.22000,74.24000,55,73.92000,74.16000,24.00,0,0
HOOD.us,M1,2026.05.01 22:19:00,74.26000,74.30000,74.22000,74.25000,52,73.92000,74.16000,24.00,0,0
HOOD.us,M1,2026.05.01 22:20:00,74.26000,74.26000,74.21000,74.25000,40,73.92000,74.16000,24.00,0,0
HOOD.us,M1,2026.05.01 22:21:00,74.24000,74.30000,74.23000,74.27000,48,73.92000,74.16000,24.00,0,0
HOOD.us,M1,2026.05.01 22:22:00,74.26000,74.28000,74.21000,74.23000,31,73.92000,74.16000,24.00,0,0
HOOD.us,M1,2026.05.01 22:23:00,74.24000,74.33000,74.23000,74.30000,54,73.92000,74.16000,24.00,0,0
HOOD.us,M1,2026.05.01 22:24:00,74.30000,74.31000,74.21000,74.21000,46,73.92000,74.16000,24.00,0,0
HOOD.us,M1,2026.05.01 22:25:00,74.20000,74.27000,74.18000,74.25000,55,73.92000,74.16000,24.00,0,0
HOOD.us,M1,2026.05.01 22:26:00,74.23000,74.26000,74.22000,74.24000,42,73.92000,74.16000,24.00,0,0
HOOD.us,M1,2026.05.01 22:27:00,74.23000,74.28000,74.20000,74.24000,45,73.92000,74.16000,24.00,0,0
HOOD.us,M1,2026.05.01 22:28:00,74.26000,74.28000,74.18000,74.18000,45,73.92000,74.16000,24.00,0,0
