symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
JPN225,M5,2026.05.01 21:50:00,59422.22000,59432.23000,59399.72000,59414.73000,87,59457.22000,59467.22000,1000.00,0,0
JPN225,M5,2026.05.01 21:55:00,59417.21000,59439.73000,59414.73000,59417.21000,84,59457.22000,59467.22000,1000.00,0,0
JPN225,M5,2026.05.01 22:00:00,59419.73000,59427.22000,59392.22000,59412.21000,104,59457.22000,59467.22000,1000.00,0,0
JPN225,M5,2026.05.01 22:05:00,59414.73000,59469.73000,59414.73000,59469.73000,74,59457.22000,59467.22000,1000.00,0,0
JPN225,M5,2026.05.01 22:10:00,59467.21000,59494.72000,59457.21000,59492.21000,66,59457.22000,59467.22000,1000.00,0,0
JPN225,M5,2026.05.01 22:15:00,59489.71000,59529.73000,59489.71000,59524.71000,79,59457.22000,59467.22000,1000.00,0,0
JPN225,M5,2026.05.01 22:20:00,59522.23000,59549.73000,59522.23000,59534.73000,50,59457.22000,59467.22000,1000.00,0,0
JPN225,M5,2026.05.01 22:25:00,59537.22000,59562.21000,59532.21000,59547.21000,64,59457.22000,59467.22000,1000.00,0,0
JPN225,M5,2026.05.01 22:30:00,59549.73000,59554.73000,59494.71000,59502.22000,84,59457.22000,59467.22000,1000.00,0,0
JPN225,M5,2026.05.01 22:35:00,59502.21000,59507.23000,59467.21000,59479.71000,111,59457.22000,59467.22000,1000.00,0,0
JPN225,M5,2026.05.01 22:40:00,59477.22000,59514.71000,59472.21000,59484.71000,79,59457.22000,59467.22000,1000.00,0,0
JPN225,M5,2026.05.01 22:45:00,59482.21000,59499.72000,59467.23000,59489.71000,52,59457.22000,59467.22000,1000.00,0,0
JPN225,M5,2026.05.01 22:50:00,59497.21000,59499.72000,59454.71000,59457.22000,49,59457.22000,59467.22000,1000.00,0,0
