symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
KGC.ext,M1,2026.05.01 21:11:00,29.51000,29.53000,29.50000,29.50000,31,29.50000,29.63000,13.00,0,0
KGC.ext,M1,2026.05.01 21:12:00,29.53000,29.53000,29.48000,29.48000,25,29.50000,29.63000,13.00,0,0
KGC.ext,M1,2026.05.01 21:13:00,29.51000,29.52000,29.47000,29.49000,39,29.50000,29.63000,13.00,0,0
KGC.ext,M1,2026.05.01 21:14:00,29.48000,29.51000,29.46000,29.47000,39,29.50000,29.63000,13.00,0,0
KGC.ext,M1,2026.05.01 21:15:00,29.47000,29.48000,29.42000,29.42000,30,29.50000,29.63000,13.00,0,0
KGC.ext,M1,2026.05.01 21:16:00,29.43000,29.44000,29.40000,29.42000,36,29.50000,29.63000,13.00,0,0
KGC.ext,M1,2026.05.01 21:17:00,29.41000,29.45000,29.41000,29.44000,29,29.50000,29.63000,13.00,0,0
KGC.ext,M1,2026.05.01 21:18:00,29.44000,29.47000,29.42000,29.44000,28,29.50000,29.63000,13.00,0,0
KGC.ext,M1,2026.05.01 21:19:00,29.45000,29.47000,29.42000,29.45000,35,29.50000,29.63000,13.00,0,0
KGC.ext,M1,2026.05.01 21:20:00,29.44000,29.48000,29.44000,29.46000,23,29.50000,29.63000,13.00,0,0
KGC.ext,M1,2026.05.01 21:21:00,29.47000,29.47000,29.44000,29.44000,22,29.50000,29.63000,13.00,0,0
KGC.ext,M1,2026.05.01 21:22:00,29.47000,29.48000,29.44000,29.45000,28,29.50000,29.63000,13.00,0,0
KGC.ext,M1,2026.05.01 21:23:00,29.45000,29.46000,29.40000,29.41000,49,29.50000,29.63000,13.00,0,0
KGC.ext,M1,2026.05.01 21:24:00,29.42000,29.50000,29.40000,29.49000,39,29.50000,29.63000,13.00,0,0
KGC.ext,M1,2026.05.01 21:25:00,29.48000,29.50000,29.45000,29.50000,27,29.50000,29.63000,13.00,0,0
KGC.ext,M1,2026.05.01 21:26:00,29.49000,29.51000,29.46000,29.48000,36,29.50000,29.63000,13.00,0,0
KGC.ext,M1,2026.05.01 21:27:00,29.46000,29.48000,29.43000,29.45000,23,29.50000,29.63000,13.00,0,0
KGC.ext,M1,2026.05.01 21:28:00,29.44000,29.48000,29.44000,29.47000,15,29.50000,29.63000,13.00,0,0
KGC.ext,M1,2026.05.01 21:29:00,29.46000,29.48000,29.42000,29.48000,24,29.50000,29.63000,13.00,0,0
