symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
MAG7.24h,M5,2026.05.01 14:35:00,2513.85000,2514.41000,2513.31000,2514.00000,398,2530.75000,2531.75000,100.00,0,0
MAG7.24h,M5,2026.05.01 14:40:00,2513.98000,2514.59000,2512.39000,2514.51000,262,2530.75000,2531.75000,100.00,0,0
MAG7.24h,M5,2026.05.01 14:45:00,2514.50000,2516.37000,2514.38000,2516.27000,422,2530.75000,2531.75000,100.00,0,0
MAG7.24h,M5,2026.05.01 14:50:00,2516.29000,2516.97000,2515.09000,2515.11000,429,2530.75000,2531.75000,100.00,0,0
MAG7.24h,M5,2026.05.01 14:55:00,2515.21000,2516.06000,2514.96000,2515.71000,407,2530.75000,2531.75000,100.00,0,0
MAG7.24h,M5,2026.05.01 15:00:00,2516.16000,2517.08000,2515.71000,2517.02000,452,2530.75000,2531.75000,100.00,0,0
MAG7.24h,M5,2026.05.01 15:05:00,2517.09000,2517.87000,2515.38000,2515.83000,451,2530.75000,2531.75000,100.00,0,0
MAG7.24h,M5,2026.05.01 15:10:00,2515.80000,2521.58000,2515.29000,2520.81000,548,2530.75000,2531.75000,100.00,0,0
MAG7.24h,M5,2026.05.01 15:15:00,2520.79000,2521.44000,2518.21000,2520.05000,635,2530.75000,2531.75000,100.00,0,0
MAG7.24h,M5,2026.05.01 15:20:00,2520.04000,2521.17000,2518.00000,2520.36000,542,2530.75000,2531.75000,100.00,0,0
MAG7.24h,M5,2026.05.01 15:25:00,2520.34000,2520.98000,2519.47000,2520.27000,458,2530.75000,2531.75000,100.00,0,0
MAG7.24h,M5,2026.05.01 15:30:00,2520.14000,2520.42000,2518.74000,2519.07000,522,2530.75000,2531.75000,100.00,0,0
MAG7.24h,M5,2026.05.01 15:35:00,2519.09000,2520.87000,2519.09000,2520.58000,499,2530.75000,2531.75000,100.00,0,0
MAG7.24h,M5,2026.05.01 15:40:00,2520.56000,2521.06000,2517.81000,2517.93000,620,2530.75000,2531.75000,100.00,0,0
MAG7.24h,M5,2026.05.01 15:45:00,2517.96000,2519.17000,2517.06000,2517.88000,460,2530.75000,2531.75000,100.00,0,0
MAG7.24h,M5,2026.05.01 15:50:00,2517.86000,2518.92000,2517.64000,2518.55000,383,2530.75000,2531.75000,100.00,0,0
