symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
MRNA.us,M5,2026.05.01 21:50:00,44.23000,44.33000,43.98000,44.01000,92,45.23000,45.40000,17.00,0,0
MRNA.us,M5,2026.05.01 21:55:00,44.01000,44.16000,43.98000,43.98000,96,45.23000,45.40000,17.00,0,0
MRNA.us,M5,2026.05.01 22:00:00,44.00000,44.14000,43.98000,44.01000,55,45.23000,45.40000,17.00,0,0
MRNA.us,M5,2026.05.01 22:05:00,44.04000,44.15000,44.02000,44.04000,46,45.23000,45.40000,17.00,0,0
MRNA.us,M5,2026.05.01 22:10:00,44.06000,44.06000,43.73000,43.74000,71,45.23000,45.40000,17.00,0,0
MRNA.us,M5,2026.05.01 22:15:00,43.74000,43.82000,43.59000,43.73000,104,45.23000,45.40000,17.00,0,0
MRNA.us,M5,2026.05.01 22:20:00,43.77000,44.11000,43.74000,44.00000,98,45.23000,45.40000,17.00,0,0
MRNA.us,M5,2026.05.01 22:25:00,44.03000,44.21000,43.93000,44.13000,101,45.23000,45.40000,17.00,0,0
MRNA.us,M5,2026.05.01 22:30:00,44.18000,44.44000,44.16000,44.39000,132,45.23000,45.40000,17.00,0,0
MRNA.us,M5,2026.05.01 22:35:00,44.40000,44.72000,44.22000,44.67000,121,45.23000,45.40000,17.00,0,0
MRNA.us,M5,2026.05.01 22:40:00,44.69000,44.80000,44.43000,44.55000,106,45.23000,45.40000,17.00,0,0
MRNA.us,M5,2026.05.01 22:45:00,44.56000,45.30000,44.47000,45.29000,163,45.23000,45.40000,17.00,0,0
MRNA.us,M5,2026.05.01 22:50:00,45.12000,45.23000,45.10000,45.20000,28,45.23000,45.40000,17.00,0,0
