symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
NFLX.us,M1,2026.05.01 21:54:00,92.13000,92.15000,92.10000,92.14000,41,92.01000,92.14000,13.00,0,0
NFLX.us,M1,2026.05.01 21:55:00,92.12000,92.15000,92.08000,92.10000,51,92.01000,92.14000,13.00,0,0
NFLX.us,M1,2026.05.01 21:56:00,92.10000,92.13000,92.04000,92.08000,57,92.01000,92.14000,13.00,0,0
NFLX.us,M1,2026.05.01 21:57:00,92.06000,92.09000,92.03000,92.04000,26,92.01000,92.14000,13.00,0,0
NFLX.us,M1,2026.05.01 21:58:00,92.03000,92.10000,92.03000,92.05000,60,92.01000,92.14000,13.00,0,0
NFLX.us,M1,2026.05.01 21:59:00,92.05000,92.14000,92.03000,92.11000,60,92.01000,92.14000,13.00,0,0
NFLX.us,M1,2026.05.01 22:00:00,92.12000,92.15000,92.06000,92.06000,55,92.01000,92.14000,13.00,0,0
NFLX.us,M1,2026.05.01 22:01:00,92.07000,92.13000,92.06000,92.10000,50,92.01000,92.14000,13.00,0,0
NFLX.us,M1,2026.05.01 22:02:00,92.12000,92.12000,92.08000,92.10000,52,92.01000,92.14000,13.00,0,0
NFLX.us,M1,2026.05.01 22:03:00,92.10000,92.12000,92.04000,92.07000,37,92.01000,92.14000,13.00,0,0
NFLX.us,M1,2026.05.01 22:04:00,92.05000,92.06000,92.01000,92.01000,56,92.01000,92.14000,13.00,0,0
NFLX.us,M1,2026.05.01 22:05:00,92.00000,92.04000,92.00000,92.02000,35,92.01000,92.14000,13.00,0,0
NFLX.us,M1,2026.05.01 22:06:00,92.04000,92.05000,91.99000,92.03000,29,92.01000,92.14000,13.00,0,0
NFLX.us,M1,2026.05.01 22:07:00,92.02000,92.08000,92.02000,92.07000,43,92.01000,92.14000,13.00,0,0
NFLX.us,M1,2026.05.01 22:08:00,92.05000,92.12000,92.04000,92.10000,40,92.01000,92.14000,13.00,0,0
NFLX.us,M1,2026.05.01 22:09:00,92.11000,92.15000,92.09000,92.15000,49,92.01000,92.14000,13.00,0,0
