symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
NGAS,H4,2026.04.09 09:00:00,2.71660,2.72660,2.70940,2.71990,1646,2.78400,2.79600,120.00,0,0
NGAS,H4,2026.04.09 13:00:00,2.72050,2.73160,2.69660,2.70600,3791,2.78400,2.79600,120.00,0,0
NGAS,H4,2026.04.09 17:00:00,2.70650,2.71590,2.64840,2.65660,5326,2.78400,2.79600,120.00,0,0
NGAS,H4,2026.04.09 21:00:00,2.65710,2.68540,2.65550,2.66800,2537,2.78400,2.79600,120.00,0,0
NGAS,H4,2026.04.10 01:00:00,2.66540,2.67290,2.66440,2.67250,1163,2.78400,2.79600,120.00,0,0
NGAS,H4,2026.04.10 05:00:00,2.67190,2.67560,2.65300,2.65910,1304,2.78400,2.79600,120.00,0,0
NGAS,H4,2026.04.10 09:00:00,2.66050,2.68340,2.65900,2.66740,2936,2.78400,2.79600,120.00,0,0
NGAS,H4,2026.04.10 13:00:00,2.66810,2.67810,2.62210,2.64260,4637,2.78400,2.79600,120.00,0,0
NGAS,H4,2026.04.10 17:00:00,2.64210,2.68100,2.63810,2.64250,4367,2.78400,2.79600,120.00,0,0
NGAS,H4,2026.04.10 21:00:00,2.64350,2.65060,2.62940,2.64860,1870,2.78400,2.79600,120.00,0,0
NGAS,H4,2026.04.13 01:00:00,2.68890,2.70960,2.66600,2.67510,1866,2.78400,2.79600,120.00,0,0
NGAS,H4,2026.04.13 05:00:00,2.67450,2.67560,2.65660,2.66740,1328,2.78400,2.79600,120.00,0,0
NGAS,H4,2026.04.13 09:00:00,2.66760,2.68060,2.65560,2.68000,1779,2.78400,2.79600,120.00,0,0
NGAS,H4,2026.04.13 13:00:00,2.67990,2.71610,2.65690,2.66290,4045,2.78400,2.79600,120.00,0,0
NGAS,H4,2026.04.13 17:00:00,2.66410,2.67350,2.60990,2.62510,5791,2.78400,2.79600,120.00,0,0
NGAS,H4,2026.04.13 21:00:00,2.62550,2.62810,2.61310,2.62310,2004,2.78400,2.79600,120.00,0,0
NGAS,H4,2026.04.14 01:00:00,2.62210,2.62460,2.60350,2.61290,1261,2.78400,2.79600,120.00,0,0
NGAS,H4,2026.04.14 05:00:00,2.61300,2.61410,2.59340,2.60040,996,2.78400,2.79600,120.00,0,0
NGAS,H4,2026.04.14 09:00:00,2.60050,2.60460,2.57990,2.59850,2108,2.78400,2.79600,120.00,0,0
NGAS,H4,2026.04.14 13:00:00,2.59790,2.65310,2.57190,2.60810,4153,2.78400,2.79600,120.00,0,0
NGAS,H4,2026.04.14 17:00:00,2.60710,2.62360,2.55490,2.58750,4767,2.78400,2.79600,120.00,0,0
NGAS,H4,2026.04.14 21:00:00,2.58810,2.60610,2.58340,2.58790,1742,2.78400,2.79600,120.00,0,0
NGAS,H4,2026.04.15 01:00:00,2.60010,2.60040,2.57600,2.58650,946,2.78400,2.79600,120.00,0,0
NGAS,H4,2026.04.15 05:00:00,2.58660,2.59660,2.58250,2.59310,808,2.78400,2.79600,120.00,0,0
NGAS,H4,2026.04.15 09:00:00,2.59240,2.59510,2.58140,2.58710,1640,2.78400,2.79600,120.00,0,0
NGAS,H4,2026.04.15 13:00:00,2.58660,2.61790,2.56490,2.59240,4050,2.78400,2.79600,120.00,0,0
NGAS,H4,2026.04.15 17:00:00,2.59350,2.61890,2.57860,2.60350,3708,2.78400,2.79600,120.00,0,0
NGAS,H4,2026.04.15 21:00:00,2.60290,2.61750,2.59040,2.61000,1713,2.78400,2.79600,120.00,0,0
NGAS,H4,2026.04.16 01:00:00,2.61140,2.61140,2.58200,2.58640,603,2.78400,2.79600,120.00,0,0
NGAS,H4,2026.04.16 05:00:00,2.58700,2.59050,2.58190,2.58460,745,2.78400,2.79600,120.00,0,0
NGAS,H4,2026.04.16 09:00:00,2.58440,2.62740,2.58240,2.60700,1597,2.78400,2.79600,120.00,0,0
NGAS,H4,2026.04.16 13:00:00,2.60800,2.64160,2.59340,2.63810,3550,2.78400,2.79600,120.00,0,0
NGAS,H4,2026.04.16 17:00:00,2.63910,2.65760,2.62160,2.63200,3592,2.78400,2.79600,120.00,0,0
NGAS,H4,2026.04.16 21:00:00,2.63160,2.67150,2.62840,2.66900,1914,2.78400,2.79600,120.00,0,0
