symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
NGAS,M1,2026.05.01 21:11:00,2.77350,2.77660,2.77290,2.77650,23,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:12:00,2.77610,2.77960,2.77540,2.77540,21,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:13:00,2.77710,2.77760,2.77540,2.77650,28,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:14:00,2.77610,2.77610,2.77340,2.77400,17,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:15:00,2.77340,2.77340,2.77140,2.77260,17,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:16:00,2.77190,2.77360,2.77040,2.77250,11,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:17:00,2.77160,2.77460,2.77160,2.77340,11,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:18:00,2.77350,2.77460,2.77340,2.77360,12,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:19:00,2.77350,2.77390,2.77140,2.77240,22,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:20:00,2.77200,2.77350,2.77140,2.77340,11,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:21:00,2.77360,2.77400,2.77360,2.77360,3,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:22:00,2.77290,2.77490,2.77290,2.77460,8,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:23:00,2.77450,2.77560,2.77340,2.77340,10,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:24:00,2.77360,2.77360,2.77260,2.77310,4,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:25:00,2.77250,2.77360,2.77200,2.77240,23,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:26:00,2.77300,2.77810,2.77300,2.77440,25,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:27:00,2.77450,2.77460,2.77290,2.77360,18,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:28:00,2.77260,2.77350,2.77140,2.77350,39,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:29:00,2.77390,2.77760,2.77390,2.77610,47,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:30:00,2.77490,2.77910,2.77460,2.77840,29,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:31:00,2.77850,2.77910,2.77660,2.77850,40,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:32:00,2.77890,2.78000,2.77840,2.77860,16,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:33:00,2.77790,2.77850,2.77760,2.77850,4,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:34:00,2.77790,2.77790,2.77590,2.77740,8,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:35:00,2.77750,2.77960,2.77740,2.77750,21,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:36:00,2.77710,2.77850,2.77710,2.77790,13,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:37:00,2.77760,2.77760,2.77640,2.77750,10,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:38:00,2.77710,2.77760,2.77640,2.77650,7,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:39:00,2.77700,2.77760,2.77600,2.77760,13,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:40:00,2.77690,2.77760,2.77690,2.77760,4,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:41:00,2.77740,2.77760,2.77640,2.77740,16,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:42:00,2.77750,2.77860,2.77740,2.77860,7,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:43:00,2.77850,2.77890,2.77800,2.77860,10,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:44:00,2.77790,2.77860,2.77740,2.77850,16,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:45:00,2.77800,2.77860,2.77740,2.77860,13,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:46:00,2.77850,2.77950,2.77840,2.77860,11,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:47:00,2.77960,2.77960,2.77850,2.77860,8,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:48:00,2.77790,2.77960,2.77760,2.77960,11,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:49:00,2.77950,2.78060,2.77950,2.78040,5,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:50:00,2.78060,2.78060,2.78040,2.78040,2,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:51:00,2.78010,2.78060,2.77940,2.78060,9,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:52:00,2.78040,2.78060,2.77990,2.77990,4,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:53:00,2.78040,2.78060,2.77950,2.78000,6,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:54:00,2.77940,2.77950,2.77940,2.77940,3,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:55:00,2.77890,2.77900,2.77840,2.77890,8,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:56:00,2.77850,2.78010,2.77840,2.77940,14,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:57:00,2.77960,2.77960,2.77950,2.77960,3,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:58:00,2.77940,2.77950,2.77940,2.77940,3,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 21:59:00,2.77990,2.78010,2.77840,2.77950,16,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 22:00:00,2.78010,2.78100,2.77940,2.78010,12,2.78400,2.79600,120.00,0,0
NGAS,M1,2026.05.01 22:01:00,2.77990,2.78010,2.77750,2.77750,10,2.78400,2.79600,120.00,0,0
