symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
NU.ext,M30,2026.04.29 20:30:00,14.05000,14.11000,14.05000,14.10000,115,14.42000,14.55000,13.00,0,0
NU.ext,M30,2026.04.29 21:00:00,14.09000,14.09000,14.00000,14.03000,262,14.42000,14.55000,13.00,0,0
NU.ext,M30,2026.04.29 21:30:00,14.05000,14.08000,13.99000,14.08000,235,14.42000,14.55000,13.00,0,0
NU.ext,M30,2026.04.29 22:00:00,14.06000,14.10000,14.01000,14.05000,210,14.42000,14.55000,13.00,0,0
NU.ext,M30,2026.04.29 22:30:00,14.04000,14.04000,13.97000,13.97000,189,14.42000,14.55000,13.00,0,0
NU.ext,M30,2026.04.29 23:00:00,13.97000,14.04000,13.97000,14.01000,26,14.42000,14.55000,13.00,0,0
NU.ext,M30,2026.04.29 23:30:00,14.00000,14.05000,14.00000,14.05000,17,14.42000,14.55000,13.00,0,0
NU.ext,M30,2026.04.30 00:00:00,14.00000,14.03000,13.97000,14.02000,17,14.42000,14.55000,13.00,0,0
NU.ext,M30,2026.04.30 00:30:00,14.00000,14.02000,14.00000,14.02000,10,14.42000,14.55000,13.00,0,0
NU.ext,M30,2026.04.30 01:00:00,14.00000,14.02000,14.00000,14.02000,6,14.42000,14.55000,13.00,0,0
NU.ext,M30,2026.04.30 01:30:00,14.03000,14.04000,14.01000,14.02000,9,14.42000,14.55000,13.00,0,0
NU.ext,M30,2026.04.30 02:00:00,14.03000,14.03000,14.01000,14.02000,15,14.42000,14.55000,13.00,0,0
NU.ext,M30,2026.04.30 02:30:00,14.01000,14.01000,13.99000,13.99000,4,14.42000,14.55000,13.00,0,0
NU.ext,M30,2026.04.30 03:00:00,13.75000,14.04000,13.74000,14.02000,35,14.42000,14.55000,13.00,0,0
NU.ext,M30,2026.04.30 03:30:00,14.03000,14.06000,13.97000,14.03000,28,14.42000,14.55000,13.00,0,0
NU.ext,M30,2026.04.30 04:00:00,14.02000,14.05000,14.00000,14.03000,17,14.42000,14.55000,13.00,0,0
NU.ext,M30,2026.04.30 04:30:00,14.02000,14.06000,14.02000,14.04000,18,14.42000,14.55000,13.00,0,0
NU.ext,M30,2026.04.30 05:00:00,14.03000,14.06000,14.03000,14.05000,17,14.42000,14.55000,13.00,0,0
NU.ext,M30,2026.04.30 05:30:00,14.04000,14.06000,14.03000,14.03000,18,14.42000,14.55000,13.00,0,0
NU.ext,M30,2026.04.30 06:00:00,14.04000,14.08000,14.03000,14.06000,21,14.42000,14.55000,13.00,0,0
NU.ext,M30,2026.04.30 06:30:00,14.07000,14.09000,14.05000,14.05000,20,14.42000,14.55000,13.00,0,0
NU.ext,M30,2026.04.30 07:00:00,14.07000,14.09000,13.96000,14.04000,24,14.42000,14.55000,13.00,0,0
NU.ext,M30,2026.04.30 07:30:00,14.04000,14.05000,13.96000,14.00000,27,14.42000,14.55000,13.00,0,0
NU.ext,M30,2026.04.30 08:00:00,14.03000,14.03000,13.99000,13.99000,17,14.42000,14.55000,13.00,0,0
NU.ext,M30,2026.04.30 08:30:00,13.98000,14.02000,13.98000,14.01000,17,14.42000,14.55000,13.00,0,0
NU.ext,M30,2026.04.30 09:00:00,13.99000,14.00000,13.95000,13.98000,13,14.42000,14.55000,13.00,0,0
NU.ext,M30,2026.04.30 09:30:00,13.97000,13.99000,13.96000,13.97000,18,14.42000,14.55000,13.00,0,0
NU.ext,M30,2026.04.30 10:00:00,13.98000,14.01000,13.97000,14.01000,13,14.42000,14.55000,13.00,0,0
NU.ext,M30,2026.04.30 10:30:00,14.00000,14.02000,13.99000,13.99000,7,14.42000,14.55000,13.00,0,0
NU.ext,M30,2026.04.30 11:00:00,13.94000,14.04000,13.94000,13.98000,15,14.42000,14.55000,13.00,0,0
NU.ext,M30,2026.04.30 11:30:00,14.00000,14.00000,13.99000,13.99000,2,14.42000,14.55000,13.00,0,0
NU.ext,M30,2026.04.30 12:00:00,14.01000,14.02000,13.99000,14.02000,11,14.42000,14.55000,13.00,0,0
NU.ext,M30,2026.04.30 12:30:00,14.01000,14.02000,14.01000,14.01000,6,14.42000,14.55000,13.00,0,0
NU.ext,M30,2026.04.30 13:00:00,14.02000,14.02000,14.00000,14.02000,5,14.42000,14.55000,13.00,0,0
