symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
NZDCAD,H4,2026.04.09 08:00:00,0.80747,0.80862,0.80695,0.80697,15401,0.80140,0.80194,54.00,0,0
NZDCAD,H4,2026.04.09 12:00:00,0.80697,0.80802,0.80632,0.80707,14002,0.80140,0.80194,54.00,0,0
NZDCAD,H4,2026.04.09 16:00:00,0.80708,0.81094,0.80678,0.81027,24613,0.80140,0.80194,54.00,0,0
NZDCAD,H4,2026.04.09 20:00:00,0.81029,0.81116,0.80849,0.80885,12911,0.80140,0.80194,54.00,0,0
NZDCAD,H4,2026.04.10 00:00:00,0.80918,0.80952,0.80793,0.80842,6065,0.80140,0.80194,54.00,0,0
NZDCAD,H4,2026.04.10 04:00:00,0.80842,0.80886,0.80781,0.80800,9537,0.80140,0.80194,54.00,0,0
NZDCAD,H4,2026.04.10 08:00:00,0.80801,0.80865,0.80707,0.80711,11750,0.80140,0.80194,54.00,0,0
NZDCAD,H4,2026.04.10 12:00:00,0.80712,0.80904,0.80712,0.80841,14310,0.80140,0.80194,54.00,0,0
NZDCAD,H4,2026.04.10 16:00:00,0.80842,0.80973,0.80683,0.80740,20206,0.80140,0.80194,54.00,0,0
NZDCAD,H4,2026.04.10 20:00:00,0.80739,0.80849,0.80703,0.80800,10341,0.80140,0.80194,54.00,0,0
NZDCAD,H4,2026.04.13 00:00:00,0.80363,0.80626,0.80317,0.80624,8647,0.80140,0.80194,54.00,0,0
NZDCAD,H4,2026.04.13 04:00:00,0.80623,0.80738,0.80607,0.80703,11099,0.80140,0.80194,54.00,0,0
NZDCAD,H4,2026.04.13 08:00:00,0.80704,0.80848,0.80668,0.80679,14327,0.80140,0.80194,54.00,0,0
NZDCAD,H4,2026.04.13 12:00:00,0.80678,0.80724,0.80511,0.80623,13503,0.80140,0.80194,54.00,0,0
NZDCAD,H4,2026.04.13 16:00:00,0.80625,0.80844,0.80561,0.80792,23273,0.80140,0.80194,54.00,0,0
NZDCAD,H4,2026.04.13 20:00:00,0.80791,0.80971,0.80789,0.80874,9750,0.80140,0.80194,54.00,0,0
NZDCAD,H4,2026.04.14 00:00:00,0.80732,0.80939,0.80732,0.80843,5581,0.80140,0.80194,54.00,0,0
NZDCAD,H4,2026.04.14 04:00:00,0.80842,0.80909,0.80737,0.80906,7749,0.80140,0.80194,54.00,0,0
NZDCAD,H4,2026.04.14 08:00:00,0.80907,0.81126,0.80869,0.81076,14665,0.80140,0.80194,54.00,0,0
NZDCAD,H4,2026.04.14 12:00:00,0.81077,0.81180,0.81031,0.81162,14599,0.80140,0.80194,54.00,0,0
NZDCAD,H4,2026.04.14 16:00:00,0.81163,0.81337,0.81109,0.81242,18565,0.80140,0.80194,54.00,0,0
NZDCAD,H4,2026.04.14 20:00:00,0.81243,0.81306,0.81167,0.81167,8093,0.80140,0.80194,54.00,0,0
NZDCAD,H4,2026.04.15 00:00:00,0.81140,0.81282,0.81127,0.81212,6081,0.80140,0.80194,54.00,0,0
NZDCAD,H4,2026.04.15 04:00:00,0.81215,0.81290,0.81169,0.81257,9032,0.80140,0.80194,54.00,0,0
NZDCAD,H4,2026.04.15 08:00:00,0.81259,0.81335,0.81194,0.81276,13188,0.80140,0.80194,54.00,0,0
NZDCAD,H4,2026.04.15 12:00:00,0.81276,0.81325,0.81156,0.81190,16637,0.80140,0.80194,54.00,0,0
NZDCAD,H4,2026.04.15 16:00:00,0.81191,0.81231,0.81097,0.81174,20077,0.80140,0.80194,54.00,0,0
NZDCAD,H4,2026.04.15 20:00:00,0.81173,0.81232,0.81091,0.81178,9751,0.80140,0.80194,54.00,0,0
NZDCAD,H4,2026.04.16 00:00:00,0.81112,0.81224,0.81112,0.81137,6000,0.80140,0.80194,54.00,0,0
NZDCAD,H4,2026.04.16 04:00:00,0.81137,0.81202,0.81050,0.81098,10601,0.80140,0.80194,54.00,0,0
NZDCAD,H4,2026.04.16 08:00:00,0.81098,0.81146,0.80881,0.80890,14213,0.80140,0.80194,54.00,0,0
NZDCAD,H4,2026.04.16 12:00:00,0.80889,0.80917,0.80790,0.80802,12529,0.80140,0.80194,54.00,0,0
NZDCAD,H4,2026.04.16 16:00:00,0.80803,0.80833,0.80617,0.80628,19694,0.80140,0.80194,54.00,0,0
NZDCAD,H4,2026.04.16 20:00:00,0.80629,0.80690,0.80591,0.80620,9784,0.80140,0.80194,54.00,0,0
NZDCAD,H4,2026.04.17 00:00:00,0.80636,0.80705,0.80577,0.80622,5168,0.80140,0.80194,54.00,0,0
