symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
NZDJPY,H1,2026.04.27 19:00:00,94.25000,94.27900,94.22100,94.24200,3817,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.27 20:00:00,94.24300,94.28000,94.20200,94.23900,4141,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.27 21:00:00,94.24000,94.25500,94.18500,94.20200,3202,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.27 22:00:00,94.20400,94.22400,94.16100,94.16800,1269,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.27 23:00:00,94.16700,94.18900,94.15300,94.16500,513,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.28 00:00:00,94.10300,94.16200,94.02700,94.09900,1869,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.28 01:00:00,94.08800,94.21600,94.08800,94.20600,875,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.28 02:00:00,94.20600,94.25100,94.16600,94.19800,1132,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.28 03:00:00,94.20100,94.28800,94.19200,94.26500,4432,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.28 04:00:00,94.26300,94.27600,94.11200,94.15300,4493,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.28 05:00:00,94.16100,94.16400,94.04000,94.05700,3466,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.28 06:00:00,94.05800,94.06400,93.80200,93.86300,4694,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.28 07:00:00,93.86400,93.86800,93.79900,93.83700,3371,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.28 08:00:00,93.83800,93.85100,93.76600,93.81600,4104,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.28 09:00:00,93.81700,93.86600,93.68400,93.73600,6154,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.28 10:00:00,93.73000,94.01200,93.72900,93.99100,5942,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.28 11:00:00,93.98900,94.03100,93.92900,93.93200,6201,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.28 12:00:00,93.93100,93.96800,93.87700,93.95100,5156,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.28 13:00:00,93.95000,93.96800,93.81800,93.84300,4608,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.28 14:00:00,93.84100,93.86700,93.73800,93.76100,5462,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.28 15:00:00,93.76000,93.76700,93.67600,93.71800,7010,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.28 16:00:00,93.71900,93.82100,93.66300,93.74300,7025,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.28 17:00:00,93.74600,93.86700,93.73200,93.82200,7673,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.28 18:00:00,93.82400,93.93900,93.82200,93.93000,6483,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.28 19:00:00,93.93000,93.94500,93.85800,93.88900,4894,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.28 20:00:00,93.88900,93.93700,93.87600,93.91700,4312,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.28 21:00:00,93.91600,93.94400,93.90100,93.92100,3504,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.28 22:00:00,93.92000,93.93500,93.88900,93.93200,1376,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.28 23:00:00,93.93200,93.93400,93.86700,93.89400,1384,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.29 00:00:00,93.71900,93.94500,93.71900,93.86000,2467,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.29 01:00:00,93.86800,93.93100,93.86300,93.89500,576,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.29 02:00:00,93.89600,93.94500,93.87900,93.92600,588,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.29 03:00:00,93.92600,93.98700,93.91500,93.92700,4245,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.29 04:00:00,93.92700,93.99800,93.77000,93.78100,6333,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.29 05:00:00,93.78200,93.81000,93.52000,93.52900,4649,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.29 06:00:00,93.52900,93.56400,93.45600,93.52500,3471,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.29 07:00:00,93.53000,93.59800,93.52400,93.57800,2128,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.29 08:00:00,93.57700,93.63900,93.53200,93.59900,3314,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.29 09:00:00,93.59900,93.69800,93.56300,93.60100,4654,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.29 10:00:00,93.59900,93.65800,93.56700,93.62900,5403,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.29 11:00:00,93.62900,93.65300,93.57400,93.59500,5919,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.29 12:00:00,93.59700,93.60100,93.51900,93.53600,4813,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.29 13:00:00,93.53500,93.61200,93.52100,93.60900,4034,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.29 14:00:00,93.60900,93.65200,93.59200,93.61100,4185,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.29 15:00:00,93.61300,93.65600,93.58300,93.60100,5539,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.29 16:00:00,93.60200,93.66200,93.43600,93.51700,8118,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.29 17:00:00,93.51500,93.61400,93.37800,93.58800,8407,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.29 18:00:00,93.59000,93.61000,93.42500,93.48900,8065,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.29 19:00:00,93.48800,93.55700,93.47300,93.50900,6237,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.29 20:00:00,93.51000,93.57000,93.46800,93.51000,5744,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.29 21:00:00,93.49600,93.53800,93.27100,93.39300,9165,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.29 22:00:00,93.39000,93.48900,93.30700,93.47400,5243,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.29 23:00:00,93.47400,93.51400,93.44100,93.47600,3424,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.30 00:00:00,93.33200,93.44700,93.33200,93.42600,88,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.30 01:00:00,93.39600,93.52600,93.39500,93.50500,1445,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.30 02:00:00,93.50600,93.54700,93.48500,93.53900,750,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.30 03:00:00,93.53600,93.61500,93.49900,93.57100,5773,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.30 04:00:00,93.57000,93.57300,93.39600,93.44900,5079,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.30 05:00:00,93.45000,93.53800,93.39700,93.52000,5486,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.30 06:00:00,93.51800,93.61200,93.51800,93.60200,3967,92.65900,92.70000,41.00,0,0
NZDJPY,H1,2026.04.30 07:00:00,93.60300,93.60900,93.49900,93.53000,5180,92.65900,92.70000,41.00,0,0
