symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
NZDJPY,M15,2026.04.30 22:00:00,92.37200,92.39900,92.34100,92.35600,1144,92.65900,92.70000,41.00,0,0
NZDJPY,M15,2026.04.30 22:15:00,92.35800,92.42200,92.33800,92.39500,1003,92.65900,92.70000,41.00,0,0
NZDJPY,M15,2026.04.30 22:30:00,92.39500,92.43100,92.38900,92.42800,1275,92.65900,92.70000,41.00,0,0
NZDJPY,M15,2026.04.30 22:45:00,92.42700,92.47000,92.40700,92.44400,1030,92.65900,92.70000,41.00,0,0
NZDJPY,M15,2026.04.30 23:00:00,92.44400,92.49200,92.44200,92.47800,721,92.65900,92.70000,41.00,0,0
NZDJPY,M15,2026.04.30 23:15:00,92.48000,92.48400,92.45500,92.48200,599,92.65900,92.70000,41.00,0,0
NZDJPY,M15,2026.04.30 23:30:00,92.47900,92.51100,92.47400,92.51000,577,92.65900,92.70000,41.00,0,0
NZDJPY,M15,2026.04.30 23:45:00,92.50800,92.53800,92.50200,92.53600,347,92.65900,92.70000,41.00,0,0
NZDJPY,M15,2026.05.01 00:00:00,92.40000,92.43100,92.36700,92.42600,119,92.65900,92.70000,41.00,0,0
NZDJPY,M15,2026.05.01 00:15:00,92.42500,92.45600,92.40100,92.41000,421,92.65900,92.70000,41.00,0,0
NZDJPY,M15,2026.05.01 00:30:00,92.41200,92.45400,92.38500,92.44300,790,92.65900,92.70000,41.00,0,0
NZDJPY,M15,2026.05.01 00:45:00,92.44100,92.49000,92.42300,92.45500,846,92.65900,92.70000,41.00,0,0
NZDJPY,M15,2026.05.01 01:00:00,92.44100,92.53100,92.43600,92.51300,524,92.65900,92.70000,41.00,0,0
NZDJPY,M15,2026.05.01 01:15:00,92.51300,92.51800,92.48300,92.51500,131,92.65900,92.70000,41.00,0,0
NZDJPY,M15,2026.05.01 01:30:00,92.51700,92.56000,92.51700,92.54500,123,92.65900,92.70000,41.00,0,0
NZDJPY,M15,2026.05.01 01:45:00,92.54500,92.54800,92.50300,92.50800,147,92.65900,92.70000,41.00,0,0
NZDJPY,M15,2026.05.01 02:00:00,92.51000,92.59400,92.50500,92.58900,281,92.65900,92.70000,41.00,0,0
