symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
NickelSpot,M5,2026.05.01 12:30:00,19526.50000,19526.75000,19501.50000,19507.25000,10,19293.25000,19495.50000,20225.00,0,0
NickelSpot,M5,2026.05.01 12:35:00,19505.00000,19522.00000,19501.75000,19521.75000,9,19293.25000,19495.50000,20225.00,0,0
NickelSpot,M5,2026.05.01 12:40:00,19522.00000,19526.25000,19514.00000,19517.25000,11,19293.25000,19495.50000,20225.00,0,0
NickelSpot,M5,2026.05.01 12:45:00,19515.00000,19515.00000,19499.75000,19507.25000,12,19293.25000,19495.50000,20225.00,0,0
NickelSpot,M5,2026.05.01 12:50:00,19507.25000,19514.25000,19485.25000,19489.75000,9,19293.25000,19495.50000,20225.00,0,0
NickelSpot,M5,2026.05.01 12:55:00,19494.50000,19497.75000,19475.50000,19477.50000,11,19293.25000,19495.50000,20225.00,0,0
NickelSpot,M5,2026.05.01 13:00:00,19477.25000,19482.00000,19477.25000,19480.00000,6,19293.25000,19495.50000,20225.00,0,0
NickelSpot,M5,2026.05.01 13:05:00,19475.25000,19479.75000,19475.25000,19479.75000,6,19293.25000,19495.50000,20225.00,0,0
NickelSpot,M5,2026.05.01 13:10:00,19484.00000,19484.00000,19479.25000,19482.00000,6,19293.25000,19495.50000,20225.00,0,0
NickelSpot,M5,2026.05.01 13:15:00,19479.75000,19481.75000,19465.25000,19481.75000,11,19293.25000,19495.50000,20225.00,0,0
NickelSpot,M5,2026.05.01 13:20:00,19480.00000,19492.25000,19480.00000,19492.25000,8,19293.25000,19495.50000,20225.00,0,0
NickelSpot,M5,2026.05.01 13:25:00,19496.75000,19509.25000,19490.00000,19502.50000,11,19293.25000,19495.50000,20225.00,0,0
NickelSpot,M5,2026.05.01 13:30:00,19505.00000,19523.00000,19505.00000,19523.00000,6,19293.25000,19495.50000,20225.00,0,0
NickelSpot,M5,2026.05.01 13:35:00,19527.25000,19535.25000,19525.50000,19535.25000,6,19293.25000,19495.50000,20225.00,0,0
NickelSpot,M5,2026.05.01 13:40:00,19530.00000,19532.00000,19530.00000,19530.25000,4,19293.25000,19495.50000,20225.00,0,0
NickelSpot,M5,2026.05.01 13:45:00,19534.25000,19535.00000,19530.25000,19534.75000,5,19293.25000,19495.50000,20225.00,0,0
NickelSpot,M5,2026.05.01 13:50:00,19535.25000,19535.25000,19507.00000,19507.00000,8,19293.25000,19495.50000,20225.00,0,0
NickelSpot,M5,2026.05.01 13:55:00,19509.75000,19509.75000,19482.75000,19487.50000,7,19293.25000,19495.50000,20225.00,0,0
NickelSpot,M5,2026.05.01 14:00:00,19483.00000,19527.25000,19483.00000,19527.25000,16,19293.25000,19495.50000,20225.00,0,0
NickelSpot,M5,2026.05.01 14:05:00,19530.25000,19530.25000,19512.50000,19512.50000,10,19293.25000,19495.50000,20225.00,0,0
NickelSpot,M5,2026.05.01 14:10:00,19510.00000,19514.75000,19500.00000,19504.50000,7,19293.25000,19495.50000,20225.00,0,0
NickelSpot,M5,2026.05.01 14:15:00,19509.50000,19516.75000,19505.00000,19512.00000,12,19293.25000,19495.50000,20225.00,0,0
NickelSpot,M5,2026.05.01 14:20:00,19514.75000,19519.50000,19512.25000,19512.25000,5,19293.25000,19495.50000,20225.00,0,0
NickelSpot,M5,2026.05.01 14:25:00,19509.50000,19519.50000,19505.00000,19514.75000,7,19293.25000,19495.50000,20225.00,0,0
NickelSpot,M5,2026.05.01 14:30:00,19514.50000,19514.50000,19503.00000,19510.25000,11,19293.25000,19495.50000,20225.00,0,0
NickelSpot,M5,2026.05.01 14:35:00,19514.50000,19519.75000,19514.50000,19514.75000,7,19293.25000,19495.50000,20225.00,0,0
NickelSpot,M5,2026.05.01 14:40:00,19516.75000,19527.00000,19505.25000,19522.25000,12,19293.25000,19495.50000,20225.00,0,0
NickelSpot,M5,2026.05.01 14:45:00,19520.00000,19539.25000,19519.75000,19534.50000,15,19293.25000,19495.50000,20225.00,0,0
