symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
PYPL.ext,M5,2026.05.01 21:50:00,50.53000,50.58000,50.52000,50.57000,95,50.43000,50.57000,14.00,0,0
PYPL.ext,M5,2026.05.01 21:55:00,50.55000,50.62000,50.52000,50.53000,123,50.43000,50.57000,14.00,0,0
PYPL.ext,M5,2026.05.01 22:00:00,50.54000,50.61000,50.53000,50.54000,83,50.43000,50.57000,14.00,0,0
PYPL.ext,M5,2026.05.01 22:05:00,50.54000,50.60000,50.52000,50.55000,112,50.43000,50.57000,14.00,0,0
PYPL.ext,M5,2026.05.01 22:10:00,50.56000,50.59000,50.48000,50.59000,112,50.43000,50.57000,14.00,0,0
PYPL.ext,M5,2026.05.01 22:15:00,50.57000,50.63000,50.53000,50.60000,136,50.43000,50.57000,14.00,0,0
PYPL.ext,M5,2026.05.01 22:20:00,50.60000,50.63000,50.57000,50.57000,107,50.43000,50.57000,14.00,0,0
PYPL.ext,M5,2026.05.01 22:25:00,50.58000,50.63000,50.56000,50.59000,101,50.43000,50.57000,14.00,0,0
PYPL.ext,M5,2026.05.01 22:30:00,50.61000,50.61000,50.52000,50.53000,147,50.43000,50.57000,14.00,0,0
PYPL.ext,M5,2026.05.01 22:35:00,50.54000,50.58000,50.47000,50.53000,120,50.43000,50.57000,14.00,0,0
PYPL.ext,M5,2026.05.01 22:40:00,50.54000,50.57000,50.49000,50.55000,75,50.43000,50.57000,14.00,0,0
PYPL.ext,M5,2026.05.01 22:45:00,50.54000,50.55000,50.41000,50.45000,141,50.43000,50.57000,14.00,0,0
PYPL.ext,M5,2026.05.01 22:50:00,50.46000,50.49000,50.42000,50.42000,62,50.43000,50.57000,14.00,0,0
