symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
RKGCNH,H1,2026.04.27 15:00:00,1031.93000,1033.46000,1030.30000,1030.85000,13589,1013.01000,1013.41000,40.00,0,0
RKGCNH,H1,2026.04.27 16:00:00,1030.89000,1031.52000,1028.52000,1030.07000,23542,1013.01000,1013.41000,40.00,0,0
RKGCNH,H1,2026.04.27 17:00:00,1030.04000,1030.30000,1025.92000,1026.22000,24775,1013.01000,1013.41000,40.00,0,0
RKGCNH,H1,2026.04.27 18:00:00,1026.26000,1027.40000,1024.12000,1024.75000,20516,1013.01000,1013.41000,40.00,0,0
RKGCNH,H1,2026.04.27 19:00:00,1024.74000,1026.94000,1024.20000,1026.32000,10784,1013.01000,1013.41000,40.00,0,0
RKGCNH,H1,2026.04.27 20:00:00,1026.33000,1028.38000,1024.65000,1027.51000,12511,1013.01000,1013.41000,40.00,0,0
RKGCNH,H1,2026.04.27 21:00:00,1027.52000,1028.27000,1026.88000,1027.23000,7780,1013.01000,1013.41000,40.00,0,0
RKGCNH,H1,2026.04.27 22:00:00,1027.22000,1027.65000,1026.31000,1027.27000,7048,1013.01000,1013.41000,40.00,0,0
RKGCNH,H1,2026.04.27 23:00:00,1027.26000,1027.40000,1026.49000,1026.78000,1987,1013.01000,1013.41000,40.00,0,0
RKGCNH,H1,2026.04.28 01:00:00,1027.60000,1029.27000,1027.20000,1028.66000,3956,1013.01000,1013.41000,40.00,0,0
RKGCNH,H1,2026.04.28 02:00:00,1028.65000,1030.10000,1028.30000,1029.45000,3367,1013.01000,1013.41000,40.00,0,0
RKGCNH,H1,2026.04.28 03:00:00,1029.46000,1031.35000,1029.14000,1029.16000,8163,1013.01000,1013.41000,40.00,0,0
RKGCNH,H1,2026.04.28 04:00:00,1029.15000,1029.71000,1025.13000,1025.39000,13043,1013.01000,1013.41000,40.00,0,0
RKGCNH,H1,2026.04.28 05:00:00,1025.38000,1027.43000,1024.53000,1025.34000,10685,1013.01000,1013.41000,40.00,0,0
RKGCNH,H1,2026.04.28 06:00:00,1025.33000,1026.38000,1025.08000,1025.49000,6955,1013.01000,1013.41000,40.00,0,0
RKGCNH,H1,2026.04.28 07:00:00,1025.48000,1025.55000,1024.46000,1024.78000,4452,1013.01000,1013.41000,40.00,0,0
