symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
RKGCNH,M30,2026.04.29 19:00:00,1000.36000,1004.14000,1000.24000,1003.28000,10807,1013.01000,1013.41000,40.00,0,0
RKGCNH,M30,2026.04.29 19:30:00,1003.27000,1003.27000,999.67000,1000.11000,9540,1013.01000,1013.41000,40.00,0,0
RKGCNH,M30,2026.04.29 20:00:00,1000.12000,1002.22000,999.69000,1000.64000,9302,1013.01000,1013.41000,40.00,0,0
RKGCNH,M30,2026.04.29 20:30:00,1000.65000,1000.86000,999.31000,1000.61000,8176,1013.01000,1013.41000,40.00,0,0
RKGCNH,M30,2026.04.29 21:00:00,1000.26000,1001.67000,995.99000,997.66000,15433,1013.01000,1013.41000,40.00,0,0
RKGCNH,M30,2026.04.29 21:30:00,997.67000,999.70000,994.72000,999.03000,17170,1013.01000,1013.41000,40.00,0,0
RKGCNH,M30,2026.04.29 22:00:00,999.04000,1001.64000,998.00000,1000.04000,10740,1013.01000,1013.41000,40.00,0,0
RKGCNH,M30,2026.04.29 22:30:00,999.97000,1001.60000,998.98000,1000.98000,11047,1013.01000,1013.41000,40.00,0,0
RKGCNH,M30,2026.04.29 23:00:00,1001.01000,1002.42000,999.80000,1000.14000,10504,1013.01000,1013.41000,40.00,0,0
RKGCNH,M30,2026.04.29 23:30:00,1000.15000,1000.81000,999.68000,1000.09000,4080,1013.01000,1013.41000,40.00,0,0
RKGCNH,M30,2026.04.30 01:00:00,999.33000,1001.44000,998.66000,1001.02000,3123,1013.01000,1013.41000,40.00,0,0
RKGCNH,M30,2026.04.30 01:30:00,1001.01000,1002.00000,1000.80000,1001.85000,2187,1013.01000,1013.41000,40.00,0,0
RKGCNH,M30,2026.04.30 02:00:00,1001.87000,1002.63000,1001.43000,1001.82000,2067,1013.01000,1013.41000,40.00,0,0
RKGCNH,M30,2026.04.30 02:30:00,1001.81000,1003.80000,1001.74000,1003.67000,2795,1013.01000,1013.41000,40.00,0,0
RKGCNH,M30,2026.04.30 03:00:00,1003.71000,1005.03000,1002.43000,1003.95000,9061,1013.01000,1013.41000,40.00,0,0
RKGCNH,M30,2026.04.30 03:30:00,1003.96000,1006.17000,1003.61000,1005.36000,5217,1013.01000,1013.41000,40.00,0,0
RKGCNH,M30,2026.04.30 04:00:00,1005.38000,1007.83000,1004.48000,1007.54000,7574,1013.01000,1013.41000,40.00,0,0
RKGCNH,M30,2026.04.30 04:30:00,1007.56000,1007.79000,1005.78000,1007.06000,7576,1013.01000,1013.41000,40.00,0,0
RKGCNH,M30,2026.04.30 05:00:00,1007.08000,1007.74000,1005.70000,1005.95000,4734,1013.01000,1013.41000,40.00,0,0
RKGCNH,M30,2026.04.30 05:30:00,1005.94000,1006.23000,1003.03000,1004.05000,8301,1013.01000,1013.41000,40.00,0,0
RKGCNH,M30,2026.04.30 06:00:00,1004.04000,1004.97000,1003.39000,1003.56000,4944,1013.01000,1013.41000,40.00,0,0
RKGCNH,M30,2026.04.30 06:30:00,1003.57000,1003.71000,1002.03000,1002.12000,4174,1013.01000,1013.41000,40.00,0,0
RKGCNH,M30,2026.04.30 07:00:00,1002.15000,1002.38000,1000.05000,1000.36000,5390,1013.01000,1013.41000,40.00,0,0
RKGCNH,M30,2026.04.30 07:30:00,1000.32000,1000.91000,999.09000,999.27000,5268,1013.01000,1013.41000,40.00,0,0
RKGCNH,M30,2026.04.30 08:00:00,999.26000,1003.02000,999.23000,1002.34000,5480,1013.01000,1013.41000,40.00,0,0
RKGCNH,M30,2026.04.30 08:30:00,1002.35000,1005.41000,1001.99000,1003.84000,6238,1013.01000,1013.41000,40.00,0,0
RKGCNH,M30,2026.04.30 09:00:00,1003.86000,1005.55000,1003.25000,1005.19000,7972,1013.01000,1013.41000,40.00,0,0
