symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
RNO.fr,H4,2026.03.12 19:00:00,28.90000,29.06000,28.87000,28.97000,550,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.03.13 11:00:00,28.81000,28.86000,28.32000,28.82000,3832,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.03.13 15:00:00,28.82000,28.93000,28.55000,28.61000,3730,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.03.13 19:00:00,28.62000,28.63000,28.49000,28.58000,521,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.03.16 11:00:00,28.30000,28.49000,28.14000,28.28000,3443,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.03.16 15:00:00,28.29000,28.39000,28.05000,28.06000,2669,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.03.16 19:00:00,28.06000,28.15000,27.97000,28.02000,546,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.03.17 11:00:00,28.17000,28.51000,28.17000,28.30000,2461,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.03.17 15:00:00,28.29000,28.61000,28.28000,28.37000,2571,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.03.17 19:00:00,28.35000,28.37000,28.25000,28.32000,405,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.03.18 11:00:00,28.48000,28.70000,28.33000,28.57000,2828,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.03.18 15:00:00,28.59000,28.62000,28.02000,28.03000,4128,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.03.18 19:00:00,28.03000,28.08000,27.97000,28.03000,504,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.03.19 11:00:00,27.65000,27.68000,27.15000,27.15000,4113,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.03.19 15:00:00,27.16000,27.62000,27.08000,27.47000,4016,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.03.19 19:00:00,27.45000,27.55000,27.31000,27.35000,411,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.03.20 11:00:00,27.47000,28.03000,27.26000,27.70000,4704,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.03.20 15:00:00,27.68000,27.79000,27.41000,27.51000,5669,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.03.20 19:00:00,27.53000,27.59000,27.47000,27.47000,623,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.03.23 11:00:00,27.13000,28.27000,26.79000,27.77000,7797,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.03.23 15:00:00,27.78000,28.44000,27.59000,28.01000,5499,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.03.23 19:00:00,28.00000,28.10000,27.97000,28.00000,860,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.03.24 11:00:00,28.14000,28.15000,27.31000,27.90000,5171,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.03.24 15:00:00,27.91000,28.18000,27.61000,27.84000,6694,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.03.24 19:00:00,27.87000,27.98000,27.81000,27.97000,658,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.03.25 11:00:00,28.17000,28.53000,28.16000,28.46000,3680,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.03.25 15:00:00,28.48000,28.52000,28.00000,28.08000,4844,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.03.25 19:00:00,28.07000,28.23000,28.07000,28.12000,545,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.03.26 11:00:00,27.98000,28.01000,27.72000,27.75000,3886,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.03.26 15:00:00,27.75000,28.17000,27.72000,28.13000,4574,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.03.26 19:00:00,28.10000,28.17000,28.03000,28.03000,474,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.03.27 11:00:00,28.11000,28.13000,27.76000,28.06000,4085,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.03.27 15:00:00,28.04000,28.54000,28.01000,28.43000,4324,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.03.27 19:00:00,28.42000,28.44000,28.30000,28.39000,556,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.03.30 10:00:00,28.01000,28.09000,27.63000,28.04000,4012,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.03.30 14:00:00,28.03000,28.37000,27.96000,28.27000,4943,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.03.30 18:00:00,28.28000,28.40000,28.19000,28.32000,567,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.03.31 10:00:00,28.53000,28.77000,28.32000,28.75000,3668,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.03.31 14:00:00,28.76000,28.93000,28.65000,28.76000,4477,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.03.31 18:00:00,28.76000,28.98000,28.75000,28.89000,504,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.04.01 10:00:00,29.76000,30.05000,29.63000,29.91000,4307,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.04.01 14:00:00,29.91000,30.17000,29.59000,30.15000,4184,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.04.01 18:00:00,30.14000,30.23000,30.03000,30.09000,759,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.04.02 10:00:00,29.48000,30.18000,29.30000,30.11000,3347,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.04.02 14:00:00,30.12000,30.13000,29.62000,29.90000,4450,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.04.02 18:00:00,29.89000,30.09000,29.86000,29.95000,701,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.04.07 10:00:00,30.01000,30.34000,29.81000,29.97000,4916,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.04.07 14:00:00,29.98000,30.06000,29.43000,29.45000,4883,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.04.07 18:00:00,29.44000,29.46000,29.20000,29.35000,798,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.04.08 10:00:00,31.16000,31.46000,30.88000,31.41000,3961,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.04.08 14:00:00,31.40000,31.67000,31.34000,31.44000,3485,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.04.08 18:00:00,31.44000,31.60000,31.37000,31.40000,610,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.04.09 10:00:00,31.05000,31.65000,31.00000,31.04000,3725,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.04.09 14:00:00,31.03000,31.11000,30.64000,30.78000,3629,29.61000,29.74000,130.00,0,0
RNO.fr,H4,2026.04.09 18:00:00,30.79000,31.01000,30.75000,30.86000,601,29.61000,29.74000,130.00,0,0
