symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
SHEL.uk,M15,2026.04.29 10:30:00,3288.51000,3292.51000,3284.49000,3290.99000,227,3288.25000,3302.25000,1400.00,0,0
SHEL.uk,M15,2026.04.29 10:45:00,3290.51000,3294.50000,3286.49000,3287.01000,234,3288.25000,3302.25000,1400.00,0,0
SHEL.uk,M15,2026.04.29 11:00:00,3286.49000,3298.00000,3284.99000,3298.00000,551,3288.25000,3302.25000,1400.00,0,0
SHEL.uk,M15,2026.04.29 11:15:00,3297.49000,3298.01000,3287.49000,3288.49000,256,3288.25000,3302.25000,1400.00,0,0
SHEL.uk,M15,2026.04.29 11:30:00,3289.00000,3294.01000,3286.99000,3288.51000,505,3288.25000,3302.25000,1400.00,0,0
SHEL.uk,M15,2026.04.29 11:45:00,3288.01000,3299.49000,3287.49000,3297.01000,250,3288.25000,3302.25000,1400.00,0,0
SHEL.uk,M15,2026.04.29 12:00:00,3297.49000,3298.99000,3289.49000,3290.00000,280,3288.25000,3302.25000,1400.00,0,0
SHEL.uk,M15,2026.04.29 12:15:00,3290.01000,3297.49000,3286.99000,3296.00000,146,3288.25000,3302.25000,1400.00,0,0
SHEL.uk,M15,2026.04.29 12:30:00,3296.49000,3297.49000,3290.49000,3291.99000,318,3288.25000,3302.25000,1400.00,0,0
SHEL.uk,M15,2026.04.29 12:45:00,3291.51000,3291.51000,3277.99000,3281.01000,285,3288.25000,3302.25000,1400.00,0,0
SHEL.uk,M15,2026.04.29 13:00:00,3281.49000,3282.51000,3277.99000,3282.49000,236,3288.25000,3302.25000,1400.00,0,0
SHEL.uk,M15,2026.04.29 13:15:00,3281.99000,3284.51000,3279.01000,3283.99000,169,3288.25000,3302.25000,1400.00,0,0
SHEL.uk,M15,2026.04.29 13:30:00,3283.49000,3285.49000,3276.99000,3279.01000,190,3288.25000,3302.25000,1400.00,0,0
SHEL.uk,M15,2026.04.29 13:45:00,3278.51000,3279.01000,3273.49000,3275.51000,281,3288.25000,3302.25000,1400.00,0,0
SHEL.uk,M15,2026.04.29 14:00:00,3275.50000,3286.51000,3275.49000,3284.50000,261,3288.25000,3302.25000,1400.00,0,0
SHEL.uk,M15,2026.04.29 14:15:00,3283.99000,3290.01000,3283.99000,3290.00000,206,3288.25000,3302.25000,1400.00,0,0
SHEL.uk,M15,2026.04.29 14:30:00,3290.51000,3291.01000,3284.49000,3289.51000,226,3288.25000,3302.25000,1400.00,0,0
SHEL.uk,M15,2026.04.29 14:45:00,3289.49000,3293.51000,3286.50000,3292.01000,231,3288.25000,3302.25000,1400.00,0,0
SHEL.uk,M15,2026.04.29 15:00:00,3291.51000,3293.51000,3287.99000,3290.00000,285,3288.25000,3302.25000,1400.00,0,0
SHEL.uk,M15,2026.04.29 15:15:00,3290.51000,3295.51000,3288.49000,3295.50000,294,3288.25000,3302.25000,1400.00,0,0
SHEL.uk,M15,2026.04.29 15:30:00,3295.99000,3301.51000,3294.51000,3300.00000,480,3288.25000,3302.25000,1400.00,0,0
SHEL.uk,M15,2026.04.29 15:45:00,3300.01000,3301.01000,3293.99000,3297.49000,347,3288.25000,3302.25000,1400.00,0,0
SHEL.uk,M15,2026.04.29 16:00:00,3297.51000,3297.51000,3288.49000,3289.50000,371,3288.25000,3302.25000,1400.00,0,0
SHEL.uk,M15,2026.04.29 16:15:00,3290.49000,3294.51000,3282.49000,3287.99000,708,3288.25000,3302.25000,1400.00,0,0
SHEL.uk,M15,2026.04.29 16:30:00,3287.49000,3288.01000,3272.99000,3284.01000,1644,3288.25000,3302.25000,1400.00,0,0
SHEL.uk,M15,2026.04.29 16:45:00,3283.99000,3286.50000,3268.01000,3285.50000,1085,3288.25000,3302.25000,1400.00,0,0
SHEL.uk,M15,2026.04.29 17:00:00,3286.01000,3286.50000,3270.99000,3274.01000,916,3288.25000,3302.25000,1400.00,0,0
SHEL.uk,M15,2026.04.29 17:15:00,3273.99000,3274.01000,3267.99000,3271.01000,537,3288.25000,3302.25000,1400.00,0,0
SHEL.uk,M15,2026.04.29 17:30:00,3270.50000,3277.51000,3269.49000,3270.99000,894,3288.25000,3302.25000,1400.00,0,0
SHEL.uk,M15,2026.04.29 17:45:00,3270.99000,3274.51000,3265.50000,3266.01000,755,3288.25000,3302.25000,1400.00,0,0
SHEL.uk,M15,2026.04.29 18:00:00,3265.51000,3269.00000,3261.49000,3266.50000,603,3288.25000,3302.25000,1400.00,0,0
SHEL.uk,M15,2026.04.29 18:15:00,3266.01000,3266.51000,3261.50000,3263.74000,636,3288.25000,3302.25000,1400.00,0,0
SHEL.uk,M15,2026.04.30 10:00:00,3328.00000,3328.00000,3301.49000,3303.01000,418,3288.25000,3302.25000,1400.00,0,0
SHEL.uk,M15,2026.04.30 10:15:00,3303.01000,3307.49000,3293.99000,3294.51000,358,3288.25000,3302.25000,1400.00,0,0
