symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
SOYF,H4,2026.04.09 11:00:00,1161.63000,1166.01000,1161.50000,1165.25000,972,1200.99000,1202.25000,126.00,0,0
SOYF,H4,2026.04.09 15:00:00,1165.26000,1166.74000,1164.99000,1166.51000,240,1200.99000,1202.25000,126.00,0,0
SOYF,H4,2026.04.09 16:30:00,1166.50000,1169.99000,1160.86000,1163.50000,3377,1200.99000,1202.25000,126.00,0,0
SOYF,H4,2026.04.09 20:30:00,1163.76000,1165.51000,1162.01000,1163.49000,555,1200.99000,1202.25000,126.00,0,0
SOYF,H4,2026.04.10 03:00:00,1165.86000,1169.26000,1164.61000,1167.01000,1049,1200.99000,1202.25000,126.00,0,0
SOYF,H4,2026.04.10 07:00:00,1167.00000,1171.26000,1166.74000,1170.51000,776,1200.99000,1202.25000,126.00,0,0
SOYF,H4,2026.04.10 11:00:00,1170.36000,1172.38000,1164.11000,1168.01000,1341,1200.99000,1202.25000,126.00,0,0
SOYF,H4,2026.04.10 15:00:00,1167.88000,1170.76000,1167.26000,1169.74000,375,1200.99000,1202.25000,126.00,0,0
SOYF,H4,2026.04.10 16:30:00,1169.62000,1178.00000,1169.00000,1176.74000,2989,1200.99000,1202.25000,126.00,0,0
SOYF,H4,2026.04.10 20:30:00,1176.86000,1178.51000,1173.75000,1174.16000,482,1200.99000,1202.25000,126.00,0,0
SOYF,H4,2026.04.13 03:00:00,1176.13000,1182.87000,1173.74000,1175.99000,1886,1200.99000,1202.25000,126.00,0,0
SOYF,H4,2026.04.13 07:00:00,1176.01000,1176.01000,1171.11000,1172.26000,888,1200.99000,1202.25000,126.00,0,0
SOYF,H4,2026.04.13 11:00:00,1172.13000,1176.26000,1171.11000,1174.25000,1026,1200.99000,1202.25000,126.00,0,0
SOYF,H4,2026.04.13 15:00:00,1174.50000,1175.01000,1172.86000,1173.86000,290,1200.99000,1202.25000,126.00,0,0
SOYF,H4,2026.04.13 16:30:00,1173.25000,1175.86000,1163.01000,1167.26000,3351,1200.99000,1202.25000,126.00,0,0
SOYF,H4,2026.04.13 20:30:00,1167.25000,1167.25000,1159.49000,1160.41000,500,1200.99000,1202.25000,126.00,0,0
SOYF,H4,2026.04.14 03:00:00,1159.62000,1164.11000,1157.74000,1162.26000,1166,1200.99000,1202.25000,126.00,0,0
SOYF,H4,2026.04.14 07:00:00,1162.11000,1164.01000,1161.50000,1163.76000,799,1200.99000,1202.25000,126.00,0,0
SOYF,H4,2026.04.14 11:00:00,1163.88000,1167.01000,1161.87000,1165.75000,938,1200.99000,1202.25000,126.00,0,0
SOYF,H4,2026.04.14 15:00:00,1165.62000,1166.37000,1164.13000,1165.78000,383,1200.99000,1202.25000,126.00,0,0
SOYF,H4,2026.04.14 16:30:00,1165.25000,1167.87000,1156.00000,1158.62000,3320,1200.99000,1202.25000,126.00,0,0
SOYF,H4,2026.04.14 20:30:00,1158.63000,1160.36000,1155.37000,1155.91000,438,1200.99000,1202.25000,126.00,0,0
