symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
SPX500,D1,2025.12.11 00:00:00,6884.24000,6924.37000,6812.98000,6920.72000,79824,7245.15000,7245.65000,50.00,0,0
SPX500,D1,2025.12.12 00:00:00,6906.57000,6911.20000,6800.99000,6829.30000,76570,7245.15000,7245.65000,50.00,0,0
SPX500,D1,2025.12.15 00:00:00,6827.56000,6869.44000,6802.99000,6820.92000,81733,7245.15000,7245.65000,50.00,0,0
SPX500,D1,2025.12.16 00:00:00,6821.92000,6830.90000,6759.81000,6790.50000,155971,7245.15000,7245.65000,50.00,0,0
SPX500,D1,2025.12.17 00:00:00,6794.23000,6824.48000,6721.51000,6732.08000,156589,7245.15000,7245.65000,50.00,0,0
SPX500,D1,2025.12.18 00:00:00,6736.89000,6816.78000,6718.60000,6769.71000,151550,7245.15000,7245.65000,50.00,0,0
SPX500,D1,2025.12.19 00:00:00,6773.28000,6840.42000,6766.41000,6839.41000,68220,7245.15000,7245.65000,50.00,0,0
SPX500,D1,2025.12.22 00:00:00,6854.77000,6885.05000,6849.01000,6879.37000,33329,7245.15000,7245.65000,50.00,0,0
SPX500,D1,2025.12.23 00:00:00,6880.11000,6913.29000,6863.00000,6907.75000,28332,7245.15000,7245.65000,50.00,0,0
SPX500,D1,2025.12.24 00:00:00,6908.23000,6938.53000,6903.33000,6930.52000,14600,7245.15000,7245.65000,50.00,0,0
SPX500,D1,2025.12.26 00:00:00,6932.06000,6945.85000,6921.10000,6929.05000,19783,7245.15000,7245.65000,50.00,0,0
SPX500,D1,2025.12.29 00:00:00,6933.74000,6938.36000,6889.68000,6910.22000,36704,7245.15000,7245.65000,50.00,0,0
SPX500,D1,2025.12.30 00:00:00,6910.85000,6915.89000,6895.16000,6899.97000,24956,7245.15000,7245.65000,50.00,0,0
SPX500,D1,2025.12.31 00:00:00,6900.69000,6906.32000,6868.86000,6888.38000,23840,7245.15000,7245.65000,50.00,0,0
SPX500,D1,2026.01.02 00:00:00,6878.24000,6892.89000,6820.04000,6854.84000,57486,7245.15000,7245.65000,50.00,0,0
SPX500,D1,2026.01.05 00:00:00,6862.71000,6917.87000,6854.07000,6897.96000,50747,7245.15000,7245.65000,50.00,0,0
SPX500,D1,2026.01.06 00:00:00,6899.95000,6945.76000,6885.94000,6943.46000,34855,7245.15000,7245.65000,50.00,0,0
SPX500,D1,2026.01.07 00:00:00,6944.16000,6962.47000,6914.03000,6922.77000,33243,7245.15000,7245.65000,50.00,0,0
SPX500,D1,2026.01.08 00:00:00,6925.02000,6934.28000,6892.15000,6927.86000,50678,7245.15000,7245.65000,50.00,0,0
SPX500,D1,2026.01.09 00:00:00,6930.87000,6975.17000,6911.86000,6959.63000,51937,7245.15000,7245.65000,50.00,0,0
SPX500,D1,2026.01.12 00:00:00,6966.01000,6984.08000,6909.01000,6970.50000,44621,7245.15000,7245.65000,50.00,0,0
SPX500,D1,2026.01.13 00:00:00,6973.41000,6996.40000,6936.94000,6959.39000,51216,7245.15000,7245.65000,50.00,0,0
SPX500,D1,2026.01.14 00:00:00,6960.00000,6963.51000,6884.29000,6921.48000,71830,7245.15000,7245.65000,50.00,0,0
SPX500,D1,2026.01.15 00:00:00,6918.33000,6979.88000,6912.07000,6946.08000,62368,7245.15000,7245.65000,50.00,0,0
SPX500,D1,2026.01.16 00:00:00,6949.46000,6969.84000,6923.63000,6939.84000,45475,7245.15000,7245.65000,50.00,0,0
SPX500,D1,2026.01.19 00:00:00,6883.10000,6899.72000,6852.63000,6878.64000,47739,7245.15000,7245.65000,50.00,0,0
SPX500,D1,2026.01.20 00:00:00,6877.13000,6882.23000,6788.40000,6803.12000,107622,7245.15000,7245.65000,50.00,0,0
SPX500,D1,2026.01.21 00:00:00,6805.74000,6912.29000,6781.72000,6882.69000,108195,7245.15000,7245.65000,50.00,0,0
SPX500,D1,2026.01.22 00:00:00,6887.61000,6936.80000,6879.61000,6908.71000,65072,7245.15000,7245.65000,50.00,0,0
SPX500,D1,2026.01.23 00:00:00,6908.78000,6932.81000,6893.49000,6904.10000,63182,7245.15000,7245.65000,50.00,0,0
SPX500,D1,2026.01.26 00:00:00,6874.75000,6965.81000,6850.27000,6947.84000,65072,7245.15000,7245.65000,50.00,0,0
SPX500,D1,2026.01.27 00:00:00,6948.97000,6990.54000,6944.09000,6981.24000,35706,7245.15000,7245.65000,50.00,0,0
SPX500,D1,2026.01.28 00:00:00,6983.55000,7016.18000,6950.79000,6990.02000,65518,7245.15000,7245.65000,50.00,0,0
SPX500,D1,2026.01.29 00:00:00,6993.60000,7004.08000,6873.23000,6964.53000,106103,7245.15000,7245.65000,50.00,0,0
SPX500,D1,2026.01.30 00:00:00,6965.89000,6970.12000,6892.86000,6933.71000,153261,7245.15000,7245.65000,50.00,0,0
SPX500,D1,2026.02.02 00:00:00,6910.00000,6994.78000,6842.23000,6980.72000,129321,7245.15000,7245.65000,50.00,0,0
SPX500,D1,2026.02.03 00:00:00,6983.43000,7006.57000,6865.73000,6918.16000,106378,7245.15000,7245.65000,50.00,0,0
SPX500,D1,2026.02.04 00:00:00,6914.52000,6945.41000,6842.94000,6909.11000,148255,7245.15000,7245.65000,50.00,0,0
