symbol,timeframe,time,open,high,low,close,volume,bid,ask,spread,nmp_low,nmp_high
SPX500,H1,2026.04.27 15:00:00,7172.04000,7172.55000,7160.42000,7163.53000,3246,7245.15000,7245.65000,50.00,0,0
SPX500,H1,2026.04.27 16:00:00,7163.80000,7173.72000,7156.08000,7170.98000,7581,7245.15000,7245.65000,50.00,0,0
SPX500,H1,2026.04.27 17:00:00,7170.72000,7173.60000,7160.71000,7166.09000,7699,7245.15000,7245.65000,50.00,0,0
SPX500,H1,2026.04.27 18:00:00,7166.48000,7167.96000,7152.45000,7163.96000,4975,7245.15000,7245.65000,50.00,0,0
SPX500,H1,2026.04.27 19:00:00,7164.10000,7173.10000,7161.71000,7171.35000,2262,7245.15000,7245.65000,50.00,0,0
SPX500,H1,2026.04.27 20:00:00,7171.60000,7182.34000,7169.09000,7178.83000,2603,7245.15000,7245.65000,50.00,0,0
SPX500,H1,2026.04.27 21:00:00,7178.85000,7182.73000,7177.22000,7178.47000,1570,7245.15000,7245.65000,50.00,0,0
SPX500,H1,2026.04.27 22:00:00,7178.33000,7185.73000,7176.96000,7182.47000,2086,7245.15000,7245.65000,50.00,0,0
SPX500,H1,2026.04.27 23:00:00,7182.53000,7182.92000,7177.41000,7180.42000,536,7245.15000,7245.65000,50.00,0,0
SPX500,H1,2026.04.28 01:00:00,7180.88000,7196.50000,7180.88000,7192.50000,1965,7245.15000,7245.65000,50.00,0,0
SPX500,H1,2026.04.28 02:00:00,7192.61000,7195.75000,7190.98000,7193.11000,850,7245.15000,7245.65000,50.00,0,0
SPX500,H1,2026.04.28 03:00:00,7193.24000,7199.13000,7188.24000,7189.75000,2927,7245.15000,7245.65000,50.00,0,0
SPX500,H1,2026.04.28 04:00:00,7189.50000,7195.12000,7184.11000,7184.73000,2656,7245.15000,7245.65000,50.00,0,0
SPX500,H1,2026.04.28 05:00:00,7184.87000,7187.88000,7180.74000,7181.88000,1864,7245.15000,7245.65000,50.00,0,0
SPX500,H1,2026.04.28 06:00:00,7181.74000,7187.87000,7180.73000,7184.25000,1559,7245.15000,7245.65000,50.00,0,0
SPX500,H1,2026.04.28 07:00:00,7184.24000,7188.75000,7183.00000,7185.48000,1185,7245.15000,7245.65000,50.00,0,0
SPX500,H1,2026.04.28 08:00:00,7185.49000,7186.23000,7172.15000,7174.25000,2521,7245.15000,7245.65000,50.00,0,0
